iter	Passed	Remaining
0	66	66762
1	80	39943
2	88	29318
3	98	24646
4	108	21617
5	121	20110
6	131	18705
7	141	17494
8	150	16613
9	161	16034
10	168	15145
11	178	14656
12	186	14188
13	193	13631
14	204	13417
15	210	12924
16	220	12747
17	229	12536
18	237	12279
19	244	11984
20	251	11724
21	257	11442
22	265	11278
23	272	11086
24	283	11045
25	289	10862
26	297	10738
27	304	10561
28	313	10480
29	320	10367
30	328	10269
31	338	10247
32	346	10155
33	356	10136
34	367	10130
35	374	10039
36	383	9974
37	391	9908
38	398	9830
39	407	9774
40	416	9746
41	428	9763
42	437	9732
43	448	9749
44	459	9742
45	468	9711
46	478	9710
47	488	9696
48	494	9596
49	500	9505
50	507	9443
51	514	9378
52	518	9265
53	524	9184
54	530	9110
55	535	9027
56	540	8948
57	545	8856
58	548	8752
59	551	8641
60	555	8555
61	558	8452
62	561	8353
63	564	8252
64	567	8165
65	571	8081
66	576	8025
67	585	8031
68	595	8040
69	604	8027
70	613	8025
71	616	7941
72	618	7856
73	622	7786
74	624	7706
75	628	7637
76	635	7622
77	642	7591
78	645	7530
79	649	7471
80	659	7487
81	664	7436
82	667	7374
83	675	7368
84	679	7316
85	682	7249
86	690	7244
87	698	7236
88	701	7175
89	704	7122
90	712	7121
91	715	7065
92	719	7019
93	727	7016
94	730	6960
95	739	6959
96	746	6951
97	751	6912
98	755	6875
99	760	6841
100	763	6796
101	768	6765
102	774	6740
103	780	6722
104	784	6688
105	789	6657
106	791	6604
107	794	6565
108	798	6530
109	801	6485
110	804	6442
111	808	6409
112	812	6377
113	815	6334
114	817	6290
115	821	6257
116	823	6218
117	827	6183
118	830	6148
119	833	6113
120	836	6080
121	839	6044
122	842	6007
123	846	5978
124	848	5942
125	852	5913
126	856	5888
127	861	5871
128	865	5845
129	869	5822
130	874	5801
131	879	5784
132	885	5769
133	895	5785
134	902	5783
135	909	5779
136	915	5765
137	920	5747
138	926	5736
139	934	5741
140	940	5730
141	945	5714
142	951	5699
143	956	5687
144	962	5676
145	967	5658
146	974	5657
147	980	5647
148	985	5627
149	989	5606
150	992	5581
151	996	5561
152	1000	5539
153	1004	5516
154	1007	5493
155	1011	5474
156	1015	5454
157	1020	5437
158	1023	5416
159	1027	5395
160	1032	5379
161	1036	5362
162	1041	5346
163	1046	5332
164	1050	5316
165	1054	5299
166	1058	5279
167	1062	5260
168	1067	5247
169	1070	5227
170	1075	5212
171	1077	5188
172	1081	5170
173	1083	5145
174	1087	5124
175	1089	5102
176	1092	5081
177	1096	5061
178	1099	5041
179	1101	5018
180	1103	4993
181	1106	4974
182	1110	4956
183	1113	4936
184	1117	4921
185	1120	4902
186	1123	4886
187	1127	4868
188	1129	4848
189	1132	4829
190	1136	4813
191	1139	4796
192	1143	4780
193	1146	4762
194	1150	4748
195	1153	4733
196	1156	4715
197	1160	4699
198	1163	4681
199	1166	4665
200	1169	4649
201	1173	4635
202	1176	4619
203	1179	4601
204	1182	4586
205	1185	4570
206	1189	4556
207	1192	4540
208	1195	4526
209	1198	4507
210	1201	4491
211	1204	4476
212	1207	4460
213	1211	4448
214	1214	4433
215	1217	4420
216	1220	4405
217	1224	4391
218	1226	4373
219	1229	4358
220	1232	4345
221	1235	4329
222	1237	4312
223	1240	4297
224	1243	4284
225	1247	4271
226	1251	4260
227	1255	4250
228	1258	4237
229	1262	4224
230	1265	4212
231	1268	4200
232	1272	4189
233	1275	4176
234	1279	4165
235	1283	4154
236	1286	4141
237	1289	4127
238	1292	4116
239	1296	4104
240	1299	4093
241	1303	4082
242	1307	4071
243	1310	4059
244	1313	4049
245	1317	4038
246	1321	4028
247	1324	4017
248	1328	4008
249	1332	3998
250	1336	3988
251	1339	3975
252	1341	3961
253	1345	3951
254	1348	3938
255	1351	3928
256	1355	3919
257	1359	3909
258	1362	3897
259	1365	3886
260	1369	3876
261	1372	3866
262	1375	3855
263	1378	3844
264	1382	3834
265	1385	3824
266	1388	3812
267	1391	3801
268	1395	3791
269	1399	3783
270	1402	3773
271	1404	3759
272	1408	3750
273	1411	3740
274	1414	3729
275	1418	3719
276	1421	3710
277	1424	3700
278	1428	3691
279	1431	3681
280	1434	3669
281	1437	3660
282	1440	3650
283	1444	3641
284	1447	3631
285	1450	3620
286	1452	3608
287	1455	3599
288	1459	3589
289	1462	3580
290	1465	3570
291	1468	3560
292	1471	3549
293	1474	3540
294	1477	3530
295	1480	3521
296	1483	3510
297	1486	3501
298	1489	3493
299	1492	3483
300	1496	3474
301	1498	3462
302	1500	3452
303	1503	3442
304	1506	3433
305	1509	3423
306	1512	3415
307	1515	3405
308	1518	3396
309	1522	3388
310	1525	3380
311	1527	3369
312	1530	3359
313	1533	3350
314	1537	3342
315	1539	3333
316	1543	3325
317	1547	3318
318	1550	3309
319	1553	3302
320	1557	3294
321	1560	3285
322	1563	3278
323	1567	3270
324	1571	3263
325	1573	3253
326	1577	3245
327	1580	3237
328	1583	3230
329	1586	3220
330	1589	3212
331	1592	3203
332	1594	3194
333	1597	3186
334	1601	3179
335	1605	3173
336	1610	3167
337	1614	3161
338	1618	3156
339	1623	3151
340	1626	3144
341	1630	3136
342	1633	3129
343	1638	3123
344	1641	3117
345	1645	3110
346	1650	3105
347	1654	3099
348	1657	3091
349	1660	3083
350	1664	3077
351	1667	3070
352	1672	3065
353	1676	3059
354	1680	3053
355	1685	3048
356	1688	3040
357	1691	3034
358	1695	3027
359	1699	3021
360	1702	3014
361	1706	3007
362	1710	3001
363	1714	2995
364	1717	2988
365	1720	2980
366	1723	2972
367	1726	2964
368	1729	2957
369	1732	2950
370	1736	2943
371	1739	2935
372	1742	2929
373	1745	2922
374	1749	2915
375	1751	2907
376	1754	2899
377	1757	2892
378	1760	2885
379	1763	2877
380	1766	2870
381	1769	2862
382	1772	2855
383	1775	2848
384	1778	2840
385	1781	2833
386	1784	2826
387	1788	2820
388	1791	2813
389	1794	2806
390	1797	2800
391	1800	2793
392	1804	2787
393	1807	2780
394	1809	2772
395	1813	2765
396	1816	2758
397	1819	2752
398	1823	2746
399	1826	2739
400	1829	2732
401	1832	2726
402	1835	2719
403	1838	2712
404	1841	2704
405	1843	2697
406	1847	2691
407	1851	2685
408	1854	2679
409	1857	2672
410	1860	2666
411	1864	2660
412	1868	2655
413	1870	2648
414	1873	2641
415	1876	2634
416	1879	2627
417	1882	2621
418	1886	2615
419	1888	2608
420	1892	2602
421	1895	2595
422	1898	2589
423	1901	2582
424	1904	2576
425	1907	2569
426	1910	2563
427	1913	2557
428	1918	2553
429	1921	2547
430	1925	2541
431	1930	2538
432	1933	2532
433	1936	2525
434	1940	2520
435	1944	2514
436	1947	2508
437	1950	2503
438	1953	2496
439	1956	2489
440	1959	2483
441	1962	2477
442	1965	2471
443	1968	2465
444	1972	2459
445	1975	2453
446	1979	2448
447	1984	2444
448	1987	2439
449	1990	2432
450	1993	2426
451	1995	2419
452	1999	2413
453	2001	2407
454	2004	2400
455	2007	2395
456	2011	2389
457	2014	2384
458	2016	2377
459	2019	2371
460	2022	2365
461	2025	2359
462	2028	2353
463	2032	2347
464	2034	2340
465	2037	2335
466	2041	2329
467	2044	2323
468	2046	2317
469	2050	2311
470	2053	2305
471	2056	2300
472	2059	2294
473	2061	2288
474	2065	2282
475	2067	2276
476	2069	2269
477	2072	2263
478	2075	2257
479	2079	2252
480	2081	2246
481	2085	2241
482	2088	2235
483	2091	2229
484	2095	2224
485	2098	2218
486	2102	2214
487	2106	2209
488	2108	2203
489	2111	2198
