created,title,body
2018-01-16,Greenlight's Q4 Letter Reveals Another Tough Quarter For David Einhorn,"It's been a tough couple of years for value investors, and Greenlight Capital's David Einhorn has a lot of explaining to do to his investors in his Q4 letter, which was sent out Tuesday. In a year in which the S&P 500 gained 20 percent, Greenlight Capital generated just a 1.6 percent gain as the market continued to reward growth over value. Burned By Shorts In the fourth quarter, the S&P 500 gained 6.6 percent compared to a 1.6 percent loss for Greenlight. Einhorn’s long positions, led by General Motors Company (NYSE:GM) have been performing relatively well in recent months. However, Einhorn’s basket of short bets, which include Caterpillar Inc. (NYSE:CAT), Amazon.com, Inc (NASDAQ:AMZN), athenahealth Inc. (NASDAQ:ATHN), Netflix, Inc. (NASDAQ:NFLX) and Tesla Inc (NASDAQ:TSLA), obliterated most of Greenlight’s gains from its long positions in 2017. “We believe all those stocks appeared priced with little margin for error entering the year, and none executed well or met fundamental expectations in 2017,” the letter read. Long Winners Einhorn remains long GM and said shares are still “significantly undervalued” given stability in the auto market, the stock’s 4.4 percent dividend yield, and aggressive share buybacks, GM’s 10 percent earnings beat in 2017 and its 7x forward PE ratio. In the fourth quarter, Greenlight’s biggest winner was Mylan NV (NASDAQ:MYL). Einhorn anticipates additional generic approvals for the company in coming months following its generic Copaxone approval in Q4. Greenlight’s second biggest winner was CONSOL Energy, which completed its long-anticipated split of its coal-centered business, Consol Energy Inc (NYSE:CEIX), from its oil & gas business, CNX Resources Corp (NYSE:CNX). Einhorn said both companies have high-quality resources and strong growth opportunities and quality management teams. New Positions Greenlight also initiated a couple of new positions in Q4, most notable a “small” new position in Twitter Inc (NYSE:TWTR). Einhorn said Twitter’s reacceleration of user growth in late 2017 makes for a strong pitch to advertisers in 2018. Greenlight also re-purchased a stake in Time Warner Inc (NYSE:TWX) and took new positions in ENSCO PLC (NYSE:ESV) and Brighthouse Financial Inc (NASDAQ:BHF). Greenlight also exited long positions in the VanEck Vectors Gold Miners ETF (NYSE:GDX), Hewlett Packard Enterprise Co (NYSE:HPE) and Rite Aid Corporation (NYSE:RAD) and closed a short position in Deere & Company (NYSE:DE). Long-Term Perspective Despite another tough quarter for Greenlight, the firm has still delivered strong overall returns for long-term investors. Since its creation in 1996, Greenlight has generated an average annual return of 15.4 percent net of fees and expenses. Related Links: Q3 13F Roundup: How Buffett, Einhorn, Paulson, And Others Adjusted Their Portfolio Einhorn's Positions In HPE, Micron, Tempur Sealy Create Curious Volatility Disclosure: the author is long CNX."
2018-01-24,This Day In Market History: The California Gold Strike,"Each day, Benzinga takes a look back at a notable market-related moment that happened on this date. What Happened? On this day 170 years ago, prospector James W. Marshall struck gold in Coloma, California and the great California Gold Rush began. Where Was The Market? Neither the S&P 500 nor the Dow Jones Industrial Average were around at the time. What Else Was Going On In The World? In 1848, construction on the Washington Monument began and the Treaty of Guadalupe Hidalgo ended the Mexican-American War and gave the U.S. possession of much of the modern-day American Southwest. At the time of the gold rush, the price of an ounce of gold was roughly $20. The Original 49ers Long before the NFL football team, the original 49ers journeyed across the country at a time predating a transcontinental railroad in search of a fortune in gold. Gold fever started in California when prospector James Marshall claimed he simply bent down and scooped up a dozen gold nuggets from a stream at John Sutter’s sawmill. Unfortunately for all of the 49ers, news of the gold strike didn’t reach the East Coast until August of 1848, and the journey out west took at least a month’s time. As a result, the rushers earned the nickname “49ers” because many of them did not reach California until 1849. Today, investors can make bets on the next big gold strike from the comfort of their own homes by buying the VanEck Vectors Gold Miners ETF (NYSE:GDX) or any of its exploration-stage gold mining stocks. Related Links: This Day In Market History: Herbert Hoover Creates The Reconstruction Finance Corp Greenlight's Q4 Letter Reveals Another Tough Quarter For David Einhorn"
2018-02-01,This Gold Mining CEO Thinks Cryptos And Gold Are Both 'Here To Stay',"The cryptocurrency craze has been likened to a gold rush mentality, but some see a relationship beyond the comparison. “The mania in the cryptocurrencies out there has definitely taken some of the speculative fervor out of the junior gold exploration companies, where these things have incredible runs on bull and bear market cycles,” US Gold Corp (NASDAQ:USAU) CEO Edward Karr told Benzinga. But Karr’s outlook on both assets is curiously consistent: “I think both are here to stay.” The Merits Of Cryptos For a gold guy, Karr speaks fairly thoughtfully of the ostensible enemy. “Cryptos have had this incredible rise over the last couple years,” he said. “Last year was just amazing. The younger generation, the 25- to 30-year-old millennials, they’re all very comfortable with cryptos, they like trading them and they see still very big potential upside.” He does anticipate the hype will dissipate, though. It's really interesting for the short-term phenomenon, but there’s definitely a speculative amount to it,” Karr said. “Like what we went through with the dot-com bubble going into the late 1990s ... probably the cryptocurrencies will have a little bit of a wash-out.” The Defense For Gold Cryptocurrency's stature isn’t seen to diminish the appeal of gold. As Karr sees it, the tangible asset has withstood the test of time both in substance and in value. An ounce of gold in the Roman Empire bought a custom-made suit of high-quality chainmail just as an ounce of gold today, at $1,350, buys a custom-made suit of high-quality fabric. “Over 2,500 years, that one ounce of gold gets you the same custom suit,” Karr said. “You can’t really say that yet for cryptocurrencies.” At the same time, Karr said the shiny brick will endure economic cycles, wars, geopolitical crises, computer crashes and grid failures, while the incipient cryptocurrencies haven’t yet proven their staying power. His confidence in gold echoes that of Goldman Sachs, which assured that the limited, unhackable resource is and will remain a relevant asset class in spite of cryptocurrency trends and its own lack of yield. Related Links: The Evolution Of Currency: From Gold To Bitcoin How Bitcoin Cash Could Supplant The Original Crypto"
2018-02-05,Gold Miners Celebrate A Weakening Dollar: 'Inflation Is Coming',"The U.S. dollar continued its 2017 decline through the first month of the new year, and some expect no immediate relief. The trend is welcomed by US Gold Corp (NASDAQ:USAU) CEO Edward Karr. “It should be a really good year for gold,” Karr told Benzinga in a recent interview. “I think gold’s going to go higher.” Why The Correlation? Historically, commodities have risen with inflation. As equity markets weaken, investors diversify into “safe havens” like gold, the value of which remains globally steady. “Gold has been a good long-term inflation hedge, and as the dollar declines, inflation will increase, especially through energy input costs because the price of oil becomes more expensive,” Karr said. “ ... I think inflation is coming.” What Affects The Dollar? The dollar’s value is relative to those of competitors, so strength in global currencies reduces the power of the dollar. Some economists attribute recent weakness to growth, particularly in Asian economies. The Federal Reserve can also drive a value change. Increasing interest rates incentivizes saving or bond investing, which causes deflation and increases the dollar’s value. Lowering interest rates triggers spending and economic growth, which causes inflation, reduces the dollar’s value and increases the appeal of non-yield-bearing assets like gold. A New Gold-Dollar Relationship Citigroup analysts recently argued the inverse correlation between commodities and the dollar has dissipated. “Commodity prices have traded in a strong inverse relationship with the U.S. dollar over the past decade or so, but this relationship broke down in late 2016 and the breakdown looks here to stay, the Citi analysts said. Merrill Lynch recently acknowledged the trend but said the correlation between commodities and the dollar remains. It's absolutely true that even though in the course of 2017 the correlation between oil commodities generally, and the dollar, has weakened, it is still a very very big driver,” Sabine Schels, head of fundamental commodities research at Bank of America Merrill Lynch, told CNBC. “And the causality really goes from the dollar to commodity prices.” Related Links: Where Experts Stand On Bitcoin After 40% Plunge This Gold Mining CEO Thinks Cryptos And Gold Are Both 'Here To Stay'"
2018-02-23,Traders Scamper Back To Gold Miners ETFs,"Amid an uptick in equity market volatility, some traders are seeking refuge in a familiar place: gold. Market participants are also renewing their enthusiasm for some gold miners exchange traded funds (ETFs), including leveraged fare. The VanEck Vectors Gold Miners ETF (NYSE:GDX), the largest non-leveraged gold miners ETF, surged nearly 4 percent last week as traders flocked to the fund. “Investors piled into VanEck’s Vectors Gold Miners exchange-traded fund last week to the tune of $529 million, the most since September 2013,” reports Bloomberg. “The ETF holds shares of mining companies including Newmont Mining Corp. and Barrick Gold Corp. Gold meanwhile rallied after two weeks of declines.” Not surprisingly, the Direxion Daily Gold Miners Index Bull 3X Shares (NYSE:NUGT) and the Direxion Daily Gold Miners Index Bull 3X Shares (NYSE:JNUG) are getting some love, too. What The Data Say Last Friday, traders allocated $16.1 million to NUGT, good for the largest total among all Direxion leveraged bullish ETFs, according to issuer data. Conversely, the Direxion Daily Gold Miners Index Bear 3X Shares (NYSE:DUST) suffered outflows of $27.2 million last Friday, the worst total among the issuer's bearish funds. NUGT attempts to deliver triple the daily returns of the NYSE Arca Gold Miners Index, the same index GDX tracks. DUST tries to deliver triple the daily inverse returns of that benchmark. DUST and NUGT can be among the most volatile leveraged funds in the Direxion stable, reminding traders that the best use of these products as over intraday time frames. No leveraged ETF should be used for long holding periods and that is particularly true of the leveraged gold miners products, bullish or bearish. Leaning Bullish While money is flowing back to some traditional gold miners ETFs, traders are leaning bullish with leveraged fare. For example, over the past month, NUGT is averaging daily inflows of $7.11 million while its small-cap counterpart, JNUG, is averaging inflows of nearly $1.4 million, over that period, according to Direxion data. On the other hand, DUST and the Direxion Daily Junior Gold Miners Index Bear 3X Shares (NYSE:JDST) are averaging daily outflows over the past month. Related Links: More Highs For This Retail ETF. Gold ETFs Still Have Some Shine."
2018-04-11,A New ETF Of ETFs For Diverse Asset Allocation,"A new exchange traded fund aimed at providing diverse asset allocation while limiting volatility debuted Tuesday. The VanEck Vectors Real Asset Allocation ETF (NYSE:RAXX) provides exposure to real assets using the ETF-of-ETFs model. RAXX “seeks to maximize real returns while seeking to reduce downside risk during sustained market declines by allocating primarily to exchange-traded products that provide exposure to real assets, which include commodities, real estate, natural resources and infrastructure,” according to VanEck. The new ETF debuted holding 10 other ETFs, six of which are VanEck funds. RAXX can hold up to 12 ETFs and can go to 100-percent cash in the event of elevated market stress. The RAXX Report RAXX allocates over half its weight to just two ETFs: the PowerShares Optimum Yield Diversified Commodity Strategy No K-1 Portfolio (NASDAQ:PDBC) and the VanEck Vectors Agribusiness ETF (NYSE:MOO). The actively managed PDBC features exposure to a broad basket of commodities, including West Texas Intermediate crude, Brent crude, wheat, natural gas, zinc, aluminum, corn, soybeans, gasoline and gold. Speaking of gold, the SPDR Gold Shares (NYSE:GLD) and the iShares Gold Trust (NYSE:IAU), the two largest gold ETFs, combine for about 20 percent of RAXX's roster. RAXX holdings “provide exposure to agribusiness, coal, infrastructure, real estate, steel, oil services, unconventional oil and gas and gold mining companies, as well as diversified commodity futures exposure and physical gold,” according to VanEck. Income And Adventure RAXX provides some income-generating potential with modest exposure to master limited partnerships via an almost 5-percent weight to the Global X MLP&Energy Infrastructure ETF (NYSE:MLPX). The new ETF also debuted with some higher beta sector and industry plays, including the VanEck Vectors Oil Services ETF (NYSE:OIH) and the VanEck Vectors Gold Miners ETF (NYSE:GDX). “RAAX performance is dependent on the performance of underlying funds and is subject to the risks of the underlying funds’ investments,” according to the issuer. Related Links: 700 Commission-Free ETFs Right Here Why This Biotech ETF Can Rally Todd Shriber owns shares of IAU."
2018-05-24,"AMD, Halliburton, Gold Miners, Brazil ETF: 'Fast Money' Picks For May 24","On CNBC's Fast Money Final Trade, Pete Najarian said he loves what he's seeing in iShares MSCI Brazil Index (ETF) (NYSE:EWZ). He thinks the stock is going to trade higher. Tim Seymour is a buyer of Halliburton Company (NYSE:HAL). Brian Kelly likes VanEck Vectors Gold Miners ETF (NYSE:GDX). Guy Adami wants to buy Advanced Micro Devices, Inc. (NASDAQ:AMD)."
2018-10-11,Gold ETF Fee Battle Intensifies,"While gold and the related exchange traded funds are struggling this year, some investors remain fond of the yellow metal and some ETF issuers are rewarding that faith with lower expenses. Upstart ETF issuer GraniteShares announced a new, reduced annual expense ratio for the GraniteShares Gold Trust (NYSE:BAR). What To Know BAR debuted in August with an annual fee of 0.20 percent, or $20 on a $10,000 investment. At the time, BAR was the least expensive gold ETF on the market. While the environment for gold has been challenging since BAR came to market, some investors are displaying enthusiasm for the low-cost gold ETF. BAR has about $280 million in assets under management, easily making it one of the most successful commodities ETFs to come to market last year. Why It's Important BAR's low fee inspired fee cuts and the debut of competing, low-cost gold funds, but GraniteShares is taking its low-cost leadership. The company announced it's paring BAR's annual fee to 0.1749 percent, or $17.50 per year on a $10,000 investment. That renews BAR's status as the least expensive gold fund currently available to U.S. investors. BAR's fee cut was announced as some analysts are forecasting a rebound for the yellow metal and precious metals miners. Although there is little evidence that inflation is accelerating (as of now) or that the end of this bull market is imminent, we argue that gold miners should be given a larger weight in investors’ portfolio for the following reasons: i) the economic cycle continues to mature; ii) asset valuation multiples are expanding and asset bubbles are emerging in certain areas; iii) budget deficits are increasing at alarming rates; and iv) quarterly earnings will face tougher comps in 2019, bringing into question how much longer this record-breaking bull market can continue,” said CFRA Research equity analyst Matthew Miller in a recent note. What's Next BAR and rival gold ETFs could benefit from short covering as bearish traders have recently load up on short gold positions. “For the week ending September 25, money managers increased their speculative gross long positions in Comex gold futures by 609 contracts to 98,513, while short positions increased by 1,823 contracts to 182,190. This means that gold’s net short position is 83,677 contracts,” according to Miller. “The gold market could be poised for a short-covering rally, as investors are likely to start closing out their record level of short positions, given gold’s resilience to not break below key levels of support.” Related Links: A New IPO ETF Bell Tolls For These Leveraged ETFs"
2018-11-29,Powell Pushes Gold ETFs Higher... Sort Of,"The SPDR Gold Shares (NYSE:GLD) and rival gold-backed exchange traded funds traded modestly higher Wednesday after Federal Reserve Jerome Powell said interest rates are close to “neutral.” Three interest rate hikes this year and the subsequently stronger dollar are among the most widely cited reasons for explaining gold's struggles this year. What Happened GLD, the largest gold ETF by assets, entered Wednesday with a year-to-date loss of 7 percent before gaining 0.37 percent on above-average volume. “Interest rates are still low by historical standards, and they remain just below the broad range of estimates of the level that would be neutral for the economy--that is, neither speeding up nor slowing down growth,” Powell said in a speech at The Economic Club of New York. Why It's Important Higher interest rates are seen as a drag on gold because the yellow metal and the related ETFs don't pay a coupon or interest, leaving little incentive for income-starved investors to embrace bullion in rising rate environments. Still, GLD has been a solid performer for the bulk of the Fed's current tightening cycle. Over the past three years, a period in which the Fed has hiked rates eight times, GLD is up about 12.4 percent while the dollar is flat. Even with Powell's somewhat bullish comments, markets are pricing in an almost 83 percent of another interest rate increase next month, according to CME Group data. Some investors are bullish on gold for 2019. According to Legg Mason's Global Investment Survey 2018, “23 percent of investors said that they see gold as one of the best investment opportunities next year, unchanged from 2017,” reports Kitco News. What's Next A sustained rally for gold could lift downtrodden gold miners stocks and ETFs, assets that are dirt cheap on valuation but vulnerable to gold lagging other investments. The VanEck Vectors Gold Miners ETF (NYSE:GDX), the largest gold miners ETF, gained 2.49 percent yesterday, adding to a modest fourth-quarter gain. Related Links: ETFs Remain Tax Efficient Cyber Monday Lifts This ETF"
2019-01-08,Jon Najarian Sees Unusual Options Activity In Square And GDX,"On CNBC's Fast Money Halftime Report, Jon Najarian spoke about an unusually high options activity in Square Inc (NYSE:SQ). He said options traders were buying the January 63 calls on Tuesday. Around 4,500 contracts were traded and this was the second trading session in a row with heavy volume as around 3,000 contracts were traded on Monday. Najarian bought calls in the name and he is planning to hold them for 10 days. He has also noticed some options activity in VanEck Vectors Gold Miners ETF (NYSE:GDX). Options traders were buying upside calls in the name. These calls are expiring next week and around 8,000 contracts were traded. Najarian followed the trade and he is planning to hold the position for 10 days."
