created,title,body
2018-01-22,What You Need To Know About TD Ameritrade's 24-Hour Trading,"TD Ameritrade Holding Corp. (NASDAQ:AMTD) continued to press all-time highs Monday after announcing it would become the first U.S. retail broker to enable 24-hour trading. The offering supports the 70 percent of TD Ameritrade clients known to research trades during off-hours, and it allows immediate reaction to overnight news, such as federal government shutdown or global elections. “Very frequently, they’re making investment and trading decisions, but they have to wait until the next day to put that order into the market,” Steve Quirk, executive vice president of Trading and Education at TD Ameritrade, told Benzinga. The 24-hour capabilities also appease an expanding client base in Asia. “With a 14-hour time difference, during their waking hours, they’re very limited in what they can trade, and they have a very large appetite to trade U.S. equities,” Quirk said. “This gives them the ability to do so.” Quirk said the goal of the innovation isn’t to poach market share from rival retail brokers, but rather to answer the demands of existing customers who want to compete with institutional players. “We’re on a constant quest to level the playing field, and this would be another step in that journey,” he said. In the off-hours between 8 p.m. EST Sunday and 8 p.m. EST Friday, investors on the Thinkorswim or mobile platforms can trade 12 exchange-traded funds: iShares FTSE/Xinhua China 25 Index (ETF) (NYSE:FXI) SPDR S&P 500 ETF Trust (NYSE:SPY) iShares MSCI Emerging Markets Indx (ETF) (NYSE:EEM) SPDR Gold Trust (ETF) (NYSE:GLD) iShares Silver Trust (ETF) (NYSE:SLV) SPDR Dow Jones Industrial Average ETF (NYSE:DIA) United States Natural Gas Fund, LP (NYSE:UNG) iShares Barclays 20+ Yr Treas.Bond (ETF) (NASDAQ:TLT) iShares Russell 2000 Index (ETF) (NYSE:IWM) PowerShares QQQ Trust, Series 1 (ETF) (NASDAQ:QQQ) United States Oil Fund LP (ETF) (NYSE:USO) ProShares Short S&P500 (ETF) (NYSE:SH) Quirk said more tickers could be added as volume ramps up and the marketplace becomes more robust. “It’s always our primary concern to make sure that we make it a good experience for people before we start expanding on it,” he said. In its announcement, TD Ameritrade warned that extended-hour trading is subject to unique conditions, including lower liquidity and higher volatility. The service makes trading undoubtedly more expedient, although not necessarily more profitable. “I don’t know that I would say that they are going to make any more money,” Quirk said. “I would just say it’s going to make it more convenient for them. For us and for our clients, it’s more just knocking down one more barrier that says it’s an electronic marketplace.” At time of publication, TD Ameritrade's stock was up nearly 1 percent at $55.64. Related Links: How to Trade Futures A New Combatant In The Online Brokerage Price Wars"
2018-02-01,This Gold Mining CEO Thinks Cryptos And Gold Are Both 'Here To Stay',"The cryptocurrency craze has been likened to a gold rush mentality, but some see a relationship beyond the comparison. “The mania in the cryptocurrencies out there has definitely taken some of the speculative fervor out of the junior gold exploration companies, where these things have incredible runs on bull and bear market cycles,” US Gold Corp (NASDAQ:USAU) CEO Edward Karr told Benzinga. But Karr’s outlook on both assets is curiously consistent: “I think both are here to stay.” The Merits Of Cryptos For a gold guy, Karr speaks fairly thoughtfully of the ostensible enemy. “Cryptos have had this incredible rise over the last couple years,” he said. “Last year was just amazing. The younger generation, the 25- to 30-year-old millennials, they’re all very comfortable with cryptos, they like trading them and they see still very big potential upside.” He does anticipate the hype will dissipate, though. It's really interesting for the short-term phenomenon, but there’s definitely a speculative amount to it,” Karr said. “Like what we went through with the dot-com bubble going into the late 1990s ... probably the cryptocurrencies will have a little bit of a wash-out.” The Defense For Gold Cryptocurrency's stature isn’t seen to diminish the appeal of gold. As Karr sees it, the tangible asset has withstood the test of time both in substance and in value. An ounce of gold in the Roman Empire bought a custom-made suit of high-quality chainmail just as an ounce of gold today, at $1,350, buys a custom-made suit of high-quality fabric. “Over 2,500 years, that one ounce of gold gets you the same custom suit,” Karr said. “You can’t really say that yet for cryptocurrencies.” At the same time, Karr said the shiny brick will endure economic cycles, wars, geopolitical crises, computer crashes and grid failures, while the incipient cryptocurrencies haven’t yet proven their staying power. His confidence in gold echoes that of Goldman Sachs, which assured that the limited, unhackable resource is and will remain a relevant asset class in spite of cryptocurrency trends and its own lack of yield. Related Links: The Evolution Of Currency: From Gold To Bitcoin How Bitcoin Cash Could Supplant The Original Crypto"
2018-02-05,Gold Miners Celebrate A Weakening Dollar: 'Inflation Is Coming',"The U.S. dollar continued its 2017 decline through the first month of the new year, and some expect no immediate relief. The trend is welcomed by US Gold Corp (NASDAQ:USAU) CEO Edward Karr. “It should be a really good year for gold,” Karr told Benzinga in a recent interview. “I think gold’s going to go higher.” Why The Correlation? Historically, commodities have risen with inflation. As equity markets weaken, investors diversify into “safe havens” like gold, the value of which remains globally steady. “Gold has been a good long-term inflation hedge, and as the dollar declines, inflation will increase, especially through energy input costs because the price of oil becomes more expensive,” Karr said. “ ... I think inflation is coming.” What Affects The Dollar? The dollar’s value is relative to those of competitors, so strength in global currencies reduces the power of the dollar. Some economists attribute recent weakness to growth, particularly in Asian economies. The Federal Reserve can also drive a value change. Increasing interest rates incentivizes saving or bond investing, which causes deflation and increases the dollar’s value. Lowering interest rates triggers spending and economic growth, which causes inflation, reduces the dollar’s value and increases the appeal of non-yield-bearing assets like gold. A New Gold-Dollar Relationship Citigroup analysts recently argued the inverse correlation between commodities and the dollar has dissipated. “Commodity prices have traded in a strong inverse relationship with the U.S. dollar over the past decade or so, but this relationship broke down in late 2016 and the breakdown looks here to stay, the Citi analysts said. Merrill Lynch recently acknowledged the trend but said the correlation between commodities and the dollar remains. It's absolutely true that even though in the course of 2017 the correlation between oil commodities generally, and the dollar, has weakened, it is still a very very big driver,” Sabine Schels, head of fundamental commodities research at Bank of America Merrill Lynch, told CNBC. “And the causality really goes from the dollar to commodity prices.” Related Links: Where Experts Stand On Bitcoin After 40% Plunge This Gold Mining CEO Thinks Cryptos And Gold Are Both 'Here To Stay'"
2018-02-06,"When Markets Crash, What Do People Google?","The SPDR Dow Jones Industrial Average ETF (NYSE:DIA) and SPDR S&P 500 ETF Trust (NYSE:SPY) are recovering from 7.7-percent and 6.2-percent dips. The market moved down quickly over the last few sessions, leaving many on the Street surprised. People are waking up shocked — January was a very good month and suddenly you hit February and it’s all flipped, Kerry Craig, global market strategist at JPMorgan Asset Management, told Bloomberg. Craig said his email inbox flooded with clients asking what on Earth has happened? But concern seems slow to settle in. Early Tuesday, the world had more pressing inquiries about SpaceX and Oprah Winfrey, according to Alphabet Inc (NASDAQ:GOOGL)’s Google Trends. Financial market terms like “S&P 500 Index” and “Dow Jones Industrial Average” started the day with third-place rankings in the search engine’s most popular queries until late morning, when they rose to No. 1. “VIX” has claimed peak traffic since August as iPath S&P 500 VIX Short Term Futures TM ETN (NYSE:VXX) faded off an 88.2-percent spike. Volatility” fielded average interest for the year. Here's how global traffic on other relevant terms has changed as the markets shake: “Stock market” struck its highest traffic since the 2016 election. All preceding periods within the last year registered less than 75 percent of the interest seen in recent days. “Bitcoin” saw 38 percent of its peak mid-December popularity. Despite the SPDR Gold Trust (ETF) (NYSE:GLD)’s sharp sell-off, “gold” searches were relatively consistent with year-over-year traffic and marginally lower than the time of most intense interest at the end of December. Throughout the day, Commodity Futures Trading Commission, NASDAQ, New York Stock Exchange and Federal Reserve were also trending. Related Links: Credit Suisse Will Liquidate The XIV Short-Term Volatility ETN 2 Pros Break Down The Market Meltdown"
2018-02-07,"The Overlooked Relationship Between Gold And Bitcoin, Explained","Bitcoin bulls have long argued the cryptocurrency is a new store of value for investors thanks to its protection from inflation and its deregulated nature. In fact, even some bitcoin analysts have compared the currency to gold. Historically, there has been no clear indication of any correlation between bitcoin and gold prices, but UBS now says a very weak correlation has started to emerge. The surprising part about analyst Chris Louney’s findings is that the correlation is actually negative. “Toward the end of last year, we started to notice that correlation turned at least mildly negative,” Louney said on CNBC. “When we saw interest in bitcoin peak as measured by Google trends, that's really when we saw this marginal negative relationship between gold and bitcoin develop.” Flight From Safety? An inverse correlation suggests bitcoin prices tend to rise when gold prices fall and vice versa. So far in 2018, the most popular bitcoin fund, the Bitcoin Investment Trust (OTC:GBTC) is down 38.4 percent. The most popular gold investment fund, the SPDR Gold Trust (ETF) (NYSE:GLD), is up 1.1 percent. Standpoint Research analyst Ronnie Moas says bitcoin is a legitimate alternative to gold and could eventually compete with the $7 trillion value of the global gold supply. “An argument can be made that Bitcoin will be equal to Gold within 10-15 years,” Moas said in November. Standpoint has a $28,000 price target for bitcoin. Gold Is The Dependable Choice Other experts argue that bitcoin will never compete with gold on a large scale. The extreme volatility of the cryptocurrency market makes it too much of a risk for “flight to safety” investors. The past week, at least, suggest there’s very little safety in bitcoin at all. The SPDR S&P 500 ETF Trust (NYSE:SPY) tumbled 3.3 percent in the past week, but the price of bitcoin crashed 20.5 percent in that time. US Gold Corp (NASDAQ:USAU) CEO Edward Karr recently told Benzinga gold has an unparalleled history of reliability for investors that cryptocurrencies can’t come close to matching. “Over 2,500 years, that one ounce of gold gets you the same custom suit,” Karr said. “You can’t really say that yet for cryptocurrencies.” Related Links: 12 Cryptocurrencies To Watch In 2018 (Besides Bitcoin) Mark Yusko Explains 'The Miracle Of Bitcoin'"
2018-02-08,State Street Strategist: Every Portfolio Can Benefit From Gold,"Gold prices tend to move lower at the early stages of a stock market sell-off, according to one gold expert. The Expert George Milling-Stanley, head of State Street Global Advisors' gold strategy. The Thesis When faced with the prospect of margin calls, many investors and traders aren't interested in selling their stock positions at depleted levels, Milling-Stanley said during CNBC's Worldwide Exchange. Investors are instead turning to gold, or the thing that comes in useful when other things go down, Milling-Stanley said. Gold does its job, which implies investors will return to buy it back — so the current weakness in gold and gold-related products like the SPDR Gold Trust (ETF) (NYSE:GLD) is likely to reverse, he said. While there never is a bad time to be buying gold, now is certainly a perfect to be buyers of the commodity, he said. The pressure in gold has been to the upside, which creates an ideal scenario for investors, Milling-Stanley said. Every portfolio would benefit from a small strategic allocation to gold, and I don't think that the particular entry point is necessarily the thing to focus on. Some experts are saying there is a relationship between bitcoin and gold, but Milling-Stanley said he isn't seeing any evidence of that. Gold is among the least-volatile instruments, but bitcoin and other cryptocurrencies have proven to be exponentially bigger, which implies none of the cryptocurrencies are serious competitors to gold, he said. Price Actione Shares of the Gold Trust ETF were up 0.29 percent to $125.15 at the time of publication Thursday afternoon. Related Links: Gold Miners Celebrate A Weakening Dollar: 'Inflation Is Coming' This Gold Mining CEO Thinks Cryptos And Gold Are Both 'Here To Stay'"
2018-02-09,One Crazy Week In The Stock Market,"U.S. stocks had another volatile day of trading Friday, capping off one of the wildest weeks for the market in years. The S&P 500 and the Dow made a huge comeback Friday afternoon, but the indices still experience their most volatile week since October 2008. Once the dust settled on the week, the Dow had traveled more than 20,000 points, according to CNBC. The Dow closed Friday around 24,100 and the S&P 500 closed around 2,619. Know What You Own The consensus opinion among market experts is that investors shouldn’t panic after being blindsided by the sell-off. “The economy is doing better now than it has any time in the past decade,” Bankrate.com Chief Financial Analyst Greg McBride said Thursday. “This is just some healthy, and overdue, volatility to wring out any excess.” Unfortunately, Stifel chief economist Lindsey Piegza said “stay calm” doesn’t provide much comfort for investors who took huge hits this week. “From a longer-term view, or arguably a more level-headed perspective, advisors recommend knowing what you own and the reasons behind it, period,” Piegza said. Related Link: Correction Territory: Putting It Into Perspective Inverse Volatility Loop So where were all the selling pressure and wild market swings coming from? Inverse volatility funds, including the Credit Suisse AG – VelocityShares Daily Inverse VIX Short Term ETN (NYSE:XIV) and the ProShares Trust II (NYSE:SVZY), have taken much of the blame for the historical spike in stock market volatility this week. These inverse volatility ETNs are designed to be reverse-levered to the VIX volatility index. This leverage creates a unique situation where the assets under management of the funds decrease as the VIX rises. As the value of the VIX contracts being shorted increases, the fund also becomes “more short” the VIX, a phenomenon that must be offset by reducing short holdings, which once again involves buying underlying VIX futures contracts. “This buying pushes the volatility higher still, reducing AUM further, and making the issuer's hedging portfolio notionally more short, inducing further VIX futures buying to resize the portfolio to shrinking AUM,” Bernstein analyst Noah Weisberger said Thursday. In fact, things got so far out of control during Monday's after-hours trading session that the XIV dropped 80 percent from its previous day’s close, triggering an “acceleration event” that prompted Credit Suisse to liquidate the fund. Rising Bond Yields The other major culprit this week was rising bond yields. The bond market has definitely got the stock market's attention, said Ryan Detrick, senior market strategist at LPL Financial. Is the bond market telling us something we don't know? Is there more inflation down the road than we're expecting? Gorilla Trades strategist Ken Berman said the Federal Reserve has kept interest rates so low for so long that it has created some imbalances in the market. “The tough part of this market decline is that it has occurred against the backdrop of a strong government jobs report on Friday, which showed 200,000 new jobs,” Burns said Friday. Silver Linings Despite the major sell-off, there were still some silver linings for traders this week. Dennis Dick, co-host of PreMarket Prep, said traders using the right strategies made a lot of money this week. Days of extreme volatility often create short-term divergence among highly correlated stocks, Dick said. “These are your best days as relationship traders, because they're throwing everything everywhere,” Dick said. Brokers also had a great week. “Friday [Feb. 2] was the second busiest trading day in Fidelity’s history, and Monday was THE busiest trading day ever,” Robert Beauregard, director of public relations at Fidelity Investments, told Benzinga in an email. Robinhood and TD Ameritrade Holding Corp. (NYSE:AMTD) also had big weeks. Related Link: Analyst Explains The Inverse Volatility Fund Feedback Loop Price Action Here’s a rundown of how the market finished this crazy week: SPDR S&P 500 ETF Trust (NYSE:SPY) was down 5 percent. SPDR Dow Jones Industrial Average ETF (NYSE:DIA) was down 5 percent. PowerShares QQQ Trust, Series 1 (ETF) (NASDAQ:QQQ) was down 5 percent. iPath S&P 500 VIX Short Term Futures TM ETN (NYSE:VXX) was up 48.8 percent SPDR Gold Trust (ETF) (NYSE:GLD) was down 1.2 percent. iShares Barclays 20+ Yr Treas.Bond (ETF) (NASDAQ:TLT) was down 1.3 percent."
2018-02-15,"Q4 13F Roundup: How Buffett, Einhorn, Loeb, And Others Adjusted Their Portfolio","The latest round of 13-F filings from institutional investors is out, revealing to the world the stocks that some of the richest and most successful investors have been buying and selling. Takeaways From 13F Season Investors who follow particular fund managers can easily look up what each was buying and selling in the quarter, but other investors may be more interested in overall themes from 13F filings. Overall, it appears fund managers were doing more buying than selling of popular tickers. Altaba, the holding company with stakes in Alibaba and Yahoo Japan, fell out of favor with both Einhorn and Rosenstein, but Tepper bought both Alibaba and Altaba. Einhorn and Buffett also took profits in General Motors, but Rosenstein was buying. Buffett and Tepper were both buying Apple. Among the FANG stocks, managers were most bullish on FANG stocks, with Rosenstein, Coleman and Tepper all buying Facebook shares. Einhorn and Soros were buying brick-and-mortar retailers, including JC Penney, Nordstrom, Michael Kors, Urban Outfitters, Gap and American Eagle. Here’s a rundown of how the smart money was playing some of the most popular stocks last quarter. David Einhorn’s Greenlight Capital Notable Q4 Buys/Increases: Twitter Inc (NYSE:TWTR) J C Penney Company Inc (NYSE:JCP) Nordstrom, Inc. (NYSE:JWN) Michael Kors Holdings Ltd (NYSE:KORS) Notable Q4 Sells/Decreases: Kroger Co (NYSE:KR) General Motors Company (NYSE:GM) Altaba Inc (NASDAQ:AABA) Hewlett Packard Enterprise Co (NYSE:HPE) Dan Loeb’s Third Point Notable Q4 Buys/Increases: Netflix, Inc. (NASDAQ:NFLX) Monsanto Company (NYSE:MON) General Dynamics Corporation (NYSE:GD) Aetna Inc (NYSE:AET) MGM Resorts International (NYSE:MGM) Notable Q4 Sells/Reductions: Bank of America Corp (NYSE:BAC) T-Mobile US Inc (NASDAQ:TMUS) Marathon Petroleum Corp (NYSE:MPC) Barry Rosenstein’s Jana Partners Notable Q4 Buys/Increases: General Motors Facebook Inc (NASDAQ:FB) Comcast Corporation (NASDAQ:CMCSA) Notable Q4 Sells/Reductions: Salesforce.com, Inc. (NYSE:CRM) Tiffany & Co. (NYSE:TIF) Pandora Media Inc (NYSE:P) Lululemon Athletica inc. (NASDAQ:LULU) Altaba Chase Coleman’s Tiger Global Notable Q4 Buys/Increases: Facebook Salesforce.com Visa Inc (NYSE:V) Notable Q4 Sells/Reductions: Mastercard Inc (NYSE:MA) Microsoft Corporation (NASDAQ:MSFT) Netflix JD.Com Inc(ADR) (NASDAQ:JD) Roku Inc (NASDAQ:ROKU) Warren Buffett’s Berkshire Hathaway Notable Q4 Buys/Increases: Apple Inc. (NASDAQ:AAPL) Monsanto Company (NYSE:MON) Teva Pharmaceutical Industries Ltd (ADR) (NYSE:TEVA) U.S. Bancorp (NYSE:USB) Notable Q4 Sells/Reductions: International Business Machines Corp. (NYSE:IBM) Wells Fargo & Co (NYSE:WFC) American Airlines Group Inc (NASDAQ:AAL) General Motors George Soros’ Soros Fund Management Notable Q4 Buys/Increases: Urban Outfitters, Inc. (NASDAQ:URBN) Overstock.com Inc. (NASDAQ:OSTK) Halliburton Company (NYSE:HAL) Gap Inc (NYSE:GPS) Centurylink Inc (NYSE:CTL) Caesars Entertainment Corp (NASDAQ:CZR) American Eagle Outfitters (NYSE:AEO) Notable Q4 Sells/Reductions: Mondelez International Inc (NASDAQ:MDLZ) Carl Icahn’s Icahn Capital Notable Q4 Buys/Increases: SandRidge Energy, Inc. (NYSE:SD) Notable Q4 Sells/Reductions: Manitowoc Company Inc (NYSE:MTW) Bill Ackman’s Pershing Square Capital Notable Q4 Buys/Increases: Mondelez International Nike Inc (NYSE:NKE) Notable Q4 Sells/Reductions: None Leon Cooperman’s Omega Advisors Notable Q4 Buys/Increases: Zynga Inc (NASDAQ:ZNGA) Wells Fargo & Co (NYSE:WFC) Mylan N.V. (NASDAQ:MYL) Humana Inc (NYSE:HUM) SPDR Gold Trust (ETF) (NYSE:GLD) CBS Corporation (NYSE:CBS) Citigroup Inc (NYSE:C) Notable Q4 Sells/Decreases: Paypal Holdings Inc (NASDAQ:PYPL) American International Group Inc (NYSE:AIG) Aetna David Tepper’s Appaloosa Management Notable Q4 Buys/Increases: T-Mobile Micron Technology, Inc. (NASDAQ:MU) MGM Resorts Facebook Comcast Bank of America Apple Altaba Alibaba Group Holding Ltd (NYSE:BABA) Notable Q4 Sells/Decreases: Alphabet Inc (NASDAQ:GOOGL) Related Links: Ray Dalio: Recession Risk Rising In The Next 18-24 Months Bill Ackman Defends Another Down Year For Pershing Square"
2018-02-15,Can Bitcoin Be Used As A Safe Haven During Stock Market Volatility?,"Bitcoin bulls arguing that the popular cryptocurrency could surpass gold as a flight to safety investment have gotten some discouraging market feedback in the past several weeks. When the S&P 500 experienced its largest sell-off in years this month, it coincided with bitcoin’s lowest price dip in months, indicating investors don’t yet see cryptocurrency as a safe way to preserve value. A longer-term picture of the correlation between the SPDR S&P 500 ETF Trust (NYSE:SPY) and the Bitcoin investment Trust (OTC:GBTC), however, suggests if volatility ever dies down in the cryptocurrency market, bitcoin might emerge as a compelling flight to safety investment. The Good News For Bitcoin Bulls Here’s a look at the Portfolio Visualizer daily return correlation matrix for the SPY, the GBTC, the SPDR Gold Trust (ETF) (NYSE:GLD), the United States Oil Fund LP (ETF) (NYSE:USO), the iShares Barclays 20+ Yr Treas.Bond (ETF) (NASDAQ:TLT) and the iPath S&P 500 VIX Short Term Futures TM ETN (NYSE:VXX). The correlations are calculated based on daily returns since May of 2015. Low Correlation With Other Asset Classes The numbers suggest that the GBTC bitcoin fund does have a relatively low 0.07 correlation with the SPY ETF. In fact, the GBTC ETF has even less of a correlation to stocks than the GLD ETF, which has a negative 0.19 correlation. The negative correlation likely comes in part by the fact that investors tend to buy gold on days of market weakness. Those arguing for bitcoin being its own asset class would point to the fact that the GBTC has very low correlation to stocks, gold, oil, treasury bonds or even market volatility, according to the table. Internal Volatility Is The Problem Unfortunately, there’s one key component of a safe haven investment that bitcoin is sorely lacking—stability. Traders use a metric called average true range (ATR) to determine daily asset volatility. Over the past 14 days (as of Feb. 13), amid all the stock market turmoil, the ATR of the SPY ETF as a percentage of its trading price has been about 1.7 percent, according to Stockcharts.com. In that same period, the ATR of the GLD as a percentage of its share price has been a relatively stable 0.8 percent. The ATR of the GBTC as a percentage of its share price, however, has been an incredibly volatile 14.2 percent. With a volatility that high, investors simply can’t feel safe in bitcoin-related investments in the near-term, even if the cryptocurrency has near zero correlation with stock prices. For now, bitcoin traders can feel good knowing that the stock market doesn’t appear to be influencing bitcoin prices in any major way. But stock investors will likely stick to the relative stability of gold and other traditional safe-haven plays until the cryptocurrency market settles down. Related Links: Goldman Sachs Predicts The Current Generation Of Cryptocurrencies Likely Won't Survive The Overlooked Relationship Between Gold And Bitcoin, Explained"
2018-02-19,The Luster On Gold ETFs Is Still Intact,"Major gold-backed exchange traded products, such as the SPDR Gold Shares (NYSE:GLD) and the iShares Gold Trust (NYSE:IAU), are sporting solid year-to-date showings. Some market observers, however, are voicing concerns about the yellow metal after it declined during the volatility spike earlier this month. Gold's lack of positive response to the surge in the CBOE Volatility Index, also known as the VIX, vexed investors and led some to question the precious metal's safe-haven status. “With the CBOE Volatility Index reaching as high as 37 over the last two weeks, a level not seen since August 2015, it was agreed upon that fear had reentered the market,” said CFRA Research analyst Lindsey Bell in a note last week. “However, the price of gold, which is often considered a safe haven asset in times of uncertainty, declined just over 3 percent from its recent high on Jan. 25 through last Friday.” Remaining Steady Although gold disappointed a bit earlier this month, GLD and IAU are still up 3.5 percent this year and spot gold prices have remained above the technically important $1,300 per ounce level. “There are several outside factors that affect the direction of gold, which has steadily remained above the $1300 level since the start of 2018,” said Bell. “In actuality, the VIX has a low correlation to the direction of gold. The dollar on the other hand, has a significant correlation with gold prices. Inflation and interest rates also have an impact. The US Dollar Index is currently about 7 percent lower than its average price in 2017, while gold has appreciated by 5 percent over its average price in 2017.” The PowerShares DB US Dollar Index Bullish Fund (NYSE:UUP), which tracks the dollar's performance against the euro, Japanese yen, British pound, Canadian dollar, Swedish krona and Swiss franc, is down 3.1 percent this year. An Inflation Hedge Rising inflation could be a catalyst for GLD, IAU and rival gold ETFs because the yellow metal is historically a favored hedge against rising consumer prices. “Gold has a negative correlation of 48 with the dollar, explaining the opposite moves. Inflation has a negative 17 correlation and the Federal Funds rate has a negative correlation of 57,” said Bell. “In other words, most simply put, the best environment to own gold is one in which the dollar, inflation and interest rates are declining.” “The January reading on consumer prices released on Wednesday showed prices rose more than expected, up 0.5 percent versus the 0.3 percent expectation,” reports Reuters. “The core reading rose 0.3 percent against the 0.2 percent forecast. Both numbers increased from the 0.2 percent reading for December.” Related Links: A Dividend Surprise in This ETF Vanguard Gets Active With New Factor ETFs Disclosure: The author owns shares of IAU."
