created,title,body
2010-02-09,"Hedging With Gold Miners (AEM, GFI, NGD, DGL)","In the last period of sharply rising prices (the late 1970s), Gold shot from $100 to $850. This gold bull began at $250 9 years ago, and Gold bug such as hedge funds manager John Paulson believes it may peak well above $2,125 an ounce before this one's over. Last Thursday Gold price plummeted $50 as mounting debt worries out of Portugal, Ireland, Greece and Spain (PIGS countries) and boosted the dollar to a multi-month high. Is it still a good time to jump on the bandwagon? 4 Reasons to Hold Gold 1. Even though we're still in a deflationary environment, there will be a time when we have to worry about inflation as government spending continues to grow. 2. Central banks like India and China hold much more of their reserves in the U.S. dollar than in gold for economic and political reasons, but there's a clear, long-term diversification away from the greenback and Gold is benefit from this trend. 3. Gold’s price is highly correlated with political instability and has negative correlation with stock market (http://seekingalpha.com/article/149636-portfolio-diversification-is-key-consider-these-etfs). 4. In September 2009, Barrick Gold (ABX), the 2nd largest gold-mining company in North American, lifted its hedge against gold prices falling, an admission it expects gold prices to continue to rise. 18 Major Gold-Mining Companies # Name (Symbol) Mkt cap P/E Forward P/E (1yr) 1 Barrick Gold (NYSE: ABX) 35.23B - 13 2 GoldcorP (GG) 26.02B 23 28 3 Newmont Mining (NYSE: NEM) 22.66B 30 15 4 AngloGold Ashanti (AU) 13.92B - 16 5 Kinross Gold Corp (NYSE: KGC) 11.95B - 26 6 Agnico-Eagle Mines (NYSE: AEM) 8.48B 140 28 7 Gold Fields Limited (NYSE: GFI) 8.19B 27 9 8 Compania de Minas (NYSE: BVN) 7.85B 24 11 9 Yamana Gold (NYSE: AUY) 7.67B 22 14 10 Randgold Resources (NASDAQ: GOLD) 6.27B 118 - 11 Lihir Gold Limited (NASDAQ: LIHR) 6.24B - - 12 IAMGOLD Corp (NYSE: IAG) 5.15B 104 18 13 Eldorado Gold (NYSE: EGO) 4.94B 27 31 14 Harmony Gold Mining (NYSE: HMY) 4.03B 23 14 15 Royal Gold (NASDAQ: RGLD) 1.81B 41 30 16 New Gold Inc (AMEX: NGD) 1.64B - 18 17 Gammon Gold (NYSE: GRS) 1.27B 217 11 18 NovaGold Resources (AMEX: NG) 1.03B - - Gold mining companies have their own business risks influenced by many factors, such as the grade and depth of the deposit, financial as well as operation issues. Production cost varies among these companies, from Eldorado Gold (EGO)’s $300 an ounce to Gold Fields (GFI)’s $600 an ounce. Also, profits can swing wildly for companies lacking of price hedges. 10 Gold ETFs # Fund Name (Ticker) 1 SPDR Gold Shares (NYSE: GLD) 2 Market Vectors Gold Miners ETF (NYSE: GDX) 3 iShares COMEX Gold Trust (NYSE: IAU) 4 PowerShares DB Gold Double Long ETN (NYSE: DGP) 5 Ultra Gold ProShares (NYSE: UGL) 6 PowerShares DB Gold (NYSE: DGL) 7 PowerShares DB Gold Double Short ETN (NYSE: DZZ) 8 UltraShort Gold ProShares (NYSE: GLL) 9 PowerShares Global Gold & Prec Metals (NASDAQ: PSAU) 10 PowerShares DB Gold Short ETN (NYSE: DGZ) SPDR Gold Trust (GLD) is now the second-largest ETF, after SPDRs (SPY) which tracks the S&P 500. Market Vectors Gold Miners ETF (GDX) consists of companies involved in the gold mining industry. Conclusion According to Douglas Breeden, professor of Duke University, historical statistics are insufficient for accurately assessing risk. Since 1975, housing prices have never declined in the U.S. for a full 5 to 10 year period. Yet, price declines have occurred in 2008 and 2009 that have never been seen, or even imagined, since the Great Depression of the 1930s. One of the worst misuses of models is to look at history to determine the worst that has been seen and concluded that it is the worst that can be. The problem is that the historical scenario may not be bad enough. We need to think about circumstances that have not occurred but are possible. Besides its use in jewelry, gold serves very few functions. For protection against inflation, you can always use iShares Barclays TIPS Bond (TIP), or as Warren Buffett does: investing in companies that have the ability to pass on price increases. With average forward P/E of 19 for major gold mining stocks, it might indicate Gold is overvalued. However, no one knows when and where the next shoe will drop. Even without a potential new round of stimuli, current level of U.S. borrowing indicates that the U.S. dollar may depreciate over the long term. Sooner or later inflation might come. If the world really does falls into the cliff, gold might prove a nice insurance. I allocate a few pentane of my portfolio in gold mining stocks, just for a peace of mind. Disclose: I have long position on ABX, NEM, and TIP. Data are from iShares (http://us.ishares.com), Google and Yahoo Finance as of February 5, 2010. Stocks: ABX, AEM, AU, AUY, BVN, DGL, DGP, DGZ, DZZ, EGO, GDX, GFI, GG, GLD, GLL, GOLD, GRS, HMY, IAG, IAU, KGC, LIHR, NEM, NG, NGD, PSAU, RGLD, TIP, UGL"
2010-02-09,Inverse Dollar Trade 2/9/10,"All eyes will be on the US dollar as the risk aversion trade and news whether a bailout will or will not happen out of Europe continues to be the driving force. As noted in our commentary Monday, we expect some type of resolution and the flow of money that went into Treasuries and the dollar last week to find its way back to equities and commodities. Now for the trades: Oil put in an impressive showing today closing virtually 3% higher. We would still suggest waiting for the inventory number this week before committing fresh capital. We should have some new suggestions in the coming sessions. RBOB was higher by 2%; clients are long June call spreads anticipating a trade back near $2.15/2.20. Check out the United States Oil Fund (NYSE: USO). The USO is the ETF that tracks crude oil. Natural gas could go either way; we will look at longs closer to $5 and shorts closer to $6. In the middle of the range we have NO interest. Indices are rallying; we expect 1084 and then potentially 1100 in the S&P. On that, we will be buying clients June 1000 puts. Today’s price $1800, we will be working limits for less in the coming days. The USDA report was friendly to most agriculture products; as for softs, cotton was up the daily limit and OJ a gainer by 2.5%.Clients own no cotton but they are long OJ. They are still looking for a trade up to $1.50 and have gtc profit orders working. If we get a bailout in Europe expect Treasuries to fall back; we may look at selling NOB spreads in the coming sessions (short 30-yr/long 10-yr).Clients continue to scale into shorts in long dated Euro-dollars. I would’ve hoped for more out of corn today though prices were still higher on the day. We did not get a bullish reaction from the USDA but in 2 weeks if we get talk of planting delays or 6 weeks from now we get a bullish planting intentions report these levels may not be seen for some time. We like long exposure with a 3-6 month time frame. Clients were advised to take off their April live cattle calls at a profit today and to buy June futures against their April shorts. We expect this trade to play out with a move lower from here (exit April) and then a resumption of the uptrend (long June). On the exitm clients made approx. $600 which is about the same amount they are down on their April futures. The difference is they raised cash and lowered their exposure and margin. April lean hogs were unable to penetrate the trend line and closed back below the 20 day moving average. For now sit on your hands. Silver and gold were higher but we need to see an interim top in the US dollar to feel comfortable adding to client’s positions. If gold has consecutive closes back above the 50 day moving average I will reconsider; in April at $1086. Nothing new in silver; clients hold light long exposure. Check out iShares COMEX Gold Trust (NYSE: IAU). IAU is the ETF that tracks gold prices. The Euro/Yen cooperated today for a change as clients picked up just over $1800 on their spread. With some luck they will be out of this trade at a profit in the coming 48 hours. A trade to 1.3900 in the Euro or 1.1000 in the Yen is what we would be looking for. The dollar traded below the 20 day MA but closed above; use that level as your pivot point at 79.80. by: Matthew Bradbard, MB Wealth Originally written for MBWealth's Commodity Blog Risk Disclosure: The risk of loss in trading commodity futures and options can be substantial. Past performance is no guarantee of future trading results."
2010-02-24,Ignore the Noise 2/23/10 ,"Having a trading plan and ignoring the wild swings is vital in this environment. A doji star on the daily candlestick chart tells me that we may have hit an interim top yesterday. The low today in the April contract was within 6 cents of the 40 day moving; for now that level supports. We still think a trade down to the 200 day moving average is in the cards; in April that level comes in at $75.50. April natural gas traded to its lowest level since December 4th. On December 3rd this contract bottomed at $4.775 and within 30 days rallied 26%, is history about to repeat itself? We have not bought futures for clients yet but we expect to be a buyer in the next 24/48 hours in May and June. As for options we still like the June $5/5.50 call spreads. Equities were hit today, if the 100 day moving averages give way we should see more selling pressure. We continue to position our clients short the ES and S&P expecting a trade to 1000 by Memorial day. May sugar closed below the 100 day moving average for the first time in 10 weeks. We are not suggesting long futures until we get a turnaround which should be close. As for the May 25/30 1:2 ratio spread on further weakness we may buy back the 30 cent leg…stay tuned. We moved the coffee order from 300 to 220 and cut losses in the May $135/145 call spreads today for clients; a loss of $244/per. We wanted to sell Treasuries from higher levels and the market is delivering. We see upside resistance in June 30 yr bonds at 117′16 followed by 118′00. Agriculture gave back some of its gains from yesterday but as a whole there was no damage done to the charts. We continue to like long exposure in corn and soy meal and soybeans for the more aggressive trader. Live cattle started to roll over today; clients are positioned short in April puts and in a calendar spread long June and short April. As previously stated we are looking for a trade back to 89.00 in April futures which should get both of these trades profitable. April gold traded below $1100 today but as of this post is a couple dollars above that level. On a breach of that level on a closing basis expect 1165/1170 to come into play. We suggest the sidelines on futures and would be a buyer of August options on a further dip. The silver chart is uglier with prices losing almost 2.50% today. The trend line that has been in pace for the last 2 weeks held but we did close below the 200 day MA. With so much seasonal weakness unless the dollar comes off I would scale down your longs as a move back to $14.65 is not out of the question. It is OK to be in cash if you are unsure! We left the Euro longs today at a loss for clients today; they lost between 2-2.50 cents ($2500- $3125) on their Euro longs but we were able to offset about half that loss on short Yen and short Swiss Francs. As for currency exposure clients only hold June Yen call spreads which should work out well if futures make their way back to 1.1300. Risk Disclosure: The risk of loss in trading commodity futures and options can be substantial. Past performance is no guarantee of future trading results. MB Wealth Corp. is not responsible and does not endorse anything outside of the content of this article authored by Matthew Bradbard; President of MB Wealth. Benzinga recommends that you look at iShares COMEX Gold Trust (NYSE: IAU). The IAU is an ETF that tracks gold prices. You should also check out iShares Silver Trust (NYSE: SLV). The SLV tracks silver prices."
2010-02-25,When Bad news is Good news 2/25/10,"It is not always how the report comes out but how the market reacts. Being oil has had trouble getting above $80 on a closing basis in recent sessions and charts are oversold we decided to get some short exposure for clients today. Intra-day prices were below both the 40 and 50 day moving averages but we did close above both levels. Braver traders than I can be short futures; we prefer to own May $75/70 put spreads for clients. They paid $1350/per today and will be looking to exit at $1900/2000 on a trade near $75. We have not acted on futures as of yet in natural gas but we think we will before the weekend, so that leaves tomorrow. The path in the immediate future in equities appears to be down; continue to sell rallies as the S&P should make its way to 1050 in the coming weeks. Clients got another opportunity to buy back their upper leg on their May 25/30 sugar spreads. We advised them to cover 1/2 their position so they are now in 1:1 25/30 call spreads. If the triple bottom holds from this week we should see a trade north of 26 cents in May futures. Out of nowhere cotton was up 2.5% today to fresh highs. Our clients are positioned short via a 90 call/74 put July fence. We will stay the course though it could be painful for a few sessions. We maintain that a trade under 75 cents is likely in the next 30 days. Treasuries are getting closer to where we would be interested in selling but we’ve yet to make a move for clients. As we said yesterday we see a trade up to 118′00 before there is any serious resistance. Inside day in corn but of all the agriculture it was down the least. We maintain our bullishness for clients via options and futures expecting 50/60 cents upside by the end of March. Tighten up stops on longs in soybeans and soy meal as they could re-visit the lows from 2 weeks ago. Clients were advised to book a profit on their long June live cattle and remain short the April. So now they own April puts and are short April futures anticipating a trade down to 89 cents. I was very delighted by the action in silver and gold today; albeit with a rumor on buying from China the turn around was impressive. April gold closed back above the 50 and 100 day moving averages and on some follow through tomorrow we will look to re-establish long futures for clients. Their only open position in gold is August $1150/1250 call spreads that are fighting back after today’s action. A bullish engulfing candle in silver today on good volume should mean that prices are heading north once again. Clients remain long via May and July calls and like gold if we get some upside follow thru tomorrow we would be interested in adding to long futures. We advised clients to lift their long Yen today at a small profit as prices were not able to get through 1.13. These positions were originally put on as a hedge and we no longer own that position. Clients own a very small position long the Euro via April 140 calls to take advantage of a potential move to 1.38/1.39 into next week. Risk Disclosure: The risk of loss in trading commodity futures and options can be substantial. Past performance is no guarantee of future trading results. MB Wealth Corp. is not responsible and does not endorse anything outside of the content of this article authored by Matthew Bradbard; President of MB Wealth. Benzinga Recomends that you look at the iShares COMEX Gold Trust (NYSE: IAU). The IAU is the ETF that tracks gold. The iShares COMEX Gold Trust was up 0.86% in today's session."
2010-02-27,PHYS: Now You Can Store Your Gold in Canada,"Note (added 3/2/10): The article below contains an error. PHYS is actually a closed-end fund, not an ETF. For more information, see PHYS is Not an ETF. Sprott Physical Gold Trust (PHYS), the latest physically backed gold exchange-traded product began trading yesterday (2/26/10) on the NYSE. The fund also applied for listing on the Toronto Stock Exchange under the symbol PHY, but it appears that Canadian trading has not yet commenced. The fund will be managed by Toronto-based Sprott Asset Management and will store its gold at the Royal Canadian Mint. With the introduction of PHYS, investors can now choose between physically backed ETFs that safeguards gold bullion in Zurich, Canada, London, and US vaults. The fund’s new website does not contain much information at this time. The prospectus highlights the potential benefits of the offering, which include: Ability to Redeem Units for Physical Gold Bullion: Unit holders will have the ability, on a monthly basis, to redeem their units for physical gold bullion in a minimum of one bar (350 to 430 troy ounces) for a redemption price equal to 100% of the NAV minus expenses. Storage at the Royal Canadian Mint: The Trust’s physical gold bullion will be fully allocated and stored at the Royal Canadian Mint. Potential Tax Advantage For U.S. Investors: Any gains realized on the sale of units for U.S. federal income tax purposes, may be taxable as long-term capital gains (at a maximum rate of 15% under current law, compared to a long-term capital gains tax rate of 28% applicable to physical gold bullion and other “collectibles”), provided that such U.S. investor has made a timely and valid Qualified Electing Fund election with respect to the units. Note: I recommend consulting a qualified tax specialist if you are relying on this claim. PHYS will have expenses capped at 0.65%, making it more expensive than its major competitors. PHYS traded more than four million shares on Friday and closed at $9.59. This means each unit worth less than 1/100 of an ounce. Its three prime competitors are: SPDR Gold Shares (GLD), expense ratio = 0.40% (overview) iShares COMEX Gold Trust (IAU), expense ratio = 0.40% (summary) (IAU article) ETFS Physical Swiss Gold Shares (SGOL), expense ratio = 0.39% (summary) (launch article) In related news, Eric Sprott, CEO of Sprott Asset Management, purchased 8 million units of the new fund as part of the IPO. It’s nice to see that management believes in the product. Disclosure covering writer, editor, and publisher: Long GLD. No positions in any of the companies or ETF sponsors mentioned. No income, revenue, or other compensation (either directly or indirectly) received from, or on behalf of, any of the companies or ETF sponsors mentioned."
2010-03-01,March Forward Or Backward?? 3/1/10,"Crude was down just over 1% today closing almost $2 off its highs. We continue to suggest selling near $80/barrel expecting a trade near $75 in the coming weeks. We suggest on futures to have stops above $81, in options clients own May $75/70 put spreads. Natural gas was lower by almost 3% and though we are playing with fire we still like lightly buying April futures; buy 1/4 to 1/3 of the ultimate position you want to own and then add to it when the market confirms you are right. As for option traders we suggest purchasing the June $5/5.50 call spreads. We remain unconvinced a trade higher in Indices can hold and have advised clients to sell into this strength. We suggest scaling into shorts in the S&P at 1111 and 1125. Clients own June 1050 and 1000 ES puts and are slightly under water. We advised clients to buy back the remainder of their 30 cent sugar calls today. They booked a profit on their short 30’s and know hold May 25 cent calls and need a rally. The 200 day moving average held today in May at 21.92. Prices are oversold and have remained above the 200 day since April of 2009 when prices were under 15 cents/lb. Cotton was higher today but did mange to close 1.30 cents off its highs. Clients are positioned to take advantage of a break back below 75 cents this month. Bearish engulfing candles formed in the daily corn and wheat charts so a trade lower in the short term is likely. Those that have yet to get in corn we suggest using this set back to get on board. 5 days running live cattle have closed lower; we may get a brief rally but sell it as a trade to 89.00 cents is what we are predicting in the April contract. I am confused in the metals; prices could go either way. We have clients lightly long both gold and silver but would be quick to exit on a close below $1106 in April gold and below $16.08 in May silver. For new entries we suggest trading light! The currency market is absolutely madness as 1-2% daily swings are common place in a variety of crosses. We continue to think the dollar is topping and as long as the Euro-currency can hold the recent lows we think a moderate bounce is likely; 1.38/1.39. The Pound remains the dog and should be sold on rallies but only for traders with a high tolerance for risk. Risk Disclosure: The risk of loss in trading commodity futures and options can be substantial. Past performance is no guarantee of future trading results. MB Wealth Corp. is not responsible and does not endorse anything outside of the content of this article authored by Matthew Bradbard; President of MB Wealth. Benzinga Recommends that you take a look at the iShares Silver Trust (NYSE: SLV) and the iShares COMEX Gold Trust (NYSE: IAU). The SLV is an ETF that tracks silver prices. The iShares Silver Trust was up 0.19% today. The IAU is an ETF that tracks gold prices. The iShares COMEX Gold Trust was up 0.02% in today's session."
2010-03-02,PHYS is Not an ETF,"I previously wrote an article entitled PHYS: Now You Can Store Your Gold in Canada. After discussions with Michael Traynor of the National Stock Exchange, I agree with their conclusion that PHYS is not an ETF. In some ways, PHYS is similar to other physically-backed gold products such as SPDR Gold Shares (GLD), iShares COMEX Gold Trust (IAU), and ETFS Physical Swiss Gold Shares (SGOL). However, it lacks one vital feature – the daily creation/redemption process. As I have said many times, this is the one feature that sets apart ETFs from other products. A closer inspection of the PHYS prospectus reveals that it is actually a “closed-end mutual fund trust.” As such, it is likely to trade at a premium or discount to intrinsic value, just like other closed-end funds. In fact, it appears PHYS is already trading at a premium. The shares climbed nearly 1.9% on Monday while GLD, IAU, and SGOL were nearly unchanged. However, PHYS does have a monthly redemption provision, which should prevent the premium or discount from becoming too large. Disclosure covering writer, editor, and publisher: Long GLD. No positions in any of the companies or ETF sponsors mentioned. No income, revenue, or other compensation (either directly or indirectly) received from, or on behalf of, any of the companies or ETF sponsors mentioned."
2010-03-03,Are The $ Correlations Back? 3/3/10,"The dollar cut thru the 20 day moving average like a hot knife thru butter and in just 2 days erased the previous 2 weeks of gains. The dollar is in control of the destiny of commodities in the short run. As we’ve voiced in recent posts we expect sideways to down in the dollar and the 9% appreciation since the first week of December was a gift. The Pound and Euro should catch a bid from here but I’m undecided if I want to be involved with clients. We still could get a trade to 1.38/1.39 in the Euro but my clients will be absent. They took a profit on their April calls today. If the Cable was to fill the gap from Sunday at 1.5232 we will likely get short for clients. They still hold June puts in the Yen and will try to navigate there as best as possible; we are looking for a trade to 1.10 in the coming weeks. Depending on how tight you ran stops you were likely stopped on your April crude shorts. We think a move lower is likely but prices may stay afloat if the dollar moves south. Clients still hold May put spreads. We advised clients who were not already involved in natural gas to buy June $5/5.50 call spreads or April futures. It may be contrarian but we still like selling rallies in the Indices; our vehicle of choice is the S&P and ES. Sugar traded 2.6% lower but the 200 day MA held. Clients are buying here expecting a trade back above 26 cents in May; current price 22.05. The 100 day MA has held for the last 2 session in 30-yr bonds at 116′24. We are looking to be a seller from higher levels for clients. Those more aggressive than me could buy and run stops under to 100 day MA. We expect sideways action in the grains in the coming sessions but would advise a small long position into next weeks USDA. If forced to pick just one we suggest corn. Live cattle traded back within 1/2 cent of its contract highs; we are sellers still with clients expecting 89.00 in April. April gold ticked slightly higher today, this allowed us to exit stage left. We advised clients to book their profits on all gold longs and move to the sidelines and wait for a set back to get re-positioned. May silver traded to its 100 day moving average but failed to penetrate. We advised our more conservative clients to book profits on their May positions and our more aggressive clients to roll their May out to July contracts. This allows them to take advantage of further upside but have time in case we get a correction. Risk Disclosure: The risk of loss in trading commodity futures and options can be substantial. Past performance is no guarantee of future trading results. MB Wealth Corp. is not responsible and does not endorse anything outside of the content of this article authored by Matthew Bradbard; President of MB Wealth. Benzinga recommends that you look at iShares COMEX Gold Trust (NYSE: IAU). The IAU is an ETF that tracks gold prices. Today, the iShares COMEX Gold Trust was up 0.51%. You should also check out iShares Silver Trust (NYSE: SLV). The SLV is an ETF that tracks silver prices. The iShares Silver Trust was up 1.51% in today's trading."
2010-03-03,"ALL THAT GLITTERS IS GOLD? (PHYS, GLD, NAV, IAU, GTU, CEF)","The buzz the past few trading days has been the issuance of a new gold closed-end mutual fund with some unique features—redemption (not spiritual), or the ability to take delivery of 400 ounce gold bars, and potential tax advantages. Toronto based Sprott Asset Management raised $400M in an IPO February 26, 2010 of Sprott Physical Gold Trust (NYSE:PHYS). On March 3rd, the fund will have cash from settlement and will start buying 400 ounce gold bars. It will do so through bullion dealers in Toronto and London. The gold purchased will be with nearly the full sum of proceeds and delivered as London Good Delivery to the Canadian Mint where it will be stored. As a closed-end fund investors can expect the PHYS to trade at a premium or discount to Net Asset Value (NYSE: NAV) at any time. Further fund management has indicated a desire to sell new shares periodically (they’d like to raise an additional $600M) as is typical of other closed-end funds. New share issues would be dilutive to existing holders causing shares to fall if only temporarily. This often leads to some short-term frustration since this often happens just when the NAV and premium for existing shares is rising. Demand must be strong in this case and fund management will take advantage of it which is a business decision. Also consistent with closed-end funds versus ETFs are higher fees. PHYS annual fee is .60% versus popular gold ETFs like SPDR Gold Trust ETF (NYSE: GLD) and iShares COMEX Gold Trust ETF (NYSE: IAU) with management fees of .40%. But, what separates PHYS from other products like Central Gold Trust(AMEX: GTU) and Central Fund Canada (AMEX: CEF) is the redemption feature plus perhaps certain tax advantages. The tax advantage per the prospectus states: “Any gains realized on the sale of units by an investor may be taxable as long-term capital gains (at a maximum rate of 15% under current law)”. This would then avoid the 28% tax on collectables also under current law. There may be circumstances where this can all change obviously. The redemption feature works as follows: An investor in the fund may take physical delivery of a minimum of one 400 ounce bar by contacting the fund on the 15th of each month outlining the details of the delivery request including number of bars and so forth. It’s up to the holder to make arrangements for delivery and this can be cumbersome. However, an investor may opt to arrange with Brinks or another armored car service to pick-up the gold and transfer it to another storage provider who will take and hold London Good Delivery bars. Currently this might cost $2500 per bar which isn’t that costly given prevailing value of a bar at around $450,000. Or, if you’re feeling man enough, you can pick bars up yourself and toss them in the trunk of your mini. Um, bring your shotgun. So what’s the big deal about redemption and taking delivery anyway? Because you can! This brings peace of mind to those with more extreme views who question the validity of assets backing various ETFs currently so popular. For example the COMEX has recently changed physical delivery previously customary for most commodity contracts. They might issue a certificate for an ETF like GLD in lieu of delivery. Other more extreme views prevail regarding this issue. Many, coin dealers and other vendors (“GOLD…Call Now!”), trash competitive products like current ETFs since they have coins to sell. They play to your fears of a financial Armageddon arguing you’ll need to hold the metal in your hand to buy bread. Also, given the financial roller-coaster infecting the global financial system, many fiduciaries are bound to insure clients and members that they have access to the “real deal”. Further, a 400 ounce bar cost is expensive precluding delivery for most retail investors making it an institutional investment. What conditions would need to exist for investors to take delivery? A financial Armageddon where gold prices are soaring not falling. In that case, the cumbersome nature of the redemption process is a small inconvenience. Aside from taking comfort in the integrity of what you own delivery is the ultimate attraction. Won’t all these gold issues affect gold prices? Not necessarily. However, supplies and new gold discoveries are lessening. There remains activity on both sides of the market. Many central banks, and the IMF recently, are selling but others (Russia, China & India) are buying. Clearly with an increasing supply of gold products such as PHYS available, gold has never been more in focus. The many gold products coming to market are an indication of discomfort with current market conditions and monetary policies. We welcome PHYS as another choice for investors. Note: The ETF Digest is long DGP. This article was written by David Fry for ETF Digest"
2010-03-04,Designing the Perfect Gold ETF,"The recently-introduced Sprott Physical Gold Trust (PHYS) is getting a lot of attention from gold-oriented investors. My colleague Ron Rowland explained how PHYS is Not an ETF despite some superficial similarities. The conversation about PHYS often comes back to one central question: Can an investor be sure the gold represented by shares of the fund is really there? The quick answer is “No.” The process of securitizing gold – as with any other asset – depends on the integrity and cooperation of numerous parties. The chain can fall apart at any point if someone is dishonest or incompetent. Assorted safeguards exist to reduce this possibility, but they are not foolproof. This applies not only with PHYS but also products like SPDR Gold Trust (GLD), iShares Comex Gold Trust (IAU), and ETFS Physical Swiss Gold Shares (SGOL). That being the case, investors who demand assurance they really own physical gold stored in their name in a secure place should probably not buy any of these gold-related securities. All are nothing more than book entries and pieces of paper that claim to represent the ownership of gold. If you don’t trust whoever is making this claim, don’t do business with them. Buy a good safe and keep your gold at home. Storing gold in your house isn’t risk-free either, of course. Burglary and robbery are always possible. You also won’t be able to buy and sell instantly, and your transaction costs will likely be higher than they are in the securities markets. It would be nice to have our cake and eat it too, but I don’t see how. So I throw out a question to you: How do we square this circle? What do you want to see in an exchange-traded gold product? What could sponsors like Sprott, ETFS, iShares, or SPDR do to meet your needs? Keep in mind there will always be trade-offs between expenses, liquidity, and security. The possibilities are also limited to what is legal. Maybe the law ought to be different – and would be different if guys like Ron Paul were in charge – but that’s a separate question. We have to play with the cards we are dealt. Add your ideas in the comments and maybe someone who can do something about it will pay attention. Disclosure covering writer, editor, and publisher: Long GLD. No positions in any of the companies or ETF sponsors mentioned. No income, revenue, or other compensation (either directly or indirectly) received from, or on behalf of, any of the companies or ETF sponsors mentioned."
