created,title,body
2012-02-24,UPDATE: Deutsche Bank Ups Target on LKQ Corporation to $29,"Deutsche Bank raises its target price on Hold-rated LKQ Corporation (NASDAQ: LKQ) to $29, up $1.50, on outlook and business model confidence. Deutsche Bank says, LKQ reported 4Q11 EPS of $0.39 vs cons of $0.37. A lower-than-normal tax rate of 33.5% added $0.02. Organic Growth of 5.6% was in-line with expect's (FY'11 ended at 7.9% vs guide of 6%-8%), but was a decel vs 8.7% in the first 3 qtrs, esp in Aftermarket (4.4% in 4Q vs 7.8% in first 3 qtrs). EBIT margin of 9.8% was down 110bps. '12 EPS guide of $1.72-$1.85 was slightly below cons of $1.86. Despite apparent negs, the stock outperformed the mkt on the day. LKQ closed at $32.60 a share on Thursday."
2012-05-15,LKQ Corporation Changes Ticker Symbol to LKQ ,"LKQ Corporation (Nasdaq:LKQX] today announced that its ticker symbol will change from 'LKQX' to 'LKQ' on May 22, 2012. After nearly a decade as a publicly traded company we have elected to change our ticker symbol to LKQ. This ticker change aligns our stock symbol with the strong brand name we have developed in the automotive marketplace as the leading distributor of alternative repair products to professional repair shops, stated Robert L. Wagman, President and CEO of LKQ Corporation."
2012-07-27,UPDATE: Deutsche Bank Raises PT on LKQ Corporation from $35 to $37,"Deutsche Bank reiterated a Hold rating on LKQ Corporation (NASDAQ: LKQ) and raised its price target from $35 to $37. Deutsche bank remarked, “LKQ reported EPS of $0.45, including a $0.04 legal settlement gain which is also included in their guidance. Ex this gain, EPS was $0.41 (ex unusual items) vs consensus of $0.42 and DBe of $0.40. EBIT margin was down 50bp's YOY, as a gross margin decline of 140bp's (50bp impact from falling scrap prices, 40bp's dilution from ECP, and 50bp's from higher prices for self-service vehicles) was partially offset by strong leverage on operating expenses. Organic growth was 6.3% YOY, significantly better than our 4.4% estimate, as Aftermarket recovered to +4.6% vs 0% in Q1 and Recycled matched Q1 performance at 8.5%. We maintain Hold rating based on valuation.” LKQ Corporation closed at $35.53 on Thursday."
2012-08-17,LKQ Corp Announces Two-for-One Stock Split,"LKQ Corporation (Nasdaq: LKQ) announced today that its Board of Directors approved a two-for-one split of the Company's common stock. Each stockholder of record at the close of business on August 28, 2012 will receive an additional share for every outstanding share held on the record date, and trading will begin on a split-adjusted basis on September 19, 2012."
2013-01-09,Stocks Hitting 52-Week Highs,"Life Technologies (NASDAQ: LIFE) shares gained 1.08% to create a new 52-week high of $53.16. Life Technologies' PEG ratio is 1.30. LKQ (NASDAQ: LKQ) shares jumped 1.29% to create a new 52-week high of $23.08. LKQ named Guhan Subramanian to the Board of Directors. SkyPeople Fruit Juice (NASDAQ: SPU) shares rose 3.60% to touch a new 52-week high of $2.30. SkyPeople Fruit Juice's trailing-twelve-month operating margin is 20.66%. StealthGas (NASDAQ: GASS) shares gained 2.92% to create a new 52-week high of $9.20. StealthGas shares have jumped 114.90% over the past 52 weeks, while the S&P 500 index has gained 12.74% in the same period."
2013-03-01,"UPDATE: Deutsche Bank Raises PT on LKQ Corporation on Q4 Growth, 2013 Guidance","In a report published Friday, Deutsche Bank reiterated its Hold rating on LKQ Corporation (NASDAQ: LKQ), and raised its price target from $18.50 to $20.00. Deutsche Bank noted, “Organic growth in Q4 and within 2013 guidance lower-than-expected. LKQ reported 4Q12 EPS of $0.21 vs DBe / consensus of $0.23. Organic growth of 8% (which included an approx 5.5 point contribution from European Car Parts) was lower-than-expected, leading to weaker-than-expected incremental EBIT margin (9.5% vs consensus of 15%), as operating expenses grew more than expected, leading to the EPS underperformance vs consensus. 2013 EPS guidance of $1.00 - $1.09 was somewhat weak vs consensus of $1.09 and we believe 5.5%-7.5% organic growth guidance (vs 6.0% in FY2012) was disappointing given the expected full-year benefit from ECP (which grew 34% organically in Q4).” LKQ Corporation closed on Thursday at $21.19."
2013-03-01,"UPDATE: Deutsche Bank Reiterates Hold Rating, Raises PT on LKQ Corporation on Q4 Growth, 2013 Guidance","In a report published Friday, Deutsche Bank reiterated its Hold rating on LKQ Corporation (NASDAQ: LKQ), and raised its price target from $18.50 to $20.00. Deutsche Bank noted, “Organic growth in Q4 and within 2013 guidance lower-than-expected. LKQ reported 4Q12 EPS of $0.21 vs DBe / consensus of $0.23. Organic growth of 8% (which included an approx 5.5 point contribution from European Car Parts) was lower-than-expected, leading to weaker-than-expected incremental EBIT margin (9.5% vs consensus of 15%), as operating expenses grew more than expected, leading to the EPS underperformance vs consensus. 2013 EPS guidance of $1.00 - $1.09 was somewhat weak vs consensus of $1.09 and we believe 5.5%-7.5% organic growth guidance (vs 6.0% in FY2012) was disappointing given the expected full-year benefit from ECP (which grew 34% organically in Q4). We maintain Hold rating based on valuation.” LKQ Corporation closed on Thursday at $21.19."
2013-03-27,Top 4 Stocks In The Auto Parts Wholesale Stores Industry With The Highest Cash,"Below are the top auto parts wholesale stocks on the NYSE and the NASDAQ in terms of cash. Genuine Parts Company (NYSE: GPC) had $403.10 million in total cash for the latest quarter. However, Genuine Parts had $533.75 million in total debt for the same period. Commercial Vehicle Group (NASDAQ: CVGI) had $68.37 million in total cash and $250.00 million in total debt for the latest quarter. LKQ (NYSE: LKQ) had $59.77 million in total cash and $1.13 billion in total debt for the latest quarter. Coast Distribution System (AMEX: CRV) had $4.96 million in total cash and $11.73 million in total debt for the latest quarter."
2013-05-08,Stock Market Fake-Out: Where Is the Retrenchment?,"This is unbelievable. Johnson & Johnson (NYSE: JNJ) jumped about 23% since the beginning of the year, not including its dividend payment. This upside on the stock market from such a mature brand is striking. And here’s the thing: the company actually delivered with its earnings results. Companies like PepsiCo, Inc. (NYSE: PEP), Kraft Foods Group, Inc. (NASDAQ: KRFT), Colgate-Palmolive Company (NYSE: CL), The Walt Disney Company (NYSE/DIS), and even McDonalds Corporation (NYSE: MCD) performed similarly. I can’t recall a time of such coordinated stock market strength from blue chips. Of course, the stock market breakout has been all about the safest names. Institutional investors wanted to buy this market, but they needed the earnings safety to do it. Over the last two weeks, the NASDAQ Composite saw a turnaround from its little slump, based on good earnings news. This broadening of the stock market breakout is definitely necessary for price strength to continue. Oddly, there hasn’t been a correction yet. Quite often on Wall Street, when you get groupthink or a group expectation about an event taking place in the financial markets, it doesn’t happen. There has been no correction so far, and this is truly amazing. Without question, an abundance of caution is appropriate considering where the stock market just came from. First-quarter earnings season is winding down, and a lot of smaller companies are reporting now. Companies like LKQ Corporation (NASDAQ: LKQ), Alaska Air Group, Inc. (NASDAQ: ALK), Qlik Technologies Inc. (NASDAQ: QLIK), Global Medical, Inc. (NASDAQ: GMED) and NeuStar, Inc. (NYSE: NSR) reported improved earnings results. (See “Old Economy Auto Parts Stock a Better Play Than Any Tech Stock?”) I consider the stock market’s trading action and investor sentiment as strong enough to carry this market a little higher. But I just don’t see how the stock market can advance meaningfully higher in the face of mediocre economic news. While earnings did show improvement in the first quarter, sales were flat. Clearly, the appetite that institutional investors have to be buyers in this market has some staying power. While corporations were once again cautious with their earnings outlooks for the rest of the year, I read many outlooks that were generally positive, expecting economic improvement. Institutional investors must be taking this to heart, and they are buying. Also helping the cause is the enormous cash hoard that continues. Corporate balance sheets, especially among blue chips, are getting stronger. I look at the performance of the stock market with continued amazement. With the Dow Jones industrials up around 14% year-to-date, it is a breakout. Making the case for buying blue chips now is tough, although decent second-quarter earnings can move them higher. I keep waiting for the correction. I’m not rooting for losses, but it is a requirement for the medium-term health of this market. If there isn’t a correction, this unbelievable action will bust."
2013-06-19,UPDATE: Deutsche Bank Raises PT on LKQ Corporation Following Management Meetings,"In a report published Wednesday, Deutsche Bank analyst Rod Lache reiterated a Hold rating on LKQ Corporation (NASDAQ: LKQ), and raised the price target from $22.00 to $26.00. In the report, Deutsche Bank noted, “We recently spent several days with LKQ mgmt and came away with reinforced confidence that 15%-20% annual EPS growth can be sustained over the medium-term. While the near-term outlook appears bright, and multiples have risen accordingly, we see several catalysts that could lead to additional upside for the stock over the near term. That said, we also see potential for long-term headwinds that could eventually lead investors to reassess long-term growth rates, potentially bringing multiples back down to historical averages. Maintain Hold.” LKQ Corporation closed on Tuesday at $26.39."
