created,title,body
2009-08-17,Ellipta Signs Innovation Symbility Solution in the UK,"TORONTO, ONTARIO--(Marketwire - Aug. 17, 2009) - Symbility Solutions, a wholly-owned subsidiary of Automated Benefits Corp. (TSX VENTURE:AUT), and its UK partner the Innovation Group (LSE:TIG) are pleased to announce the adoption of Innovation Symbility, a collaborative claims management software and mobile scoping tool, by Ellipta Ltd, one of the UK's leading suppliers of technical claims management to the insurance industry. Ellipta will integrate the Innovation Symbility technology platform with their existing 'ClaimSpec' property damage product. The resulting solution will provide insurers and loss adjustors with an accurate and streamlined way for end-to-end property claims management. Using tablets and laptops, 'ClaimSpec' will allow technical claims experts to go to a loss site, assess the damage and provide an accurate claim cost, in a fraction of the time currently experienced. Geoff Davies, Chief Executive, Ellipta Ltd, said, Our partnership with Innovation Symbility has come about after a thorough review of the UK market. We are firmly convinced that the Innovation Symbility platform is the best in the marketplace to support our new 'ClaimSpec' service. In the hands of our expert and experienced surveyors, and in combination with our own on-line continuous competitive tendering systems and established contractor network, Innovation Symbility software will provide us with a powerful tool to deliver a quality service to our customers, while producing significant cost and time savings. We are tremendously excited to have signed yet another customer in the UK market, states Richard Adair, Executive Vice President of Symbility Solutions Inc. We are confident that the partnership with Ellipta will demonstrate that there is a significant value proposition to the technical claims management segment of the insurance supply chain. For more information on Symbility Solutions, visit www.symbilitysolutions.com or call 1.866.SYMBILITY. About Symbility Solutions Symbility Solutions, based in Toronto, Ontario, automates property insurance claims through its two complementary components. Its award-winning mobile claims solution is an estimating tool that increases speed, efficiency and accuracy by allowing on-site claims processing. Symbility.NET is the collaborative workflow management tool that gives every claim participant real-time access to the claims they are working on. The Symbility solution gives users the mobility, speed and control they need to effectively and quickly move onto their next claim. For more information on Symbility Solutions, visit www.symbilitysolutions.com or call 1.866.SYMBILITY. About Ellipta Ltd Established in 1999, Ellipta is a Joint Venture Company comprising 7 of the UK's long established and reputable engineering and surveying consultants with a common ideal and proven track record of service to the insurance industry. The Companies behind Ellipta are: Bureau Veritas (UK) Ltd; Curtins Consulting Ltd; Knapp Hicks and Partners Ltd; MLM Consulting Ltd; Pyle Consulting; Crawford Higgins Associates; and Taylor Boyd Ltd. Ellipta's resource amounts to approximately 800 in-house staff covering a wide range of technical disciplines. Very little technical work is ever sub-contracted to external experts. The Ellipta management team have been continuously setting the standard in the insurance claims market, working together to build up a business that has successfully managed and resolved many thousands of technical claims. For more information on Ellipta Ltd, visit www.ellipta.org All trade names are the property of their respective owners."
2009-12-09,Goldman Sachs Launches Coverage of MLM And VMC,"Goldman Sachs (NYSE: GS) initiated coverage of construction materials firms Martin Marietta (NYSE: MLM) and Vulcan Materials (NYSE: VMC). The bank rates the former a buy, and the latter a neutral. The bank is generally bullish on the industry, believing that “consensus drastically underestimates the impact of accelerating residential construction on aggregates demand.” As a result, Goldman’s 2011 estimates for the sector are around 20% above consensus. The bank favors Martin Marietta over Vulcan due to a more attractive valuation and better balance sheet capacity for mergers and acquisitions. MLM was up $2.56 in trading today to close at $85.06; VMC traded down 35 cents to $47.69."
2009-12-09,"Company News for December 09, 2009 - Corporate Summary","• Citigroup (NYSE:C) raised 3M (NYSE:MMM) to buy from hold • Barclays (NYSE:BCS) lowered Kimberly-Clark (NYSE:KMB) to equal weight from over weight • Wells Fargo (NYSE:WFC) upgraded Cooper Industries (NYSE:CBE) to outperform with a price target of $41-$43, up from $28-$30 • Goldman Sachs (NYSE:GS) initiated coverage of Martin Marietta (NYSE:MLM) with a buy rating and a price target of $111 • Goldman Sachs (NYSE:GS) started coverage of Vulcan Materials (NYSE:VMC) with a neutral rating and a price target of $55 • General Electric (NYSE:GE) said it is likely to see flat 2010 results as credit losses peakZacks Investment Research"
2010-01-15,"Demand For Construction Materials Down, But Prices Stable (MLM, VMC)","The demand for construction materials was down 27% y/y. However aggregate prices have demonstrated signs of greater stability over prior months, although concerns remain about discounting on large highway projects that will lead to flat-to-down pricing in 1H10 and ~1% pricing for 2010. Analyst Garik Shmois from LONGBOW Research has revised his estimates for Martin Marietta Materials, Inc (NYSE: MLM) and Vulcan Materials Company (NYSE: VMC) to incorporate weaker volume in 4Q09E from wet weather and weaker than anticipated near-term demand, particularly in Texas. For Martin Marietta Materials, Inc, the analyst forecasts 4Q09E EPS of $0.33 (-$0.09), FY09E EPS of $2.30 (-$0.09) and FY10E EPS of $2.80 (-$0.75). The current FY09E EPS is at the low-to-mid end of management’s $2.20-2.45 guidance range. For Vulcan Materials Company, 4Q09E EPS has been reduced to ($0.05) vs. +$0.08 prior."
2010-02-10,Goldman Downgrades Martin Marietta Materials (MLM) To Buy,Body: Analysts at Goldman downgrade Martin Marietta Materials Inc (NYSE: MLM) from conviction buy to buy. The target price for MLM has been reduced from $111 to $98. MLM’s shares have lowered by 4.60% to close at $75.95. Read more about the market
2010-02-10,"Rebound Delayed At MLM, But Intact","Analyst Timna Tanners of UBS maintains her buy rating on Martin Marietta (NYSE: MLM), while reducing her estimates for the company. The target price for MLM has been reduced from $102 to $97. Martin Marietta reported its Q4 results short of the estimates due to price weakness and a legal reserve. MLM’s Q1 guidance is also lower than the expectations due to project delays. “MLM’s view of non-res down 20% seems too negative given 09’s volume collapse… We see price up 1.4% (prior 2.7%) vs its outlook of a flat to 2% rise, aided by cost push,” the analyst adds. “We think Q4/Q1 marks the bottom and are confident rising volume will support margin recovery… Near-term catalysts are a longer extension on the road spending program and/or further stimulus,” the analyst says. UBS has reduced its EPS estimate for 2010 from $3.10 to $2.90. More Analyst Ratings here"
2010-02-11,Delays In Highway Bill Extension To Hurt Demand For MLM,"Analysts at KeyBanc Capital Markets maintain their hold rating on Martin Marietta Materials Inc (NYSE: MLM), while reducing their estimates for the company. According to KeyBanc Capital Markets, MLM’s aggregate demand in 2010 is likely to be lower than the previous assumptions. “Our 2010 and 2011 estimates assume the Federal Highway Bill is funded at levels consistent with FY09,” the analysts say. “If the second stimulus is passed and other Federal Highway funding is at least consistent with 2010, EPS around $4.50-$5.00 is still possible in 2011,” the analysts mention. “However, given consistent delays in implementation of the stimulus and continued deterioration in private construction markets, we remain cautious about the pace of the recovery,” the analysts add. KeyBanc Capital Markets has reduced its EPS estimates for 2010 and 2011 from $3.15 to $2.35 and from $5.00 to $3.50, respectively. More Analyst Ratings here"
2010-02-24,Goldman Sachs Reinstates Terex (TEX) Neutral Rating,"Goldman Sachs analysts Terry Darling and Jerry Revich reinstated their Neutral rating of Terex Corp. (NYSE: TEX), with a 12 month price target of $24. The Goldman Sachs analysts said, we remain constructive on the outlook for recovery in US resi construction markets (8% of TEX revenue) in 2010 and non-res markets in 2011, but prefer Buy-rated Martin Marietta (MLM) within our coverage based on attractive valuation, longer-term favorable pricing power, and potential for accretive acquisitions. However, we believe expectations for TEX are low and that normalized earnings power (which we estimate at $2.50 in 2012) suggests significant upside potential longer-term even if signs of a recovery remain mixed currently. The analysts reduced 2010/11 EPS earnings estimates to ($0.60)/$1.40 from $0.10/$2.15."
2010-03-16,Exploring New Strategy Ideas and Potential New Long and Short Ideas for the Week,"Follow this link for a pdf of this report: Ascendere Equity Strategy, Long and Short Ideas, March 12, 2010.Track weekly long/short focus list ideas here.Time permitting, we have decided on a weekly basis to share some general equity strategy themes we are working on and updated long and short ideas. These weekly ideas are generated using the same framework as the Ascendere Long/Short Model Portfolio, which is updated monthly and is tracked intra-month. While some noise may be introduced by increasing the frequency of stock ideas generated, it may also help us find good ideas worth further study such as with a few of the detailed reports we have made public on McKesson (MCK), Starbucks (SBUX) or Joy Global (JOYG). Consistency may not always be the right strategyIf the overall performance of a portfolio is being hurt by low quality short positions in a rising market, it seems to makes more sense to reduce these positions, get rid of them completely or even buy them outright instead. Look at the Materials sector, for example. We explored what would happen to our model portfolio if: 1) in a rising market, we went all-in at 200% with 0% short positions; or 2) in a down market, we went 50% long and 150% short. We found the results fairly interesting. Next week we will explore the buy low quality strategy. Underweighting shorts could increase overall performance at the cost of more severe drawdownsOur original strategy shows a return of 203.65% since a 12/31/2004 inception, including a drawdown of 13% over 7 months in 2009 -- caused by underweighted short positions that nevertheless still had a negative impact. In contrast, this new and improved don't short what is going up strategy returned 581.98%. Unfortunately the new and improved strategy would not be viable for most people. This is because of more frequent and significant losses that may occur in any given month. For example, the new strategy suffered a drawdown of 14.3% over June and July of 2007, was down 13.56% in January 2008 and was down 14.45% in December 2008. Model portfolio on 10-to-1 leverage illustrates a familiar story from the summer of 2007The model portfolio using 10-to-1 leverage would have generated a 4,462.28% return -- even after losing 70.63% of the portfolio during the summer of 2007 and regularly experiencing 40% and 50% draw downs in any given month. This high cumulative return was driven largely by 2005 and 2006 results. A new investor at the beginning of 2008 in a hedge fund portfolio would have only realized a 60% return to date, but only after watching the portfolio swing up and down like a rabid starving monkey hanging from a rubber band. New Long and ideas for the WeekIn that spirit, we have updated a list of new long ideas and short ideas (or contrarian long ideas). Also included are changes to the previous week's list. New Long and ideas for the Week Of these new long ideas, we would focus our attention on Macy's, Inc. (M), Dick's Sporting Goods Inc. (DKS), Ultrapar Holdings Inc. (UGP) and the Bank of Montreal (BMO). This is because these stocks look like they can sustain their operating momentum for the next few quarters and they are new on our list. Put aside for a moment the idea that retailers shouldn't be going up, and that they have gone up too far already. These stocks are on this list for a reason -- the numbers still look very good. Granted, maybe you will find something you will not like, but do not let conventional wisdom dismiss these ideas outright. At a glance, DKS looks like it has more short-term potential than M right now. New Short and Contrarian Long Ideas for the Week We are loath to even put this list out. Anyone going short this market has been burned in recent weeks, especially those shorting low-quality stocks. Our models indicate that Carnival plc (CUK), Central European Distribution Corp. (CEDC) and Martin Marietta Materials Inc. (MLM) should all deserve some focus. Activision Blizzard, Inc. (ATVI) does not really belong on this list -- it is there because our models do not yet adjust pro forma for acquisitions or significant changes in operating structure and this is what has skewed some metrics. Just another illustration of the fallibility of some quantitative models. CEDC deserves a closer look -- why is this supposedly low-quality stock up 30.59% for the year-to-date? What are our factors missing? Off the Buy List We recall that a few sell side firms downgraded Netflix, Inc. (NFLX) this past week due to valuation. Interestingly, our models concurred with this move. All that could mean is that NFLX is moving into growth territory, so the stock could move some more. Ross Stores Inc. (ROST) has also had a good run, but some factors are relatively better compared to some other stocks in the sector. Just because a stock moves off a list does not mean it is always an automatic sell. Off the Sell List These stocks just do not look as ugly as they did last week. For example, Prudential plc (PUK) has already declined significantly; as a result, it's relative value is no longer significantly out of line with other Financials. A theory we have -- though not backtested, is that new stocks to our list that are showing good promise of further improvements in operating momentum should outperform. We are not sure if a weekly list captures noise or value, but we are taking a look. We would like to study some of these stocks and see if we can discern any additional quantitative or qualitative factors that may consistently influence stock prices going forward."
2010-04-27,"Benzinga’s Top Upgrades (CYS, EXTR, VMC, MLM, ESRX)",Express Scripts Inc (NYSE: CYS) was upgraded from “neutral” to “buy” by Sterne Agee. Shares of CYS climbed 0.74% to $12.95 at 10:50 am EST. CYS’s 52-week trading range is $10.35-$13.39. Analysts at Wedbush upgraded Cypress Sharpridge Investments Inc (NASDAQ: EXTR) from “underperform” to “neutral.” EXTR’s shares rose 5.11% to $3.70 at 10:54 am EST. EXTR’s 52-week trading range is $1.57-$3.73. Extreme Networks Inc (NYSE: VMC) has been upgraded by Sterne Agee from “sell” to “neutral.” VMC’s shares fell 1.05% to $57.23 at 10:56 am EST. VMC’s 52-week trading range is $38.53-$61.35. Sterne Agee has upgraded Vulcan Materials Company (NYSE: MLM) from “sell” to “neutral.” Shares of MLM declined 0.03% at 10:58 am EST. MLM’s shares 52-week trading range is $72.75-$102.46. Analysts at Barclays Capital have upgraded Martin Marietta Materials Inc (NASDAQ: ESRX) from “equal weight” to “overweight.” ESRX’s shares moved up 1.32% to $104.11 at 11:02 am EST. ESRX’s 52-week trading range is $56.92-$105.00. More Analyst Ratings here.
2010-06-10,"Company News for June 10, 2010 - Corporate Summary","• Reports say another federal probe into Goldman Sachs' (NYSE:GS) handling of CDO is in the works, regarding a $2 billion Hudson Mezzanine offering sold in 2006 • Old Republic (NYSE:ORI) announced plans to merge with PMA Capital (NASDAQ:PMACA), in a $365 million deal • Citigroup (NYSE:C) upgraded shares of Martin Marietta Materials (NYSE:MLM) to “hold from sell • Keybanc upgraded Crane (NYSE:CR) to buy from hold, with a $39 price target • Lululemon (NASDAQ:LULU) reported better-than-projected first quarter earnings of 27 cents a share, ahead of Zacks estimates of 21 cents, on revenues of $138.3 million, which topped Zacks estimates of $129 million • Auriga upgraded Omnicell (NASDAQ:OMCL) to buy from hold, with a $15 price target • Human Genome Sciences (NASDAQ:HGSI) said it is seeking FDA approval of experimental lupus drug Benlysta, being co-developed with GlaxoSmithKline (NYSE:GSK) • Keybanc reiterated its buy rating on Tenneco (NYSE:TEN) with a $36 price target and maintained its buy on FMC (NYSE:FMC) with a $71 price targetZacks Investment Research"
2010-06-16,Puts Sold on Martin Marietta (MLM),"Shares of Martin Marietta Materials Inc. (NYSE: MLM) are higher on the session by 0.15%, currently trading at $93.16. The stock has been a relative outperformer as of late and is currently trading above both the 50-day and 200-day moving averages. Options traders are favoring the put side today, though the vast majority of puts were sold on the bid. Trading has been in small lots, with total put volume now running at 5.55x the daily average. Traders are focusing in on the $90 and $95 strikes in multiple months. Martin Marietta Materials, Inc. is a producer of aggregates for the construction industry, including infrastructure, commercial, agricultural and residential. The Company also manufactures and markets magnesia-based chemical products used in industrial, agricultural, and environmental applications and dolomitic lime sold primarily to customers in the steel industry. 4 Strong Buys From Our Friends at Zacks. See them for free."
2010-07-13,Calls Purchased on Martin Marietta (MLM),"Shares of Martin Marietta Materials Inc. (NYSE: MLM) are higher on the session by 2.71%, currently trading at $86.85. The stock has been trading largely lower over the past three months, but appears to have found support around the $85.00 level. Options traders are buying calls on the name today. Though action has been primarily in small lots, call volume is now running at 5.6x the daily average with 97% of all calls traded being purchases on the offer. Traders are focusing in on the $85.00 call strike in multiple months. Martin Marietta Materials, Inc. is a producer of aggregates for the construction industry, including infrastructure, commercial, agricultural and residential. The company also manufactures and markets magnesia-based chemical products used in industrial, agricultural, and environmental applications and dolomitic lime sold primarily to customers in the steel industry."
2010-07-16,Jefferies Maintains Buy Rating On Martin Marietta (MLM) ,"Jefferies & Co. released a research report today on Martin Marietta Materials (NYSE: MLM). The firm said that they are increasing estimates for Q2 shipments from +3% to +7% and raising Q2 EPS estimates from $0.84 to $1.24. Jefferies' full year estimates increased from $2.44 to $2.45. The firm reiterated their Buy rating and $114 price target. During today's trading session, MLM shares have fallen 2.53% to $83.64. Martin Marietta Materials, Inc. is a producer of aggregates for the construction industry, including infrastructure, commercial, agricultural and residential. See 4 Strong Buys here for free."
2010-08-04,Martin Marietta EPS Estimates Reduced For 2010,"Martin Marietta Materials, Inc. (NYSE: MLM) reported 2Q EPS of $1.18 which was $0.06 below estimates from Jeffries International Ltd., causing a 11% lower EPS estimate for 2010. Full year EPS estimates drop from $2.45 to $2.18 and from $3.49 to $3.22 for 2011. Jeffries maintains its buy rating and price target of $114. Martin Marietta Materials, Inc. closed yesterday at $82.41."
2010-08-05,"Benzinga’s Top Upgrades (SVNT, FR, ELMG, MLM)",Savient Pharmaceuticals Inc (NASDAQ: SVNT) was upgraded by BofA/Merrill from “underperform” to “neutral.” SVNT’s shares closed at $14.24 yesterday. Savient Pharmaceuticals’ trailing-twelve-month gross margin stands at 55.77%. Janney Montgomery upgraded First Industrial Realty Trust Inc (NYSE: FR) from neutral to buy. FR’s shares closed at $5.09 yesterday. First Industrial Realty Trust’s earnings are likely to grow by 77.02% this year. Needham upgraded EMS Technologies Inc (NASDAQ: ELMG) from “hold” to “buy.” ELMG’s shares closed at $17.11 yesterday. EMS Technologies’ quarterly earnings jumped 119.84% y/y. Analysts at UBS upgraded Martin Marietta Materials Inc (NYSE: MLM) from “neutral” to “buy.” MLM’s shares closed at $81.59 yesterday. Martin Marietta Materials’ earnings may rise by 62.81% in the next year. More Analyst Ratings here See Some of the Top Moving Indexes Here.
2010-08-09,Vulcan Faces Credit Rating Cut - Analyst Blog,"Vulcan Material Co.’s (VMC ) corporate credit rating has been pruned to “BBB-” from “BBB” by the Standard & Poor’s Ratings Services (S&P). S&P assesses that the company’s performance will not match the expectations for the upcoming quarters. Its rating outlook, however, stays “stable”. The rating agency pointed out that the company’s second quarter operating earnings and EBIDTA underperformed expectations. The miss was largely due to lower aggregate pricing, higher fuel costs and higher cost of liquid asphalt. Aggregate shipments failed to mitigate the negative impacts. However, the stable outlook is maintained as the second half of 2010 is expected to show some improvement. Increased highway and infrastructure spending may add substantially to the company’s volume and hence, profitability. The high interdependence between the currently unstable housing and the construction industries has caused the latter to suffer. The housing markets of Florida and California are among the worst affected, which constitute Vulcan’s biggest markets. Moreover, increased competition from companies such as Cemex (CX), Cement Roadstone Holdings (CRH), Lafarge Coppee SA (LFRGY) and Martin Marietta Materials Inc. (MLM) will also pose serious problems for Vulcan’s business in the near future. The company has recently started shifting its focus from private projects to public ones such as highways, roads and bridges. Such projects deliver both certainty and consistency in terms of business and income even in the case of economic fluctuations. Vulcan recorded a net profit of $20.5 million or 15 cents per share in the second quarter ended on June 30, 2010 compared with the year-ago profit of $15.6 million or 14 cents per share and the Zacks Consensus Estimate of 24 cents per share. Total revenues grew marginally by $14 million over the last year quarter’s revenue of $722 million. CRH PLC-ADR (CRH): Free Stock Analysis Report CEMEX SA ADR (CX): Free Stock Analysis Report LAFARGE SA-ADR (LFRGY): Free Stock Analysis Report MARTIN MRT-MATL (MLM): Free Stock Analysis Report VULCAN MATLS CO (VMC): Free Stock Analysis Report Zacks Investment Research"
