created,title,body
2009-09-17,Cramer Sees Potential In Nucor (NUE) And Genworth Financial (GNW),"Genworth Financial (NYSE: GNW) is seen as an amazing company in the eyes of CNBC’s Mad Money Jim Cramer. Its stock traded below $1 at the beginning of March but made a fantastic comeback, trading near $13. Cramer said that Nucor Corporation (NYSE: NUE) was up only 9% for the year and, in his opinion, we might see more from this stock. On Thursday, Nucor (NUE) jumped more than 3%."
2009-10-22,"Earnings Surprises (BDK, NUE, JNS, UNP) ","The Black & Decker Corporation (NYSE: BDK) third-quarter net income fell 35% to $55.4 million, or 91 cents a share, from $85.8 million, or $1.43 a share in the year-ago period. Revenue fell to $1.21 billion from $1.57 billion. Wall Street analysts expected third-quarter net income of 84 cents a share and revenue of $1.2 billion. Nucor Corporation (NYSE: NUE) slipped 3.225 to $44.52 after it lost $29.5 million, or 10 cents a share in the third quarter, compared to a $734.6 million, or $2.31 a share profit a year ago. Janus Capital Group Inc. (NYSE: JNS) plunged 9.14% to $14.30 after it reported third-quarter net income of $8.2 million, or 5 cents a share, down from $25.4 million, or 16 cents a share, in the year-earlier period.. Analysts polled by Thomson Reuters had forecast, on average, quarterly profit of 15 cents a share. Union Pacific Corporation (NYSE: UNP) fell 4.24% to $60.25 third-quarter net income fell to $517 million, or $1.02 a share, from $703 million, or $1.38 a share in the year-ago period. The company cited lower demand in the face of the recession. The Omaha, Neb. railroad operator said revenue fell 25% to $3.47 billion from $4.63 billion. Analysts expected net income of $1.01 a share on revenue of $3.73 billion."
2009-10-22,Jim Cramer Thinks That Silicon Vally Arrests Could  Be Next,"Jim Cramer talked with CNBC's Erin Burnett about today's trading session, and said that he is happy that there were no news about arrests in hedge fund business and that this day is not hostile to oil. He also gave an opinion about Nucor (NYSE: NUE) and 3M (NYSE: MMM), saying that Nucor (NUE) is not doing well which is weird because it is an important industrial manufacturer. Cramer than added that 3M (MMM) is doing well today. Cramer then said that he heard of a possible arrests of the people from Silicon Vally who got rich and allowed hedge fund managers to get rich by giving up a joint of their company."
2009-10-22,Nucor CEO Says Dividend Is Going Nowhere But Up,"In an interview with Jim Cramer, Nucor's (NYSE: NUE) President and CEO Dan DiMicco said the steelmaker's dividend is going nowhere but up. Nucor currently yields 3.1% and pays a $1.40 a share per year. Earlier today, Nucor reported a loss of $29.5 million, or 10 cents a share, compared with a profit of $734.6 million, or $2.31 a share, in the year-ago period. Despite the loss, Nucor remains one of the higher quality names in the steel sector and the stock is up nearly 30% in the past year."
2009-10-27,Can U.S. Steel Hold $40? ,"It goes without saying that analysts are expecting an ugly third-quarter report out of U.S. Steel (NYSE: X) before the bell today with a loss of $2.87 forecast. With other steel names such as AK Steel (NYSE: AKS) and Schnitzer Steel (Nasdaq: SCHN) reporting today, the sector promises to be in play. Technically speaking, a break below $40 would be a bearish sign for U.S. Steel, the eigth-largest steelmaker in the world. A break below $40 could take the shares to $28. In all fairness, given the declining sales and lack of profits, U.S. Steel is richly valued at 42 times 2010 earnings and far more expensive than rivals AK Steel, Nucor (NYSE: NUE) and others. That makes the earnings announcement especially pivotal for U.S. Steel's near-term fortunes."
2009-11-06,The Other Steel ETF (PSTL),"The ETF Professor saw a report today that got him thinking. Is there more to steel ETFs than just the Market Vectors Steel ETF (NYSE: SLX)? Fortunately, the answer is yes and it comes in the form of the PowerShares Global Steel Portfolio (NYSE: PSTL). SLX is a mix of North American and international steel stocks, holding the likes of U.S. Steel (NYSE: X), Nucor (NYSE: NUE) and Brazil's Vale (NYSE: VALE). In other words, SLX focuses heavily on large caps. On the other hand, PSTL gives investors more growth exposure as it holds 58% large caps compared to almost 69% for SLX, according to ETFdatabase. PSTL is more diverse in terms of geography as well with 37.3% in Asia, 17.9% in Europe, and roughly 11% in both North and South America. SLX is 40% focused on North America, ETFdatabase said. SLX has outperformed PSTL recently, but the North American steel industry is a tougher play than foreign markets. The ETF Professor thinks steel demand in the emerging markets will increase next year due to a spate of new infrastructure projects and given the growth bias of this ETF, PSTL is worth a look for longer-term investors."
2009-11-17,"Fast Money Picks For November 18th (NUE, POT, BGC, CLF)","CNBC's Fast Money Tim Seymour thinks that steel prices are going up and believes that it would be a good idea to buy Nucor Corporation (NYSE: NUE) tomorrow, as this stock lagged behind and has the room to improve. Nucor (NUE) gained 0.52% today to close at $42.23. Joe Terranova likes the performance in the agriculture sector and recommends Potash (NYSE: POT). Potash (POT) closed at $110.60 with 6.16% increase in price. Pete Najarian believes that Cliffs Natural Resources Inc.(NYSE: CLF) has a lot of upside potential because of its exposure to iron ore and metallurgic coal. He recommends it as a buy. Cliffs Natural (CLF) jumped 1.52% on Tuesday and closed at $44.03. Karen Finerman likes General Cable Corporation (NYSE: BGC) and would buy it tomorrow. General Cable (BGC) added 0.48% to close at $33.40 in today's trading session."
2009-11-30,"Cramer Bullish On State Street, Steel Names",Jim Cramer mentioned steelmakers Nucor (NYSE: NUE) and Steel Dynamics (Nasdaq: STLD) as good trades in the steel sector and State Street (NYSE: STT) as a financial name to watch. The interview just aired on CNBC.
2009-12-02,"Fast Money Picks For December 3rd (BAC, CVS, CLF, NUE)","CNBC's Fast Money Pete Najarian thinks that investors should buy Cliffs Natural Resources Inc (NYSE: CLF) on Thursday. Cliffs (CLF) gained 1.95% today and closed at $45.95. Karen Finerman likes CVS Caremark Corporation (NYSE: CVS), which lost 0.22% today. CVS closed at $31.11 and had a volume of $14.26M. Steve Grasso thinks that Nucor (NYSE: NUE) should be sold if it drops under $43. Nucor (NUE) gained 1.78% and closed at $44.06. Joe Terranova likes Bank of America (NYSE: BAC) and thinks it will go above $20. Bank of America (BAC) fell 1.51% today."
2009-12-11,Joe Terranova Is Watching The Steel Sector,"Joe Terranova said on CNBC's Fast Money that he expects steel companies to continue to grow even if the market moves sideways. Steel sector was up today on the news of strong demand from China. Joe Terranova said that interesting stocks in the sector are US Steel (NYSE: X)(FREE stock trend analysis), AK Steel (NYSE: AKS)(FREE stock trend analysis) and Nucor Corporation (NYSE: NUE)(FREE stock trend analysis). US Steel (X)(FREE stock trend analysis) jumped 2.32%, while Nucor (NUE)(FREE stock trend analysis) and AK Steel (AKS)(FREE stock trend analysis) gained 0.50% and 0.98% respectively."
