created,title,body
2014-05-05,"IPO Lookout For The Week Of May 5: Alder Biopharma, Cheetah Mobile, GasLog Partners","Last week's IPOs waited until Friday to debut: Ares Management (NYSE: ARES), Papa Murphy's (NASDAQ: FRSH), Aldeyra Therapeutics (NASDAQ: ALDX), and Scynexis (NASDAQ: SCYX). These IPOs enter a heavily mixed market as the S&P 500 swung between green and red after the employment situation improved but concerns over Russia and Ukraine hung overhead. Ares Management Facing weak demand, the company decreased its offering from 18.2 million shares to 11.4 million and priced at $19, below the $21-$23 range. Shares opened low, for $18.15 per share at 9:50 a.m. After one minute, the bottom was in at $18, and despite a sluggish market, shares marched to the highs of the day, $18.63. Ares settled in to close near the highs at $18.69, still causing a loss of IPO investors after day one. Related: IPO Lookout For The Week Of April 28: Aldeyra Therapeutics, Papa Murphy's & Ares Management Papa Murphy's This company priced as expected, selling 5.8 million shares for $11, on the low end of the $11 to $13 range. Papa's shares opened high for $12.10 at 10:52, but enthusiasm lacked as shares sank, leaving the stock barely above its offering price at $11.06. Aldeyra Therapeutics Aldeyra missed the mark after delaying its opening from Friday, April 11. Downsized from 2.3 million to 1.5 million shares, the offering priced at $8, and opened at $7.50, well below the expected $10 to $12 range. Most IPOs open for trading in the morning, between market 9:30 a.m. and noon. Aldeyra did things differently, opening at 3:00 p.m. eastern standard time. The change didn't make a difference for the biotechnology company, as shares sank from its open to close an hour later at $7.20, well above its $6.01 low. Scynexis Finally making its debut--Scynexis was originally slated to debut the week of April 14--opened for trading. The stock priced 6.2 million shares at the expected $10 price. Below the offering, the stock opened for $9.75 at 11:19 a.m. In early trading, shares spiked to $9.84 before drifting off for the rest of the day to close at $9.00. Scynexis shares traded thin most of the day, maintaining a wide bid/ask spread. In some cases, spreads were $0.20 wide or more. Traders and investors should be careful when buying or selling. IPOs for the Week of May 5: Alder Biopharma (NASDAQ: ALDR): expects to price 7.2 million shares between $13 and $15 through underwriters Credit Suisse and Leerink Partners. Cheetah Mobile (NYSE: CMCM): is issuing 12.3 million ADSs (American Depository Shares) for $12.50 to $14.50 through J.P. Morgan, Morgan Stanley and Credit Suisse. GasLog Partners (NYSE: GLOP): Underwriters Citigroup, Credit Suisse, and Wells Fargo expect to price 8.4 million share between $19 and $21. PBF Logisitcs (NYSE: PBFX): Offering 13.8 million shares between $19 and $21 through Barclays and UBS. Tuniu.com (NYSE: TOUR): The company expects to issue 8.0 million ADSs between $9 and $11. K2M (NASDAQ: KTWO): 8.8 million shares are expected to price between $16 and $18 through Piper Jaffray, Barclays, and Wells Fargo. Radius Health (NASDAQ: RDUS): Radius is issuing 5 million shares and looks to price them between $14 and $16 through Jefferies and Cowen. At 2:26 p.m. today, a story was released stating that Radius Health filed to withdraw its IPO. The story was redacted and incorrect.As of the time of this writing, Radius Health will be moving forward with its IPO. Overall, last week was dismal for the IPO investor. With seven offerings on the docket for the week of May 5, maybe demand will pick up now as the S&P 500 sits near all-time highs and investors look for new growth opportunities. Disclosure: At the time of this writing, the author holds no positions in any mentioned company."
2014-05-05,IPO Lookout: What's Up For The Week Of May 5 And A Review Of May 2,"Last week's IPOs waited until Friday to debut: Ares Management (NYSE: ARES), Papa Murphy's (NASDAQ: FRSH), Aldeyra Therapeutics (NASDAQ: ALDX), and Scynexis (NASDAQ: SCYX). These IPOs enter a heavily mixed market as the S&P 500 swung between green and red after the employment situation improved but concerns over Russia and Ukraine hung overhead. Ares Management Facing weak demand, the company decreased its offering from 18.2 million shares to 11.4 million and priced at $19, below the $21-$23 range. Shares opened low, for $18.15 per share at 9:50 a.m. After one minute, the bottom was in at $18, and despite a sluggish market, shares marched to the highs of the day, $18.63. Ares settled in to close near the highs at $18.69, still causing a loss of IPO investors after day one. Related: IPO Lookout For The Week Of April 28: Aldeyra Therapeutics, Papa Murphy's & Ares Management Papa Murphy's This company priced as expected, selling 5.8 million shares for $11, on the low end of the $11 to $13 range. Papa's shares opened high for $12.10 at 10:52, but enthusiasm lacked as shares sank, leaving the stock barely above its offering price at $11.06. Aldeyra Therapeutics Aldeyra missed the mark after delaying its opening from Friday, April 11. Downsized from 2.3 million to 1.5 million shares, the offering priced at $8, and opened at $7.50, well below the expected $10 to $12 range. Most IPOs open for trading in the morning, between market 9:30 a.m. and noon. Aldeyra did things differently, opening at 3:00 p.m. eastern standard time. The change didn't make a difference for the biotechnology company, as shares sank from its open to close an hour later at $7.20, well above its $6.01 low. Scynexis Finally making its debut--Scynexis was originally slated to debut the week of April 14--opened for trading. The stock priced 6.2 million shares at the expected $10 price. Below the offering, the stock opened for $9.75 at 11:19 a.m. In early trading, shares spiked to $9.84 before drifting off for the rest of the day to close at $9.00. Scynexis shares traded thin most of the day, maintaining a wide bid/ask spread. In some cases, spreads were $0.20 wide or more. Traders and investors should be careful when buying or selling. IPOs for the Week of May 5 Alder Biopharma (NASDAQ: ALDR): expects to price 7.2 million shares between $13 and $15 through underwriters Credit Suisse and Leerink Partners. Cheetah Mobile (NYSE: CMCM): is issuing 12.3 million ADSs (American Depository Shares) for $12.50 to $14.50 through J.P. Morgan, Morgan Stanley and Credit Suisse. GasLog Partners (NYSE: GLOP): Underwriters Citigroup, Credit Suisse, and Wells Fargo expect to price 8.4 million share between $19 and $21. PBF Logisitcs (NYSE: PBFX): Offering 13.8 million shares between $19 and $21 through Barclays and UBS. Tuniu.com (NYSE: TOUR): The company expects to issue 8.0 million ADSs between $9 and $11. K2M (NASDAQ: KTWO): 8.8 million shares are expected to price between $16 and $18 through Piper Jaffray, Barclays, and Wells Fargo. Radius Health (NASDAQ: RDUS): Radius is issuing 5 million shares and looks to price them between $14 and $16 through Jefferies and Cowen. At 2:26 p.m. today, a story was released stating that Radius Health filed to withdraw its IPO. The story was redacted and incorrect. As of the time of this writing, Radius Health will be moving forward with its IPO. Overall, last week was dismal for the IPO investor. With seven offerings on the docket for the week of May 5, maybe demand will pick up now as the S&P 500 sits near all-time highs and investors look for new growth opportunities. Disclosure: At the time of this writing, the author holds no positions in any mentioned company."
2014-05-05,IPO Lookout: What's Up For The Week May 5 And A Review Of May 2.,"Last week's IPOs waited until Friday to debut: Ares Management (NYSE: ARES), Papa Murphy's (NASDAQ: FRSH), Aldeyra Therapeutics (NASDAQ: ALDX), and Scynexis (NASDAQ: SCYX). These IPOs enter a heavily mixed market as the S&P 500 swung between green and red after the employment situation improved but concerns over Russia and Ukraine hung overhead. Ares Management Facing weak demand, the company decreased its offering from 18.2 million shares to 11.4 million and priced at $19, below the $21-$23 range. Shares opened low, for $18.15 per share at 9:50 a.m. After one minute, the bottom was in at $18, and despite a sluggish market, shares marched to the highs of the day, $18.63. Ares settled in to close near the highs at $18.69, still causing a loss of IPO investors after day one. Related: IPO Lookout For The Week Of April 28: Aldeyra Therapeutics, Papa Murphy's & Ares Management Papa Murphy's This company priced as expected, selling 5.8 million shares for $11, on the low end of the $11 to $13 range. Papa's shares opened high for $12.10 at 10:52, but enthusiasm lacked as shares sank, leaving the stock barely above its offering price at $11.06. Aldeyra Therapeutics Aldeyra missed the mark after delaying its opening from Friday, April 11. Downsized from 2.3 million to 1.5 million shares, the offering priced at $8, and opened at $7.50, well below the expected $10 to $12 range. Most IPOs open for trading in the morning, between market 9:30 a.m. and noon. Aldeyra did things differently, opening at 3:00 p.m. eastern standard time. The change didn't make a difference for the biotechnology company, as shares sank from its open to close an hour later at $7.20, well above its $6.01 low. Scynexis Finally making its debut--Scynexis was originally slated to debut the week of April 14--opened for trading. The stock priced 6.2 million shares at the expected $10 price. Below the offering, the stock opened for $9.75 at 11:19 a.m. In early trading, shares spiked to $9.84 before drifting off for the rest of the day to close at $9.00. Scynexis shares traded thin most of the day, maintaining a wide bid/ask spread. In some cases, spreads were $0.20 wide or more. Traders and investors should be careful when buying or selling. IPOs for the Week of May 5 Alder Biopharma (NASDAQ: ALDR): expects to price 7.2 million shares between $13 and $15 through underwriters Credit Suisse and Leerink Partners. Cheetah Mobile (NYSE: CMCM): is issuing 12.3 million ADSs (American Depository Shares) for $12.50 to $14.50 through J.P. Morgan, Morgan Stanley and Credit Suisse. GasLog Partners (NYSE: GLOP): Underwriters Citigroup, Credit Suisse, and Wells Fargo expect to price 8.4 million share between $19 and $21. PBF Logisitcs (NYSE: PBFX): Offering 13.8 million shares between $19 and $21 through Barclays and UBS. Tuniu.com (NYSE: TOUR): The company expects to issue 8.0 million ADSs between $9 and $11. K2M (NASDAQ: KTWO): 8.8 million shares are expected to price between $16 and $18 through Piper Jaffray, Barclays, and Wells Fargo. Radius Health (NASDAQ: RDUS): Radius is issuing 5 million shares and looks to price them between $14 and $16 through Jefferies and Cowen. At 2:26 p.m. today, a story was released stating that Radius Health filed to withdraw its IPO. The story was redacted and incorrect. As of the time of this writing, Radius Health will be moving forward with its IPO. Overall, last week was dismal for the IPO investor. With seven offerings on the docket for the week of May 5, maybe demand will pick up now as the S&P 500 sits near all-time highs and investors look for new growth opportunities. Disclosure: At the time of this writing, the author holds no positions in any mentioned company."
2014-05-05,IPO Lookout: What's Up for the Week May 5 and a Review of May 2.,"This week's IPOs waited until Friday to make a market debut. Today's IPOs are Ares Management (NYSE: ARES), Papa Murphy's (NASDAQ: FRSH), Aldeyra Therapeutics (NASDAQ: ALDX), and Scynexis (NASDAQ: SCYX). These IPOs enter a heavily mixed market as the S&P 500 swung between green and red after the employment situation improved but concerns over Russia and Ukraine hung overhead. Ares Management decreased its offering from 18.2 million shares to 11.4 million and priced at $19, below the $21-$23 range. Shares opened low, for $18.15 per share at 9:50 a.m. After one minute, the bottom was in at $18, and despite a sluggish market, shares marched to the highs of the day, $18.63. Ares settled in to close near the highs at $18.69, still causing a loss of IPO investors after day one. Papa Murphy's priced as expected, selling 5.8 million shares for $11, on the low end of the $11 to $13 range. Papa's shares opened high for $12.10 at 10:52, but enthusiasm lacked as shares sank, leaving the stock barely above its offering price at $11.06. Aldeyra Therapeutics missed the mark after delaying its opening from Friday, April 11. Downsized from 2.3 million to 1.5 million shares, the offering priced at $8, and opened at $7.50, well below the expected $10 to $12 range. Most IPOs open for trading in the morning, between market 9:30 a.m. and noon. Aldeyra did things differently, opening at 3:00 p.m. eastern standard time. The change didn't make a difference for the biotechnology company as shares sank from its open to close an hour later at $7.20, well above its $6.01 low. Scynexis, originally slated to debut the week of April 14, finally opened for trading today. The stock priced 6.2 million shares at the expected $10 price. Below the offering, the stock opened for $9.75 at 11:19 a.m. In early trading, shares spiked to $9.84 before drifting off for the rest of the day to close at $9.00. Scynexis shares traded thin most of the day, maintaining a wide bid/ask spread. In some cases, spreads were $0.20 wide or more. Traders and investors should be careful when buying or selling. IPOs for the Week of May 5 Alder Biopharma (NASDAQ: ALDR): expects to price 7.2 million shares between $13 and $15 through underwriters Credit Suisse and Leerink Partners. Cheetah Mobile (NYSE: CMCM): is issuing 12.3 million ADSs (American Depository Shares) for $12.50 to $14.50 through J.P. Morgan, Morgan Stanley and Credit Suisse. GasLog Partners (NYSE: GLOP): Underwriters Citigroup, Credit Suisse, and Wells Fargo expect to price 8.4 million share between $19 and $21. PBF Logisitcs (NYSE: PBFX): Offering 13.8 million shares between $19 and $21 through Barclays and UBS. Tuniu.com (NYSE: TOUR): The company expects to issue 8.0 million ADSs between $9 and $11. K2M (NASDAQ: KTWO): 8.8 million shares are expected to price between $16 and $18 through Piper Jaffray, Barclays, and Wells Fargo. Radius Health (NASDAQ: RDUS): Radius is issuing 5 million shares and looks to price them between $14 and $16 through Jefferies and Cowen. At 2:26 p.m. today, a story was released stating that Radius Health filed to withdraw its IPO. The story was redacted and incorrect. As of the time of this writing, Radius Health will be moving forward with its IPO. Overall, a dismal week for the IPO investor. With seven offerings on the docket for the week of May 5, maybe demand will pick up now as the S&P 500 sits near all-time highs and investors look for new growth opportunities. Disclosure: At the time of this writing, the author holds no positions in any mentioned company."
2014-07-16,Canaccord Genuity Initiates Radius Health At Buy,Analysts at Canaccord Genuity initiated coverage on shares of Radius Health (NASDAQ: RDUS) with a Buy rating. The target price for Radius Health is set to $21. Radius Health's shares dropped 2.57% to close at $12.14 yesterday.
2014-07-16,"Analysts Come Out Bullish On Radius Health, Shares Rally","Early Wednesday morning, four analyst firms issued notes initiating bullish coverage on Radius Health (NASDAQ: RDUS). Shares of Radius Health have shot up nearly six percent on the news. The firms respective ratings and price targets are listed below. Canaccord Genuity - Buy, $21 Cowen & Company - Outperform, N/A Cantor Fitzgerald - Buy, $20 Jefferies - Buy, $17 The average of these price targets is $19.33, which represents 53 percent upside to last check price of $12.62."
2014-07-16,Analysts Come Out Bullish on Radius Health; Shares Rally,"Early Wednesday morning four analyst firms issued notes initiating bullish coverage on Radius Health, Inc. (NASDAQ: RDUS). Shares of Radius Health have shot up over five percent on the news. The firms along with their respective ratings and price targets are listed below. Canaccord Genuity - Buy, $21 Cowen & Company - Outperform, N/A Cantor Fitzgerald - Buy, $20 Jefferies - Buy, $17 The average of these price targets is $19.33, which represents 53 percent upside to last check price of $12.62."
2014-07-16,Benzinga's Top Initiations,Analysts at Jefferies initiated coverage on Frank's International NV (NYSE: FI) with a Hold rating. The target price for Frank's International is set to $25. Frank's shares closed at $23.11 yesterday. Canaccord Genuity initiated coverage on shares of Radius Health (NASDAQ: RDUS) with a Buy rating. The target price for Radius Health is set to $21. Radius Health's shares closed at $12.14 yesterday. Analysts at Baird initiated coverage on shares of Dresser-Rand Group (NYSE: DRC) with a Neutral rating. The target price for Dresser-Rand is set to $66. Dresser-Rand's shares closed at $60.30 yesterday. Berenberg initiated coverage on shares of Monsanto Company (NYSE: MON) with a Buy rating. The target price for Monsanto is set to $141. Monsanto's shares closed at $119.98 yesterday.
2014-08-11,Upcoming Corporate Events/Presentations for the Week of Aug. 11-15th,"Pacific Crest Global Tech Leadership Forum – Aug. 10 to Aug. 12- Vail, CO Companies to participate: Cornerstone OnDemand, Inc. (NASDAQ: CSOD) EMC Corporation (NYSE: EMC) About Barracuda Networks Inc. (NYSE: CUDA) Fleetmatics Group PLC (NYSE: FLTX) Zendesk Inc (NYSE: ZEN) Audience, Inc. (NASDAQ: ADNC) Model N, Inc. (NYSE: MODN) Guidewire Software, Inc. (NYSE: GWRE) Cvent, Inc. (NYSE: CVT) NetSuite Inc. (NYSE: N) Seagate Technology (NASDAQ: STX) Synaptics, Inc. (NASDAQ: SYNA) Cypress Semiconductor Corp. (NASDAQ: CY) Alliance Data Systems Corporation (NYSE: ADS) SBA Communications Corporation (NASDAQ: SBAC) Canaccord Genuity 34th Annual Growth Conference – Aug. 13 to Aug. 14- Boston, MA Companies to participate: GlycoMimetics Inc (NASDAQ: GLYC) GenMark Diagnostics, Inc (NASDAQ: GNMK) Radius Health (NASDAQ: RDUS) Genomic Health, Inc. (NASDAQ: GHDX) Trevena, Inc. (NASDAQ: TRVN) Sierra Wireless (NASDAQ: SWIR) Aquinox Pharmaceuticals Inc (NASDAQ: AQXP) Novadaq Technologies Inc. (NASDAQ: NVDQ) Cynosure, Inc. (NASDAQ: CYNO) Cogent Communications Group, Inc. (NASDAQ: CCOI) ePlus inc. (NASDAQ: NGS) ORBCOMM Inc. (NASDAQ: ORBC) MiX Telematics Limited (NYSE: MIXT) OraSure Technologies, Inc. (NASDAQ: OSUR) Aerie Pharmaceuticals Inc (NASDAQ: AERI) Venaxis, Inc. (NASDAQ: APPY) EnteroMedics Inc. (NASDAQ: ETRM) Marketo (NASDAQ: MKTO) Endologix, Inc. (NASDAQ: ELGX) Omega Protein Corporation (NYSE: OME) SunOpta Inc. (NASDAQ: STKL) EnerCom The Oil & Gas Conference – Aug. 17 to Aug. 21- Denver, CO Companies to participate: GlycoMimetics Inc (NASDAQ: GLYC) Miller Energy Resources, Inc. (NYSE: MILL) CARBO Ceramics Inc. (NYSE: CRR) Citrix (NASDAQ: CTXS) VAALCO Energy, Inc. (NYSE: EGY) Jefferies 2014 Global Industrials Conference – Aug. 11 to Aug. 14- New York City Companies to participate: TriMas Corporation (NASDAQ: TRS) Aegion Corporation (NASDAQ: AEGN) General Moly, Inc. (NYSE: GMO) Cabot Corporation (NYSE: CBT) Power Solutions International, Inc. (NASDAQ: PSIX) Quest Resource Holding Corporation (NASDAQ: QRHC) Caterpillar Inc. (NYSE: CAT) Energy Recovery Inc. (NASDAQ: ERII)"
2014-11-13,1 Way To Search For The 'Next Big Thing' In Biotech,"The graph below was produced by Capital Market Labs. The health care sector and the biotechnology industry, in particular, have been substantial out-performers in this extended bull market run. While investors have seen many “nano-biotechs” disappear with failed drugs and FDA panel results, others have boomed from the nano-world to the large-cap world. Who’s next? In biotechnology, it starts with an idea and then a product. Together, that means Research & Development. The chart below displays all of the biotech companies in North America below $1 billion in market cap (x-axis), and their R&D expenses per $1 of operating expense (y-axis). Of particular interest are the firms spending more than $0.50 out of every $1 in operating expense on R&D. Synergy Pharmaceuticals Inc (NASDAQ: SGYP), Radius Health Inc (NASDAQ: RDUS) and Argos Therapeutics Inc (NASDAQ: ARGS) are a few of the biggest spenders (on a percentage basis). Ophir Gottlieb can be found on Twitter @ophirgottlieb."
