created,title,body
2018-01-11,KeyBanc Issues Stronger Forecast For 3 Steel Names,"The steel sector is looking more attractive than in the past, according to KeyBanc Capital Markets. The Analyst KeyBanc's Philip Gibbs: Upgraded Timkensteel Corp (NYSE:TMST)'s from Underweight to Sector Weight with no assigned price target, but a $16 fair value price. Maintains an Overweight rating on Reliance Steel & Aluminum Co (NYSE:RS) with a price target boosted from $84 to $95. Maintains an Overweight rating on Steel Dynamics, Inc. (NASDAQ:STLD)'s stock with a price target boosted form $44 to $49. The Thesis U.S. steel demand in 2017 was forecast to have initially grown by 2 percent, but a more accurate figure is 5 percent, Gibbs said in an industrywide research report. (See the analyst's track record here.) Growth came from stronger energy and industrial demand and some implied restocking, Gibbs said. Toward the end of 2017, fourth-quarter shipments were likely stronger than distributors expected, while December shipments were much better than normal seasonality, he said. Given the strong momentum, KeyBanc lifted his 2018 HRC pricing estimate from $615/ton to $655/ton (versus 2017's $623/ton) with strength coming from the energy and industrial sectors, plus alignment in auto inventories, the analyst said. Related Link: This Big US Steel Bear Admits Opportunity For Near-Term Upside TimkenSteel's Upgrade SBQ, or special bar quality, steel represents around 60-65 percent of TimkenSteel's consolidated business and up to 80 percent of its value-added business, Gibbs said. Expectations for 2018 are that the annual SBQ contract price resets will boost the company's FIFO EBITDA from a prior estimate of $93 million to $117 million, he said. TimkenSteel will also see less impact year-over-year from a raw material spread hit and improvements in energy shipments with further upside to the company's annually priced billet arrangement, Gibbs said. Reliance Steel & Aluminum's New Demand Baseline Gibbs turned incrementally bullish on Reliance Steel & Aluminum due to higher than previously expected volumes in the fourth quarter, which he said creates a new demand baseline for 2018. The company will benefit from higher carbon and aluminum pricing expectations and an 80-cents-per-share benefit from tax reform. Incrementally Bullish On Steel Dynamics Gibbs' 2018 earnings per share estimate for Steel Dynamics moved higher from $2.67 to $3.50 due to higher sheet volumes and spreads along with stronger beam spreads, he said. The analyst's revision doesn't assume normalization in CRC-to-HRC spreads. At around $46 per share, Steel Dynamics' stock trades at an 8x EV/EBITDA valuation on 2018 estimates, in the middle of the stock's historic normalized range of 6x to 9x, the analyst said. A $49 price target implies an 8.5x multiple, which is justified given the company's industry growth momentum and strong recurring FCFE yield of around 8 percent, he said. Related Link: AK Steel Upgraded On Expectations Of Higher Steel Prices"
2018-01-22,"Earnings Scheduled For January 22, 2018","Companies Reporting Before The Bell Halliburton Company (NYSE:HAL) is expected to report quarterly earnings at $0.46 per share on revenue of $5.63 billion. Petmed Express Inc (NASDAQ:PETS) is projected to report quarterly earnings at $0.32 per share on revenue of $56.66 million. UBS Group AG (USA) (NYSE:UBS) is estimated to report quarterly earnings at $0.21 per share on revenue of $7.54 billion. Opus Bank (NASDAQ:OPB) is projected to report quarterly earnings at $0.38 per share on revenue of $68.13 million. Bank of Marin Bancorp (NASDAQ:BMRC) is expected to report quarterly earnings at $0.85 per share on revenue of $20.30 million. Sify Technologies Limited (ADR) (NASDAQ:SIFY) is estimated to report earnings for its third quarter. Bank of Hawaii Corporation (NYSE:BOH) is projected to report quarterly earnings at $1.09 per share on revenue of $163.82 million. Community Bank System, Inc. (NYSE:CBU) is estimated to report quarterly earnings at $0.68 per share on revenue of $138.45 million. Triumph Bancorp Inc (NASDAQ:TBK) is expected to report quarterly earnings at $0.46 per share on revenue of $47.30 million. Companies Reporting After The Bell Netflix, Inc. (NASDAQ:NFLX) is expected to post quarterly earnings at $0.42 per share on revenue of $3.28 billion. Steel Dynamics, Inc. (NASDAQ:STLD) is projected to post quarterly earnings at $0.53 per share on revenue of $2.20 billion. Brown & Brown, Inc. (NYSE:BRO) is expected to post quarterly earnings at $0.42 per share on revenue of $453.10 million. Enterprise Financial Services Corp (NASDAQ:EFSC) is projected to post quarterly earnings at $0.77 per share on revenue of $56.91 million. Logitech International SA (USA) (NASDAQ:LOGI) is estimated to post quarterly earnings at $0.58 per share on revenue of $754.13 million. Zions Bancorp (NASDAQ:ZION) is expected to post quarterly earnings at $0.74 per share on revenue of $668.15 million. ResMed Inc. (NYSE:RMD) is projected to post quarterly earnings at $0.77 per share on revenue of $579.66 million. Woodward Inc (NASDAQ:WWD) is estimated to post quarterly earnings at $0.63 per share on revenue of $471.91 million. Fulton Financial Corp (NASDAQ:FULT) is projected to post quarterly earnings at $0.28 per share on revenue of $155.97 million. LG Display Co Ltd. (ADR) (NYSE:LPL) is estimated to post quarterly earnings at $0.57 per share on revenue of $6.29 billion. Simmons First National Corporation (NASDAQ:SFNC) is expected to post quarterly earnings at $0.57 per share on revenue of $154.63 million. Wintrust Financial Corp (NASDAQ:WTFC) is projected to post quarterly earnings at $1.13 per share on revenue of $299.29 million. ServisFirst Bancshares, Inc. (NASDAQ:SFBS) is expected to post quarterly earnings at $0.48 per share on revenue of $65.63 million."
2018-01-22,"6 Stocks To Watch For January 22, 2018","Some of the stocks that may grab investor focus today are: Wall Street expects Netflix, Inc. (NASDAQ:NFLX) to post quarterly earnings at $0.42 per share on revenue of $3.28 billion after the closing bell. Netflix shares gained 0.06 percent to close at $220.46 on Friday. Analysts are expecting Halliburton Company (NYSE:HAL) to have earned $0.46 per share on revenue of $5.63 billion in the latest quarter. Halliburton will release earnings before the markets open. Halliburton shares rose 1.24 percent to close at $53.01 on Friday. Sanmina Corp (NASDAQ:SANM) lowered its forecast for the first quarter and also issued a weak outlook for the second quarter. Sanmina shares rose 1.43 percent to close at $35.45 on Friday. Find out what's going on in today's market and bring any questions you have to Benzinga's PreMarket Prep. Before the markets open, Brown & Brown, Inc. (NYSE:BRO) is projected to post quarterly earnings at $0.42 per share on revenue of $453.10 million. Brown & Brown shares gained 0.27 percent to close at $52.50 on Friday. Analysts expect Steel Dynamics, Inc. (NASDAQ:STLD) to post quarterly earnings at $0.53 per share on revenue of $2.20 billion after the closing bell. Steel Dynamics shares rose 0.35 percent to close at $46.42 on Friday. Before the opening bell, Zions Bancorp (NASDAQ:ZION) is estimated to post quarterly earnings at $0.74 per share on revenue of $668.15 million. Zions Bancorp shares gained 1.65 percent to close at $53.73 on Friday."
2018-01-22,"The Week Ahead: IPOs, Earnings, And FDA Actions Provide Catalysts","Below is a list of notable corporate events for the week beginning January 22. Note, this list is not comprehensive and all dates are subject to change. Monday Conferences North American International Auto Show Jan. 20 thru Jan. 28 Notable Earnings Haliburton Company (NYSE:HAL) Q4 premarket TD Ameritrade Holding Corporation (NASDAQ:AMTD) Q1 after hours Netflix, Inc (NASDAQ:NFLX) Q4 after hours Steel Dynamics, Inc (NASDAQ:STLD) Q4 after hours Secondary Offering Lockup Expirations RBB Bancorp (NASDAQ:RBB) Tuesday Economic World Economic Forum 2018 in Davos, Jan. 23 thru Jan. 26 API U.S. Crude Oil Inventories 4:30 p.m. ET Sixth round of NAFTA negotiations take place in Montreal, Jan. 23 thru Jan. 28 (watch car manufacturers, railroads e.g. F, GM, FCAU, KSU, UNP) Conferences Blockchain Davos Conference Canaccord Blockchain Investor Day Notable Earnings Kimberly-Clark Corporation (NYSE:KMB) Q4 premarket Verizon Communications Inc (NYSE:VZ) Q4 premarket Johnson & Johnson (NYSE:JNJ) Q4 premarket The Procter & Gamble Company (NYSE:PG) Q2 premarket Capital One Financial Corporation (NYSE:COF) Q4 after hours United Continental Holdings, Inc (NYSE:SNNUAL) Q4 after hours Secondary Offering Lockup Expiration Sienna Biopharmaceuticals, Inc (NASDAQ:SNNA) Investor Events The Medicines Company (NASDAQ:MDCO) analyst/investor day United Continental analyst/investor day Workhorse Group Inc (NASDAQ:WKHS) business update call 4:30 p.m. ET Wednesday Notable Earnings Comcast Corporation (NASDAQ:CMCSA) Q4 premarket Abbott Laboratories (NYSE:ABT) Q4 premarket General Electric Company (NYSE:GE) Q4 premarket W.W. Grainger Inc (NYSE:GWW) Q4 premarket Whirlpool Corporation (NYSE:WHR) Q4 after hours Ford Motor Company (NYSE:F) releasing prelim Q4 and FY17 results 4:15 p.m. ET; BZ NOTE: On Jan. 16, Ford shares fell after the company issued a disappointing outlook for its FY17 and FY18 income. IPOs Entera Bio (ENTX) PagSeguro Digital (PAGS) IPO Quiet Period Expiration Casa Systems, Inc (NASDAQ:CASA) Newmark Group, Inc (NASDAQ:NMRK) Secondary Offering Lockup Expiration Newater Technology, Inc (NASDAQ:NEWA) Redfin Corporation (NASDAQ:RDFN) Investor Events CTI Biopharma Corp (NASDAQ:CTIC) shareholder meeting FDA/Biotech Synergy Pharmaceuticals Inc (NASDAQ:SGYP) sNDA PDUFA date for Trulance (plecanatide) BZ NOTE: Phase 3 data hit primary endpoints in both doses studied FDA Tobacco Products AdCom Meeting to review Philip Morris International Inc (NYSE:PM) iQOS BZ NOTE: Committee comments could effect other tobacco stocks (e.g. BTI MO, etc.) Thursday Notable Earnings American Airlines Group Inc (NASDAQ:AAL) Q4 premarket Southwest Airlines Co (NYSE:LUV) Q4 premarket Union Pacific Corporation (NYSE:UNP) Q4 premarket Raytheon Company (NYSE:RTN) Q4 premarket Northrop Grumman Corporation (NYSE:NOC) Q4 premarket 3M Company (NYSE:MMM) Q4 premarket Biogen Inc (NASDAQ:BIIB) Q4 premarket Caterpillar Inc (NYSE:CAT) Q4 premarket Celgene Corporation (NASDAQ:CELG) Q4 premarket Fiat Chrysler Automobiles (NYSE:FCAU) Q4 premarket E*TRADE Financial Corporation (NASDAQ:ETFC) Q4 after hours Intel Corporation (NASDAQ:INTC) Q4 after hours Intuitive Surgical, Inc (NASDAQ:ISRG) Q4 after hours Western Digital Corporation (NASDAQ:WDC) Q2 after hours Starbucks Corporation (NASDAQ:SBUX) Q1 after hours IPOs Gates Industrial (GTES) Menlo Therapeutics (MNLO) ProLung (LUNG) Solid Biosciences (SLDB) Investor Events Broadsoft, Inc (NASDAQ:BSFT) shareholder meeting Friday Economic Deadline for President Trump to decide on Sec. 201 Solar Tariffs. BZ NOTE: Higher tariffs could be positive for First Solar, Inc (NASDAQ:FSLR) and Canadian Solar Inc (NASDAQ:CSIQ), negative for SunPower Corporation (NASDAQ:SPWR) and SunRun (NASDAQ:RUN). Notable Earnings AbbVie Inc (NYSE:ABBV) Q4 premarket Colgate-Palmolive Company (NYSE:CL) Q4 premarket Honeywell International Inc (HON) Q4 premarket IPOs Adial Pharmaceuticals (ADIL) ARMO Biosciences (ARMO) PlayAGS (AGS) resTORbio (TORC) FDA/Biotech Advanced Accelerator Applications (NASDAQ:AAAP) Lutathera PDUFA date Aradigm Corporation (NASDAQ:ARDM) Linhaliq (pulmaquin) PDUFA date BZ NOTE: At Jan. 11 FDA Adcom meeting, Linhaliq received a negative 3-12 vote against recommending for approval"
2018-02-12,KeyBanc Projects 17% Upside In Timkensteel Corp. Shares,"Timkensteel Corp (NYSE:TMST) shares have pulled back about 26 percent since their Jan. 23 high, in contrast to a more modest 8-percent drop by the S&P 500 Index, prompting KeyBanc Capital Markets to upgrade the stock. The Analyst Analyst Philip Gibbs upgraded shares of Timkensteel from Sector Weight from Overweight with a $17 price target, suggesting about 17-percent upside from current levels. The Thesis An attractive valuation after the recent sell-off, modest incremental improvement in industry spot pricing and the emergence of a stronger free cash flow estimate were the drivers of the upgrade, Gibbs said in a Sunday note. The firm's 2018 HRC pricing estimate is now up from $655 per ton to $670 per ton, while the CRC view is maintained at $825 per ton, lowering the HRC-to-CRC spread to $155 per ton compared to $190 per ton in 2017, according to KeyBanc. The spread is now easing closer to the trailing 10-year average of $120 per ton, Gibbs said. The normalization is a function of positive HRC standard deviation and less relative tightness in downstream products amid new capacity and import persistence, the analyst said. We believe spot HRC mill spreads will grow strongly in 2018, while downstream products will be more muted, Gibbs said. KeyBanc modestly increased its estimates for Timkensteel, citing an improving U.S. SBQ, or special bar quality, pricing and mix backdrop. The firm sees Timkensteel and Steel Dynamics, Inc. (NASDAQ:STLD) to be more affected relative to Nucor Corporation (NYSE:NUE) and Commercial Metals Company (NYSE:CMC) if the Trump administration's infrastructure narrative becomes dragged or disappoints, Gibbs said. The Price Action Over the past year, Timkensteel shares are down about 13 percent, with a year-to-date drop of about 4 percent. Related Links: Analyst: Weakness In Reliance Steel & Aluminum Shares Offers Nice Entry Point Ahead Of Key Releases 6 Stocks Dragged Down By AK Steel's Disappointing Q3 Report"
2018-02-14,"Analyst: Steel Investors Need Action From Trump, Not Words","President Trump on Tuesday said he is considering a number of options for actions he could take to improve the struggling U.S. steel market, including imposing tariffs or quotas on imported steel. Trump said the U.S. steel industry is getting “decimated by dumping” of foreign steel into the market. I look at it two ways: I want to keep prices down, but I also want to make sure that we have a steel industry and an aluminum industry, and we do need that for national defense, Trump said. Trump has ordered an investigation into the potential risk that U.S. steel imports pose to national security, the groundwork for him potentially using his Section 232 powers to restrict steel imports. In January, Trump made a similar decision to implement a 30 percent tariff on imported solar panels. Height Securities said on Wednesday that, despite Trump’s tough language, investors shouldn’t expect immediate action. Height said the potential for negative economic fallout from steel tariffs or alienation of key U.S. allies are two factors holding back the White House from making a move. “We expect that yesterday's meeting was intended primarily as a messaging tool by the White House and that the President's remarks, much like his threat of a ‘reciprocal tax’ from Monday, represents a return to campaign-style rhetoric rather than a clear indicator of immediate action,” Height said in a note. If Height is correct, the gains in steel stocks on Wednesday morning may be unwarranted, at least at this point: United States Steel Corporation (NYSE:X) was up 2.2 percent. Steel Dynamics, Inc. (NASDAQ:STLD) up 1.3 percent. AK Steel Holding Corporation (NYSE:AKS) up 2.5 percent. Nucor Corporation (NYSE:NUE) up 0.8 percent. Related Links: US Steel Shares Drop After Gordon Johnson Issues Sell Rating First Solar And Sunrun: A Renewable Energy Pair Trade From Credit Suisse"
2018-02-16,"US Steel, Aluminum Stocks Rally After Commerce Dept. Calls For Tariffs","Steel and aluminum stocks moved sharply higher Friday after the U.S. Commerce Department issued a recommendation to President Donald Trump to enact steep tariffs or quotas on foreign companies. What You Need To Know Trump's administration looked into the topic of steel and aluminum imports and any potential impact on natural security, CNBC reported. Steel imports are weakening our internal economy and pose a threat to national security, Commerce Secretary Wilbur Ross said in a Friday letter. Ross recommends the White House take immediate action by adjusting the level of imports through quotas or tariffs. Why It's Important The report calls for a global tariff of 24 percent on all steel imports, with another option calling for a tariff of at least 53 percent on steel coming from a dozen countries including Brazil and China, CNBC said. Ross recommended a 63-percent quota of the countries' 2017 imports. The report also calls for a 7.7-percent tariff on all imported aluminum for most countries, but a higher rate of 23.5 percent on aluminum products from China, Hong Kong, Russia, Venezuela and Vietnam. A higher quota of 86.7 percent was recommended in the aluminum report. What's Next? The White House would be able to exempt certain countries from a tariff or quota, and individual companies can seek an appeal if they have any U.S. production facilities. U.S. steel producers should be able to operate at 80-percent average capacity utilization rates or better based on the available capacity that existed in 2017 if action is taken against foreign companies, Ross said. Stock Reactions AK Steel Holding Corporation (NYSE:AKS) gained more than 12 percent. United States Steel Corporation (NYSE:X) gained more than 10 percent and hit a new 52-week high of $43.97. Century Aluminum Co (NASDAQ:CENX) gained 8 percent. Steel Dynamics, Inc. (NASDAQ:STLD) gained 4 percent. Nucor Corporation (NYSE:NUE) gained 4 percent. Alcoa Corp (NYSE:AA) gained 0.6 percent. Related Links: Analyst: Steel Investors Need Action From Trump, Not Words Steel Industry Assures Of Its Importance In Autos, Sustainable Client Base At NAIAS Photo by Walter T. Palmer/via Wikimedia."
2018-02-20,Analysts Break Down The Sec. 232 Steel Investigation,"U.S. steel stocks are surging after the U.S. Commerce Department recommended that President Donald Trump enact a 24-percent tariff on all steel imports. Trump had ordered an investigation into the potential risk that U.S. steel imports pose to national security, laying the groundwork for him to potentially use his Section 232 powers to restrict steel imports. The Commerce Dept. laid out three possible courses of action for the president: A blanket 24-percent tariff on all countries. A 50-percent tariff on the 12 largest U.S. importers and a quota equal to 100 percent of 2017 imports on all other countries. No tariff and a quota of 63 percent of 2017 imports on all countries. Investors clearly see the announcement as good news for domestic steel stocks. Here’s what analysts had to say. Voices From The Street Trump will likely opt for a tariff-and-quota scenario, said Morgan Stanley analyst Piyush Sood. “We think that the tariff-plus-quota scenario, with [a] 53-percent tariff against [the] selected 12 countries and [a] quota set to 100-percent (of 2017 import levels) is most likely to be adopted, the analyst said in a Monday note. Citigroup analyst Alexander Hacking said any of the three potential proposals the Commerce Dept. suggested would generate a significant tailwind for the domestic steel industry. “Prices would rise sharply, likely $150/ton, with [the] potential for shortages in the quota-limit scenarios,” Hacking said. Height Securities analyst Clayton Allen said the potential tariffs will be short-lived and may actually be designed to use as leverage in negotiations with exporting countries. “We still see significant problems with the structure of the Section 232 process and anticipate pushback from the Defense Dept. and other factions within the administration, which may hamper efforts to accelerate this process,” Allen said. Deutsche Bank analyst Chris Terry said quotas would have more immediate impact than tariffs. “Quotas on all countries will likely have the maximum impact as it would immediately support higher domestic utilization,” Terry said. BMO Capital Markets analyst David Gagliano said the major impact of the recommendation is that U.S. steel imports will likely drop. “We believe this will result in higher U.S. production, higher U.S. prices and lower unit costs,” he said. Credit Suisse analyst Curt Woodworth said Trump has plenty of motivation to act at this point. “In our view the president will likely follow through on some of these recommendations, given pressure from steel industry executives and the win it would serve up for his political base,” the analyst said. Price Action Here’s a rundown of how steel stocks are reacting to the news since Friday: United States Steel Corporation (NYSE:X) is up 18.1 percent. AK Steel Holding Corporation (NYSE:AKS) is up 12.9 percent. Steel Dynamics, Inc. (NASDAQ:STLD) is up 6.1 percent. Nucor Corporation (NYSE:NUE) is up 4.4 percent. Commercial Metals Company (NYSE:CMC) is up 6.8 percent. Related Links: US Steel Shares Drop After Gordon Johnson Issues Sell Rating Analyst: Steel Investors Need Action From Trump, Not Words"
2018-03-01,"Height Securities: Concrete Proposal Unlikely To Emerge From Trump's Tariff Meeting With Steel, Aluminum Execs","President Donald Trump will meet with steel and aluminum executives Thursday, leading some to speculate an import tariff announcement is imminent, according to Reuters. But Height Securities considers a final proposal on rates or quotas unlikely to be released. “We expect that ongoing opposition from foreign partners, Congressional leaders, industry representatives from manufacturing industries and the Defense Department will push any final proposal further into March,” Height analysts said in a Thursday note. “ ... If we do receive any announcement today, it will likely be short on detail and may ignore aluminum altogether, as we understand the DoD has significant concerns with imposing any restrictions on aluminum imports.” More likely: a reiteration of Trump’s commitment to strong action, according to Height. Trump tweeted about the topic Thursday morning: Our Steel and Aluminum industries (and many others) have been decimated by decades of unfair trade and bad policy with countries from around the world. We must not let our country, companies and workers be taken advantage of any longer. We want free, fair and SMART TRADE! — Donald J. Trump (@realDonaldTrump) March 1, 2018 Headlines from the meeting are expected to bolster sentiment around the steel industry — but not necessarily around the U.S. economy. RSM Chief Economist Joe Brusuelas said tariff talk should not be considered positive. The imposition of tariffs on steel & aluminum is not just bad policy but the worst form of crony capitalism. This will lead to higher consumer costs on autos & transportation. Why protection for firms that just got large tax cuts? — Joseph Brusuelas (@joebrusuelas) March 1, 2018 Height asserted that no meeting outcomes or policy perspectives are certain, considering the president’s mercurial mindset amid the Mueller investigation, staff turnover and “infighting among his closest advisers.” At the time of publication, U.S. steel stocks were trading higher off the open. United States Steel Corporation (NYSE:X) was up 5.3 percent, AK Steel Holding Corporation (NYSE:AKS) 8.3 percent, Nucor Corporation (NYSE:NUE) 2 percent and Steel Dynamics, Inc. (NASDAQ:STLD) 1.7 percent. Related Links: Analysts Break Down The Sec. 232 Steel Investigation US Steel, Aluminum Stocks Rally After Commerce Dept. Calls For Tariffs Analyst: Steel Investors Need Action From Trump, Not Words"
2018-03-01,"Trump's Comments On Steel, Aluminum Tariffs Shake The Markets","Steel and aluminum stocks are popping on Thursday while the rest of the market crashes after President Donald Trump said he will be announcing new steel and aluminum tariffs as early as next week. What You Need To Know Trump said Thursday the U.S. will implement a 25 percent tariff on steel imports and a 10 percent tariff on aluminum imports, but didn't specify whether the tariffs will be applied to all imports or just imports from specific countries. “People have no idea how badly our country has been treated by other countries,” Trump said. “By people representing up who didn’t have a clue.” The Dow Jones Industrial Average fell more than 500 points Thursday afternoon, sitting around the 24,500 level at time of publication. The S&P 500 slid about 43 points. Why It’s Important The new metal tariffs are on the high end of what some analysts expected after the U.S. Commerce Department recommended a 24-percent tariff earlier this month. Back in January, Trump imposed a 30 percent tariff on imported panels, most of which are coming from Asia. China, which is the largest international U.S. trade partner, is a major importer of both steel and solar panels. Politicians in both the EU and China have already threatened to retaliate against the U.S. if Trump implements import tariffs. The EU has said it's prepared to act “swiftly and appropriately” to restrictive U.S. trade measures by potentially implementing its own restrictions on U.S. exports such as bourbon, cheese, orange juice tomatoes and potatoes. EU officials could also reportedly target iconic American brands, such as Harley-Davidson Inc (NYSE:HOG). China is also reportedly already prepping for a trade war, investigating the possibility of restricting U.S. grain imports. What’s Next Investors will now be watching and waiting for further details on the new tariffs and any indication the market sell-off could soften Trump’s stance. In the meantime, Height Securities said on Thursday the steel tariffs are great news for U.S. steel stocks, potentially providing support for domestic prices and increasing profitability. “It is possible that Trump could use this meeting to confirm his commitment to taking strong action, especially on steel tariffs, and we expect that headlines will be positive for the affected steel companies,” Height said prior to Trump's announcement. Here’s a rundown of how steel and aluminum stocks reacted to the news on Thursday: United States Steel Corporation (NYSE:X) was up 7.6 percent. Steel Dynamics, Inc. (NASDAQ:STLD) was up 4.2 percent. AK Steel Holding Corporation (NYSE:AKS) was up 10.9 percent. Alcoa Corp (NYSE:AA) was up 1.7 percent. Nucor Corporation (NYSE:NUE) was up 2.4 percent. The SPDR S&P 500 ETF Trust (NYSE:SPY) was down 1.0 percent. Related Links: Analysts Break Down The Sec. 232 Steel Investigation Analyst: Steel Investors Need Action From Trump, Not Words Image credit: Sgt. Alicia Brand - here, Public Domain, via Wikimedia Commons"
