created,title,body
2009-08-18,"WallStSense.com Fundamental & Technical Coverage of SFI, KGC, LNC, SNI, VMC and STLD","NEW DELHI, INDIA--(Marketwire - August 18, 2009) - W.S.S. is an online community with a dedicated team of analysts who are providing free in-depth research on North American equities. Our analysts have issued free ratings reports on the following six companies: iStar Financial Inc. (NYSE: SFI), Kinross Gold Corporation (NYSE: KGC), Lincoln National Corp. (NYSE: LNC), Scripps Networks Interactive Inc. (NYSE: SNI), Vulcan Materials Company (NYSE: VMC) and Steel Dynamics Inc. (NASDAQ: STLD). Click the link below to gain access to these free reports, no credit card is needed, just click the link below and start gaining access to this one of a kind research. http://www.wallstsense.com/ Research will be posted within 24 hrs and will be available in the member's area. Immediate registration is required. Click below now to sign up http://www.wallstsense.com/ Unlike many companies that target only specific sectors for clients, WallStSense.com is committed to teaching everyday people how to navigate a broader market and reap the rewards of participating in various sectors, no matter what their level of experience. We invite you to join our financial portal for free so that you can benefit from the above mentioned coverage, together with many others by signing up at the link below. http://www.wallstsense.com/ Coverage of these companies will include research in the following areas: -- Corporate and Market Analysis -- Financial Scanning and Understanding -- Sector Evaluation -- Technical Overview -- Buy, Sell & Hold Opinion -- Graphical Analysis of each of the above You are just a few clicks away from a free life-time membership that will offer you sound financial guidance. Look no further and sign up at http://www.wallstsense.com/index.php?id=78 Whether trading on the NYSE, NASDAQ or AMEX our experienced research team will investigate prime investment opportunities on behalf of the www.wallstsense.com subscribers to offer a comprehensive look at what is happening and why. Wallstsense.com is not a registered broker dealer or a registered investment advisor. However, we do use information from licensed analysts. No information accessed through the www.wallstsense.com or this release constitutes a recommendation to buy, sell or hold any security in any jurisdiction. Please consult a broker before purchasing or selling any securities viewed on or mentioned herein."
2009-09-25,"Cramer likes FNFG,VMC,KO,PEP","CNBC’s Mad Money Jim Cramer is Bullish on following four stocks:- Cramer is bullish on First Niagara Financial Group Inc. (NASDAQ: FNFG). So far, during the current year Shares of First Niagara have fallen by 24%. In March 2009, the stock hit its 52-week low of $9.48 and yesterday closed at $12.18. Vulcan Materials Company (NYSE: VMC) is a buy, Cramer said, if it pulls back to $46-$47. In the last three months the stock has gained over 23%. Yesterday it closed at $53.90. The Coca-Cola Company (NYSE: KO) is a Buy by Cramer. So far, during the current year Shares of Coca-Cola Company have surged over 16%. The stock closed at $52.34, very near to its 52-week high of $55.00. PepsiCo, Inc. (NYSE: PEP) is also a stock to buy. . In the last three months the stock has gained over 10%. Yesterday it closed at $58.54."
2009-12-09,Goldman Sachs Launches Coverage of MLM And VMC,"Goldman Sachs (NYSE: GS) initiated coverage of construction materials firms Martin Marietta (NYSE: MLM) and Vulcan Materials (NYSE: VMC). The bank rates the former a buy, and the latter a neutral. The bank is generally bullish on the industry, believing that “consensus drastically underestimates the impact of accelerating residential construction on aggregates demand.” As a result, Goldman’s 2011 estimates for the sector are around 20% above consensus. The bank favors Martin Marietta over Vulcan due to a more attractive valuation and better balance sheet capacity for mergers and acquisitions. MLM was up $2.56 in trading today to close at $85.06; VMC traded down 35 cents to $47.69."
2009-12-09,"Company News for December 09, 2009 - Corporate Summary","• Citigroup (NYSE:C) raised 3M (NYSE:MMM) to buy from hold • Barclays (NYSE:BCS) lowered Kimberly-Clark (NYSE:KMB) to equal weight from over weight • Wells Fargo (NYSE:WFC) upgraded Cooper Industries (NYSE:CBE) to outperform with a price target of $41-$43, up from $28-$30 • Goldman Sachs (NYSE:GS) initiated coverage of Martin Marietta (NYSE:MLM) with a buy rating and a price target of $111 • Goldman Sachs (NYSE:GS) started coverage of Vulcan Materials (NYSE:VMC) with a neutral rating and a price target of $55 • General Electric (NYSE:GE) said it is likely to see flat 2010 results as credit losses peakZacks Investment Research"
2010-01-15,"Demand For Construction Materials Down, But Prices Stable (MLM, VMC)","The demand for construction materials was down 27% y/y. However aggregate prices have demonstrated signs of greater stability over prior months, although concerns remain about discounting on large highway projects that will lead to flat-to-down pricing in 1H10 and ~1% pricing for 2010. Analyst Garik Shmois from LONGBOW Research has revised his estimates for Martin Marietta Materials, Inc (NYSE: MLM) and Vulcan Materials Company (NYSE: VMC) to incorporate weaker volume in 4Q09E from wet weather and weaker than anticipated near-term demand, particularly in Texas. For Martin Marietta Materials, Inc, the analyst forecasts 4Q09E EPS of $0.33 (-$0.09), FY09E EPS of $2.30 (-$0.09) and FY10E EPS of $2.80 (-$0.75). The current FY09E EPS is at the low-to-mid end of management’s $2.20-2.45 guidance range. For Vulcan Materials Company, 4Q09E EPS has been reduced to ($0.05) vs. +$0.08 prior."
2010-01-29,Vulcan Materials to Revisit Lows?,"Producer of crushed stone, sand, and gravel for construction, Vulcan Materials (NYSE: VMC), is seeing a very bearish trade this morning with the May $40 puts bought for $1.85. The trade occurred very near the asking price and is significantly above open interest, indicating new, bearish positioning. Vulcan Materials has been selling off since April 2007 with little rallies along the way. The technicals look very bearish for the stock; if it were to break down from the $45 level, then the stock would bee-line for $40, where it would find support. $35-40 is the range of the March low and it appears that this trader is betting that the company revisits that valuation."
2010-02-06,Vulcan Materials Company (VMC) Still Struggling,"Vulcan Materials Company (NYSE: VMC) will do well to break even when it reports last quarter's earnings after the market closes on Monday, February 8th. Analysts expect an EPS of $0.00 - a breakeven - versus the $0.14 per share earned in the same quarter a year earlier. Revenue is expected to have fallen from $799.2 million to $651.9 million for the quarter. The building materials company, if analysts are right, will have earned $0.27 per share for the year, on revenue of $2.73 billion. For 2010, analysts expect Vulcan Materials Company to earn $0.83 per share, and generate revenue of $2.92 billion. Vulcan topped earnings estimates by a penny last quarter, but fell short in the three before that one."
2010-02-12,Mad Mail: Jim Says There Is Opportunity To Buy FLIR,"In his “Mad Mail,” Jim said that L-1 Identity Solutions (NYSE: ID) has redeemed itself as it has begun the search for strategic alternatives to unlock its true value. While expressing his opinion on FLIR Systems (NASDAQ: FLIR), Jim said that the dip in the value of the company’s shares has offered a buying opportunity. Vulcan Materials (NYSE: VMC) has not as yet disclosed whether it has received federal stimulus money and, hence, Jim advices investors to refrain from buying this company’s shares. Cramer was worried about the prospects of Adobe (NASDAQ: ADBE), whose flash video player is facing competition from several companies such as Apple (NASDAQ: AAPL). Read more about Jim Cramer"
2010-03-15,Bookkeeping: 2 New Shorts,"I have a bunch of limit short orders outstanding now, but most stocks targeted will need to jump 4-7% for me to hit. I found a handful of candidates but most of the names I really would like to short are down quite strongly today - that doesn't mean they cannot continue to tail spin but if this market reverses and heads over S&P 1150, I don't want to take the chance. Instead I went for some secondary choices to replace the short exposure I let go today, simply to keep my allocations consistent. First, Cemex (CX) - one of the world's largest cement producers; which was on the brink of default if memory serves me, a year or so ago. I have shorted a 3% allocation at $10.20. Any move over last week's highs, i.e. $10.60ish will have me out of the stock. Dream scenario is a move down to $9.25 but I'd probably be content with $9.50 - which would be a 7% gain. Technically the stock has run into the 50 day moving average and hopefully it stalls there. Second, Vulcan Materials (VMC) - which is almost the same sector as Cemex... construction aggregrates. I don't expect huge profits on this one, 4-5% would be fine and it's mostly a market hedge for downside... but the entry point is so low risk I had to take it. I am shorting with a 3% allocation around $45.30 and have a clear exit point just over $46.00 which is less than a 2% loss if it triggers. I also considered Shanda Interactive (SNDA) - a Chinese video game operator. One could make a play here at shorting at the 20 day moving average... trying to be greedy I instead placed my stop order near to the 50 day moving average. Not sure if it will have the juice to reach it, but if so it will provide more of a margin of safety. In the real world, I'd probably place a short here (20 day moving average) with a very tiny stop loss (within 1%) - but I don't want to bother writing the transactions out on the website (I'm short! but 20 minutes later I'm stopped out!), so I'm skipping it at this level, but it's one of my outstanding short limit orders and worthwhile for the nimble... First Solar (FSLR) was another option - but a very volatile stock in which a news announcement can move it 10% overnight. Love the pattern though. Short Cemex, Vulcan Materials in fund; no personal position"
2010-03-16,Bookkeeping: Stopped Out of Vulcan Materials (VMC) Short,"Not surprisingly the never ending melt up is taking away some short exposure... as noted yesterday the advantage in shorting Vulcan Materials (VMC) was it was just below a very close by stop out point, in this case $46.00. I gave it an extra 10 cents to provide me some leeway, and that kept us in for most of the morning, but the breakout in the S&P 500 has launched this stock, among many others I am sure. Student body left trading. The entry yesterday was $45.30, stop loss $46.10. Hence we lost 1.75% on 3% of the portfolio - no big deal. The only question is how much longer the other 2 shorts entered yesterday will stay alive. I doubt much longer. One of these days we are going to get the mother of all head fakes as everyone seems to be doing the exact same trade on the indexes, and they just are far too textbook. But I've been saying that for about 9 months in a row, incorrectly. As I thought about the state of affairs last night, I think this market is discounting a census filled, make up for February snowstorm jobs number that is coming in a few weeks (early April). It could be +250,000 jobs (+100-125K census, +75K to make up for February snowstorms) and since no one in the markets other than economists read anything other than the headline number, the euphoria should be extreme. This could be part of the explanation for the non stop move here the past month. It will also make for a very interesting fall 2010 when the census jobs go away. No position x"
2010-03-17,"You Can Still Make Money on the Short Side, but It's Tough","When I added Cemex (CX) and Vulcan Materials (VMC) as shorts Monday, to create some downside hedges - I offered my third choice would have been Shanda Interactive (SNDA) ... indeed if I was not writing down all my material moves on the website, I offered in the real world I would have done this transaction. In the real world, I'd probably place a short here (20 day moving average) with a very tiny stop loss (within 1%) - but I don't want to bother writing the transactions out on the website (I'm short! but 20 minutes later I'm stopped out!), so I'm skipping it at this level, but it's one of my outstanding short limit orders and worthwhile for the nimble... In retrospect that one actually would of worked, to the tune of 7%! Which in this type of market is akin to 25% considering how strong the market is. That gain actually would of offset the 2 losses in CX and VMC nicely and kept us flat among the 3 short positions - which is a victory in this sort of circumstance. So a bit of misfortune as I did not take the trade that did work, and instead went with two that the market melt up helped carry up. But it sure isn't easy to have anything on the short side of the ledger. As Jim Cramer says .. there is always a bear market somewhere. Err... No position x"
2010-03-17,"Fast Money Lightening Round: Jim Trounces VIP, VMC, AVP; Favors CL, PL Instead","In his “Mad Money Lightening Round,” Jim Cramer warned investors to not buy Vulcan Materials (NYSE: VMC). VMC gained 2.22% yesterday. Jim also thinks that it is time to get out of VimpelCom (NYSE: VIP). VIP added 1.36% in yesterday’s trading. According to Jim, Avon Products (NYSE: AVP) does not have good growth prospects and it is better to invest in Colgate-Palmolive (NYSE: CL) and Procter & Gamble (NYSE: PG) instead. While AVP rose 1.25%, CL added 0.30% and PG lost 0.27% in yesterday’s trading. When asked about ArcSight (NASDAQ: ARST), Jim said that investors should hold the stock only till the mid-$30s. ARST fell 1.42% yesterday. Cramer expressed his disappointment with Transocean’s (NYSE: RIG) results for the latest quarter. However, he admitted that RIG was the only big company in the sector. RIG added 1.96%. Read more on Jim Cramer."
