created,title,body
2009-09-03,August 2009 Rewind - Running On Empty?,"[GRAPHIC FIXED -THANKS!] Equities put in another august performance last month, but in some ways discussed below, the rally started to feel as if it were slowly running out of gas. For August, the S&P 500, Dow Jones Industrials and NASDAQ 100 cash indices once again posted positive results of +3.36%, +3.54% and +1.36%, respectively, leaving them all up nicely on the year.While we have certainly seen some more obvious cracks in the market advance in the first days of September, I note below that there were some early warning signs last month in the lagging performance of the leading NASDAQ 100, and an actual negative result in the Small-Cap Growth stocks. So far the retrace has been mild at best. With the majority of earnings now out of the way, the reaction to tomorrow's jobs report may well set the tone for the balance of the month.Sentiment: PositiveVolatility: Narrow (VIX 24-27)Direction: Higher[Click to Enlarge/ Weekly ETF Analyses]The Style-Box was calculated using the following PowerShares™ ETFs: Small-Growth (PWT), Small-Value (PWY), Mid-Growth (PWJ), Mid-Value (PWP), Large-Growth (PWB), and Large-Value (PWV). The Sector-Ribbon was calculated using the following Select Sector SPDR™ ETFs: Materials (XLB), Industrials (XLI), Energy (XLE), Staples (XLP), Discretionary (XLY), Financials (XLF), Technology (XLK), and Healthcare (XLV). The Standard & Poors 500, Dow Jones Industrial Average and NASDAQ 100 may be traded through ETF proxies, including the SPY or IVV, DIA and QQQQ, respectively."
2009-10-02,September 2009 Rewind - Back to School for Bears,"Last month I questioned whether equities were Running on Empty, and perhaps I could pose that very same question this early October after a rash of less than stellar economic reports. Nevertheless, September undeniably put in more healthy returns for the year with the S&P 500, Dow Jones Industrials and NASDAQ 100 cash indices up +3.57%, +2.27% and +5.77%, respectively.Mid-Caps, Industrials and Technology led the charge, while Health Care and Large-Cap Value stocks lagged somewhat, although clearly all of the tracked indices came out to the positive. After the strongest quarter in decades and third-quarter earnings just ahead, will the bull's good fortune continue to run?Sentiment: PositiveVolatility: Narrow (VIX 23-29)Direction: Higher[Click to Enlarge/ Weekly ETF Analyses]The Style-Box was calculated using the following PowerShares™ ETFs: Small-Growth (PWT), Small-Value (PWY), Mid-Growth (PWJ), Mid-Value (PWP), Large-Growth (PWB), and Large-Value (PWV). The Sector-Ribbon was calculated using the following Select Sector SPDR™ ETFs: Materials (XLB), Industrials (XLI), Energy (XLE), Staples (XLP), Discretionary (XLY), Financials (XLF), Technology (XLK), and Healthcare (XLV). The Standard & Poors 500, Dow Jones Industrial Average and NASDAQ 100 may be traded through ETF proxies, including the SPY or IVV, DIA and QQQQ, respectively."
2009-11-03,October 2009 Rewind - A Stop in the Road,"October finally put a halt in the road for equities' historic seven-month run off of the March lows, leaving the S&P 500, Dow Jones Industrials and NASDAQ 100 cash indices mixed at -1.98%, +0.00% and -3.02%, respectively. The month also ended with the VIX back in the low thirties for the first time in a while.With the majority of third quarter earnings entered into the record books, the pullback came on nascent dollar strength, a key rate increase in Australia, higher energy costs and mixed economic reports. Small (IJK) and Mid-Caps (IWS), Financials (XLF) and Materials (XLB) led the retreat, while Energy (XLE) and Consumer Staples (XLP) were able to eek out positive returns. Ten days into the decline, traders in early November will be looking to the FOMC and the monthly jobs report to put the rally back on track. Sentiment: MixedVolatility: Wide Ranging (VIX 20-30)Direction: Flat[Click to Enlarge/ Weekly ETF Analyses]The Style-Box was calculated using the following PowerShares™ ETFs: Small-Growth (PWT), Small-Value (PWY), Mid-Growth (PWJ), Mid-Value (PWP), Large-Growth (PWB), and Large-Value (PWV). The Sector-Ribbon was calculated using the following Select Sector SPDR™ ETFs: Materials (XLB), Industrials (XLI), Energy (XLE), Staples (XLP), Discretionary (XLY), Financials (XLF), Technology (XLK), and Healthcare (XLV). The Standard & Poors 500, Dow Jones Industrial Average and NASDAQ 100 may be traded through ETF proxies, including the SPY or IVV, DIA and QQQQ, respectively."
2009-11-10,"ETFs To Watch On November 10, 2009 (HHH, GLD, EWA, EWZ, UYG)","Here is the ETF Professor's ETF Watchlist for Tuesday November 10, 2009. Play Priceline.com's (Nasdaq: PCLN) stellar earnings report on raised fourth-quarter guidance with the Internet HOLDRs ETF (AMEX: HHH). Priceline is the fifth-largest holding in HHH. Needing no explanation as to why it's a good idea to watch them are the SPDR Gold Shares ETF (NYSE: GLD) and the Market Vectors Gold Miners ETF (NYSE: GDX). Let's watch the iShares Dow Jones US Technology (NYSE: IYW) for any movement out of Oracle (Nasdaq: ORCL) related to the EU's move to possibly block the software maker's acquisition of Sun Microsystems (Nasdaq: JAVA). The Market Vectors Russia ETF (NYSE: RSX) has been on fire over the past week, up close to 15%. Keep an eye on it. The iShares Brazil Index (NYSE: EWZ) closed within three cents of its October high of $77.07 and has been one of the most consistently bullish emerging markets ETFs in 2009. One more international play: The iShares MSCI Australia Index (NYSE: EWA). EWA up 4.5% on Monday. Here's a bullish leveraged play for the rise in materials stocks: The Ultra Basic Materials ProShares (NYSE: UYM). Try the Materials Select SPDR (NYSE: XLB) if you don't want a leveraged ETF. Here's a triple leveraged play it large caps continue to lead the market higher: The Direxion Daily Large Cap Bull 3X Shares (NYSE: BGU)."
2009-12-06,November 2009 Rewind - Sharing the Bounty,"Horrid internet connectivity issues last month meant that I had to recreate a good deal of the November news table -- my apologies for the delay.In spite of some Dubai induced gyrations towards the end-of-month, November yielded bountiful results leaving the S&P 500, Dow Jones Industrials and NASDAQ 100 cash indices all much higher at +5.74% , +6.51% and +6.02%, respectively. That left annual results at very respectable +21.30% , +17.87% and +45.87%, respectivelyGoing into December, a renewed focus on the US Dollar due to the Dubai event and surprisingly strong economic reports will have traders balancing the reinvigorated economic indications against the foreseen impact of any loss in earnings power overseas and the possibility of sooner rate hikes as we dash into year-end. Sentiment: PositiveVolatility: Wide Ranging (VIX 20-30)Direction: Positive[Click to Enlarge/ Weekly ETF Analyses/ Prior Monthly Summaries]The Style-Box was calculated using the following PowerShares™ ETFs: Small-Growth (PWT), Small-Value (PWY), Mid-Growth (PWJ), Mid-Value (PWP), Large-Growth (PWB), and Large-Value (PWV). The Sector-Ribbon was calculated using the following Select Sector SPDR™ ETFs: Materials (XLB), Industrials (XLI), Energy (XLE), Staples (XLP), Discretionary (XLY), Financials (XLF), Technology (XLK), and Healthcare (XLV). The Standard & Poors 500, Dow Jones Industrial Average and NASDAQ 100 may be traded through ETF proxies, including the SPY or IVV, DIA and QQQQ, respectively."
2010-01-06,December 2009 Rewind - Steady Sleighing,"Short of a sovereign debt downgrade or two, last month provided remarkably steady sleighing as the majority of economic reports continued to come in ahead of expectation. For the month, all tracked indices finished higher with the S&P 500, Dow Jones Industrials and NASDAQ 100 cash indices up by +1.78% , +0.80% and +5.26%, respectively. Supporting the smooth ride was a VIX well contained in the low twenties.That left annual cash (and dividend inclusive) results showing very respectable gains of +23.45% (+26.34%) , +18.82% (+22.15%) and +53.54% (+54.72%), respectively. You may wish to compare these reading with a histogram of past annual results found here (see second chart -- I'll update that soon!). A sector-by-sector view is highlighted below:As shown, Technology (XLK) and Materials (XLB) took the lead. Going into the new year, traders will soon be focused on the Fourth Quarter Earnings Season, now just around the corner. Sentiment: PositiveVolatility: Very Low (VIX 20-25)Direction: Positive [Click to Enlarge/ Weekly ETF Analyses/ Prior Monthly Summaries]The Style-Box was calculated using the following PowerShares™ ETFs: Small-Growth (PWT), Small-Value (PWY), Mid-Growth (PWJ), Mid-Value (PWP), Large-Growth (PWB), and Large-Value (PWV). The Sector-Ribbon was calculated using the following Select Sector SPDR™ ETFs: Materials (XLB), Industrials (XLI), Energy (XLE), Staples (XLP), Discretionary (XLY), Financials (XLF), Technology (XLK), and Healthcare (XLV). The Standard & Poors 500, Dow Jones Industrial Average and NASDAQ 100 may be traded through ETF proxies, including the SPY or IVV, DIA and QQQQ, respectively."
2010-01-09,ETF Rewind - Week 1 (1/8/10),"(Click Image to Enlarge/ Glossary)The first week of the new year brought a powerful rally for equities, leaving the S&P 500 (SPY) higher by +2.8%, although that paled in comparison to the +5%-plus gains seen in the Material (XLB), Industrial (XLI), Energy (XLE) and Financial (XLF) complexes.While these moves have select indices now pushing into short-term overbought territory, clearly a good deal will ride on next week's forthcoming fourth quarter earnings results. Lastly, if you haven't focused on the rankings of price versus 10-month moving averages of late, you may be surprised to see Real Estate (IYR) in the top slot. The second trading week of 2010 features the following reporting calendar and rotation model selections (a new feature for 2010!):U.S. Economic CalendarU.S. Earnings CalendarETF Rotation ModelsHave a terrific weekend!If you are interested in a significantly more thorough version of this weekly summary, consider taking a look at Market Rewind's nightly ETF Rewind Pro service. In addition to coverage of nearly 200 ETFs across twelve major asset classes, you will find three model portfolios, daily market signals and commentary, pairs trading and various powerful portfolio management tools. Never Investment Advice: Prior Weekly Summaries: ETF Rotation Models"
2010-01-25,"ETFs To Watch January 25, 2010 (MTK, XLF, RSX, VXX)","Here is the ETF Professor's ETF Watch List for Monday January 25, 2010. With Apple (Nasdaq: AAPL) and Texas Instruments (NYSE: TXN) reproting earnings after the bell, tech ETFs will be in play during the trading day. The SPDR Morgan Stanley Technology ETF (NYSE: MTK) and the Technology Select Sector SPDR (NYSE: XLK) will be worth watching. The SPDR S&P Retail ETF (NYSE: XRT), the Consumer Discretionary Select Sector SPDR (NYSE: XLY), the Materials Select Sector SPDR (NYSE: XLB), the Financial Select Sector SPDR (NYSE: XLF) and the SPDR KBW Regional Banking ETF (NYSE: KRE) all saw unusual options activity on Friday. Believe it or not, the U.S. Natural Gas Fund (NYSE: UNG) was one of the better performing ETFs on Friday. Watch the UltraShort Financials ProShares ETF (NYSE: SKF) if financials remain under pressure. The Market Vectors Russia ETF (NYSE: RSX) is finding 2010 to be much tougher sledding than 2009 was. This is a good way to play oil's decline, too. The iPath S&P 500 VIX Short-Term Futures ETN (NYSE: VXX) was up nearly 9% on Friday, making it worth watching on Monday."
2010-01-27,"ETFs To Watch January 27, 2010 (BRF, IEO, ZSL, XLB)","Here is the ETF Professor's ETF Watch List for Wednesday January 27, 2010. Watch the First Trust ISE-Revere Natural Gas ETF (NYSE: FCG) to see if it can crack resistance at $18.50, though that might be a tall order tomorrow. With several oil earnings reports due out tomorrow, watch the iShares Dow Jones US Oil & Gas Exploration & Production Index (NYSE: IEO) and the SPDR S&P Oil & Gas Exploration & Production ETF (NYSE: XOP). Emerging markets continue to look weak, so keep an eye on the iShares Emerging Markets Index (NYSE: EEM) and the UltraShort MSCI Emerging Marktes ProShares ETF (NYSE: EEV). Precious metals have looked weak, so watch the UltraShort Silver ProShares ETF (NYSE: ZSL). Keep an eye on the Market Vectors Brazil Small-Cap ETF (NYSE: BRF), which has been in an tailspin lately. The Materials Select Sector SPDRS ETF (NYSE: XLB) is looking oversold. Watch the PowerShares DB U.S. Dollar Index Bullish ETF (NYSE: UUP) heading into Wednesday night's State of the Union address."
2010-02-08,"ETFs To Watch February 8, 2010 (IYR, ZSL, FXE, EWJ)","Here is the ETF Professor's ETF Watch List for Monday Febuary 8, 2010. The CurrencyShares Euro Trust (NYSE: FXE) will certainly be worth watching on any Greece, Portugal or Spain news. The iShares MSCI Brazil Index (NYSE: EWZ) is flirting with its 200-day moving average in a bad way. Looking for a play on silver weakness? Try the UltraShort Silver ProShares ETF (NYSE: ZSL). Japan could be one place investors flee to if risk appetite continues to falter, so watch the iShares MSCI Japan Index (NYSE: EWJ). The iShares Dow Jones US Real Estate ETF (NYSE: IYR) looks like it's faltering below its 50-day moving average. The Market Vectors Russia ETF (NYSE: RSX) has broken below $30 and was down more than 2% on Friday. The Materials Sector SPDR (NYSE: XLB) is another ETF that is drawing close to its 200-day line. Oddly enough, the Market Vectors Gold Miners ETF (NYSE: GDX) was one of the top performing ETFs on Friday, up more than 5%."
