created,sentiment
2009-08-13,0
2009-08-14,0
2009-08-17,0
2009-08-18,0
2009-09-03,1
2009-09-18,1
2009-09-21,2
2009-09-23,0
2009-10-04,1
2009-10-07,1
2009-10-08,0
2009-10-13,0
2009-10-30,0
2009-11-23,1
2009-11-24,0
2009-12-09,1
2009-12-11,0
2009-12-14,2
2009-12-16,1
2009-12-21,0
2009-12-22,1
2009-12-24,1
2009-12-28,1
2009-12-29,0
2010-01-04,2
2010-01-06,2
2010-01-07,1
2010-01-08,2
2010-01-11,0
2010-01-12,2
2010-01-13,0
2010-01-14,1
2010-01-15,1
2010-01-18,1
2010-01-19,1
2010-01-20,1
2010-01-21,0
2010-01-22,1
2010-01-24,1
2010-01-27,1
2010-01-28,1
2010-02-02,2
2010-02-04,0
2010-02-05,1
2010-02-09,0
2010-02-10,1
2010-02-11,1
2010-02-12,1
2010-02-16,1
2010-02-19,2
2010-02-24,0
2010-02-25,0
2010-02-26,2
2010-03-02,1
2010-03-03,1
2010-03-06,1
2010-03-08,2
2010-03-10,2
2010-03-11,1
2010-03-15,2
2010-03-16,2
2010-03-17,0
2010-03-18,1
2010-03-25,2
2010-03-26,2
2010-03-31,1
2010-04-01,2
2010-04-03,2
2010-04-05,2
2010-04-06,2
2010-04-07,1
2010-04-08,2
2010-04-09,2
2010-04-12,2
2010-04-13,1
2010-04-14,2
2010-04-15,2
2010-04-16,0
2010-04-19,2
2010-04-20,1
2010-04-21,0
2010-04-22,1
2010-04-27,1
2010-04-28,2
2010-05-03,2
2010-05-04,2
2010-05-05,0
2010-05-06,1
2010-05-10,2
2010-05-11,2
2010-05-12,0
2010-05-13,0
2010-05-14,1
2010-05-17,0
2010-05-18,2
2010-05-19,2
2010-05-20,2
2010-05-21,1
2010-05-24,2
2010-05-25,2
2010-05-26,0
2010-05-28,0
2010-05-29,1
2010-06-01,2
2010-06-02,2
2010-06-03,1
2010-06-07,2
2010-06-08,0
2010-06-10,1
2010-06-14,2
2010-06-15,1
2010-06-16,2
2010-06-18,2
2010-06-20,1
2010-06-21,2
2010-06-22,2
2010-06-23,0
2010-06-24,0
2010-06-28,1
2010-06-29,1
2010-06-30,1
2010-07-01,2
2010-07-02,0
2010-07-06,0
2010-07-07,1
2010-07-08,1
2010-07-09,1
2010-07-10,0
2010-07-11,1
2010-07-12,0
2010-07-13,1
2010-07-14,0
2010-07-15,0
2010-07-18,0
2010-07-20,2
2010-07-21,1
2010-07-23,2
2010-07-27,0
2010-07-30,0
2010-08-02,1
2010-08-06,1
2010-08-09,1
2010-08-10,0
2010-08-11,2
2010-08-12,0
2010-08-13,2
2010-08-18,0
2010-08-19,1
2010-08-23,1
2010-08-30,1
2010-08-31,1
2010-09-09,1
2010-09-14,0
2010-09-16,1
2010-09-22,0
2010-09-23,1
2010-09-24,1
2010-09-27,0
2010-09-28,0
2010-10-01,0
2010-10-04,2
2010-10-05,1
2010-10-06,1
2010-10-07,0
2010-10-08,1
2010-10-11,1
2010-10-12,2
2010-10-15,1
2010-10-18,2
2010-10-19,0
2010-10-20,1
2010-10-22,1
2010-10-25,2
2010-10-26,2
2010-10-27,1
2010-10-29,2
2010-11-01,0
2010-11-03,0
2010-11-08,1
2010-11-09,1
2010-11-11,1
2010-11-12,0
2010-11-15,1
2010-11-16,0
2010-11-17,1
2010-11-18,1
2010-11-19,1
2010-11-22,0
2010-11-24,1
2010-11-29,2
2010-11-30,0
2010-12-01,0
2010-12-02,1
2010-12-03,1
2010-12-06,1
2010-12-08,1
2010-12-09,1
2010-12-10,1
2010-12-13,1
2010-12-14,1
2010-12-15,1
2010-12-16,1
2010-12-17,0
2010-12-21,0
2010-12-22,1
2010-12-23,0
2010-12-27,1
2010-12-29,1
2010-12-30,0
2010-12-31,2
2011-01-01,0
2011-01-03,1
2011-01-04,1
2011-01-05,2
2011-01-06,1
2011-01-07,0
2011-01-08,0
2011-01-10,1
2011-01-11,1
2011-01-12,0
2011-01-13,0
2011-01-14,0
2011-01-17,1
2011-01-18,0
2011-01-19,2
2011-01-20,1
2011-01-21,2
2011-01-24,0
2011-01-25,0
2011-01-26,0
2011-01-27,2
2011-01-31,0
2011-02-01,0
2011-02-02,0
2011-02-10,0
2011-02-11,0
2011-02-13,0
2011-02-14,1
2011-03-01,1
2011-03-02,2
2011-03-03,1
2011-03-04,1
2011-03-09,1
2011-03-11,0
2011-03-17,2
2011-03-23,0
2011-03-27,1
2011-03-28,1
2011-04-04,1
2011-04-05,1
2011-04-06,0
2011-04-07,1
2011-04-08,0
2011-04-11,1
2011-04-12,1
2011-04-13,2
2011-04-17,1
2011-04-19,1
2011-04-21,2
2011-04-25,1
2011-04-26,1
2011-04-27,1
2011-04-29,2
2011-05-02,1
2011-05-03,2
2011-05-04,1
2011-05-05,1
2011-05-06,0
2011-05-09,0
2011-05-11,0
2011-05-12,1
2011-05-16,1
2011-05-18,1
2011-05-24,0
2011-05-25,0
2011-05-31,2
2011-06-01,0
2011-06-06,0
2011-06-09,2
2011-06-20,1
2011-06-22,2
2011-06-23,2
2011-06-24,2
2011-06-28,1
2011-06-29,1
2011-06-30,1
2011-07-03,2
2011-07-05,0
2011-07-08,1
2011-07-10,1
2011-07-11,2
2011-07-12,0
2011-07-13,0
2011-07-14,0
2011-07-15,0
2011-07-18,2
2011-07-25,2
2011-07-28,1
2011-08-02,0
2011-08-05,2
2011-08-09,1
2011-08-15,1
2011-08-17,0
2011-08-18,2
2011-08-25,1
