created,sentiment
2009-08-17,1
2009-11-11,1
2009-11-17,1
2009-11-18,0
2009-11-20,0
2009-11-23,0
2009-12-02,0
2009-12-12,0
2009-12-14,2
2009-12-18,0
2010-01-11,0
2010-02-02,1
2010-02-16,0
2010-02-18,1
2010-02-19,1
2010-02-22,0
2010-02-24,0
2010-02-26,1
2010-03-02,1
2010-03-08,1
2010-03-10,2
2010-03-11,0
2010-03-16,1
2010-03-17,1
2010-03-23,0
2010-03-30,0
2010-04-01,1
2010-04-06,2
2010-04-13,1
2010-04-28,1
2010-05-03,2
2010-05-04,0
2010-05-05,1
2010-05-07,2
2010-05-11,0
2010-05-19,1
2010-05-24,1
2010-05-25,1
2010-05-26,2
2010-06-01,1
2010-06-02,2
2010-06-03,2
2010-06-07,1
2010-06-08,0
2010-06-09,1
2010-06-21,1
2010-06-25,1
2010-06-28,1
2010-06-30,1
2010-07-07,1
2010-07-13,1
2010-07-14,0
2010-07-17,0
2010-07-19,0
2010-07-20,1
2010-07-21,0
2010-07-23,0
2010-07-24,0
2010-07-27,1
2010-07-28,2
2010-07-30,1
2010-08-02,1
2010-08-03,0
2010-08-09,2
2010-08-10,1
2010-08-11,2
2010-08-12,1
2010-08-16,0
2010-08-17,1
2010-08-18,0
2010-08-19,2
2010-08-20,1
2010-08-25,1
2010-08-26,0
2010-08-30,1
2010-08-31,1
2010-09-03,0
2010-09-08,2
2010-09-09,2
2010-09-10,0
2010-09-13,2
2010-09-14,0
2010-09-16,1
2010-09-17,1
2010-09-20,1
2010-09-21,1
2010-09-22,0
2010-09-27,1
2010-09-28,0
2010-10-04,0
2010-10-05,1
2010-10-06,2
2010-10-11,0
2010-10-12,0
2010-10-14,1
2010-10-19,1
2010-10-25,1
2010-10-27,1
2010-10-28,1
2010-10-29,0
2010-11-01,0
2010-11-02,1
2010-11-09,1
2010-11-19,0
2010-11-24,2
2010-11-29,1
2010-11-30,1
2010-12-07,0
2010-12-10,0
2010-12-13,1
2010-12-17,1
2010-12-20,1
2010-12-21,2
2010-12-23,0
2010-12-27,0
2011-01-05,0
2011-01-06,0
2011-01-07,1
2011-01-10,0
2011-01-11,1
2011-01-12,1
2011-01-14,0
2011-01-20,1
2011-01-25,0
2011-01-28,0
2011-01-31,0
2011-02-01,1
2011-02-03,1
2011-02-08,1
2011-02-10,1
2011-02-14,2
2011-02-16,1
2011-02-17,1
2011-02-18,1
2011-02-23,0
2011-02-24,2
2011-03-05,1
2011-03-07,2
2011-03-10,0
2011-03-11,1
2011-03-18,2
2011-03-23,2
2011-03-29,0
2011-03-30,0
2011-03-31,1
2011-04-07,0
2011-04-08,0
2011-04-12,1
2011-04-19,2
2011-04-26,0
2011-04-27,1
2011-04-28,0
2011-04-29,2
2011-05-05,0
2011-05-06,0
2011-05-09,0
2011-05-12,1
2011-05-19,1
2011-05-20,1
2011-05-23,0
2011-06-02,0
2011-06-06,1
2011-06-08,0
2011-06-10,1
2011-06-14,2
2011-06-16,1
2011-06-17,1
2011-06-23,0
2011-06-24,1
2011-06-27,2
2011-06-29,1
2011-06-30,2
2011-07-05,1
2011-07-06,0
2011-07-08,0
2011-07-12,1
2011-07-13,0
2011-07-15,2
2011-07-21,1
2011-07-22,2
2011-07-24,2
2011-07-27,0
2011-07-28,0
2011-07-29,0
2011-08-05,0
2011-08-10,1
2011-08-15,0
2011-08-17,1
2011-08-22,1
2011-09-01,1
2011-09-06,0
2011-09-07,2
2011-09-08,0
2011-09-14,0
2011-09-16,0
2011-09-19,2
2011-09-20,2
2011-09-21,1
2011-09-26,1
2011-09-27,0
2011-09-28,0
2011-09-30,1
2011-10-10,0
2011-10-11,0
2011-10-12,0
2011-10-25,0
2011-10-31,1
2011-11-07,1
2011-11-10,2
2011-11-15,1
2011-11-21,1
2011-12-02,2
2011-12-05,0
2011-12-12,1
2011-12-14,0
2011-12-19,0
2011-12-28,2
2012-01-05,1
2012-01-10,2
2012-01-19,0
2012-01-20,0
2012-01-26,0
2012-01-27,1
2012-02-07,1
2012-02-12,0
2012-03-08,0
2012-03-13,2
2012-03-14,1
2012-04-18,1
2012-04-19,2
2012-04-27,2
2012-05-09,2
2012-05-31,0
2012-06-11,2
2012-06-15,1
2012-06-18,1
2012-06-25,2
2012-07-05,0
2012-07-10,2
2012-07-16,2
2012-07-18,1
2012-07-27,2
2012-08-30,2
2012-08-31,2
2012-09-05,0
2012-09-13,1
2012-09-14,2
2012-09-17,1
2012-09-18,2
2012-09-19,0
2012-09-26,2
2012-10-10,2
2012-10-15,2
2012-10-22,2
2012-10-24,2
2012-10-26,2
2012-11-12,2
2012-11-20,2
2012-11-23,1
2012-11-28,1
2012-12-04,1
2012-12-05,1
2012-12-18,1
2013-01-06,2
2013-01-08,2
2013-01-11,2
2013-01-18,2
2013-01-23,1
2013-01-24,2
2013-02-12,1
2013-02-13,2
2013-02-14,0
2013-02-19,2
2013-02-27,1
2013-02-28,2
2013-03-04,2
2013-03-05,2
2013-03-12,2
2013-03-15,1
2013-03-18,1
2013-03-25,1
2013-03-26,1
2013-03-27,2
2013-04-01,1
2013-04-03,1
2013-04-07,0
2013-04-09,1
2013-04-11,1
2013-04-12,1
2013-04-19,1
2013-04-23,1
2013-04-25,0
2013-05-06,2
2013-05-07,0
2013-05-21,2
2013-06-10,1
2013-06-12,1
2013-06-19,1
2013-06-24,2
2013-07-02,1
2013-07-03,0
2013-07-10,0
2013-07-25,1
2013-07-26,1
2013-07-29,1
2013-08-02,1
2013-08-13,1
2013-09-09,2
2013-09-30,2
2013-10-09,2
2013-10-16,1
2013-10-17,0
2013-10-21,0
2013-11-18,2
2013-11-20,1
2014-01-14,1
2014-01-23,2
2014-01-28,1
2014-01-31,1
2014-02-03,1
2014-02-08,1
2014-02-10,2
2014-02-12,2
2014-02-13,2
2014-02-14,1
2014-02-18,2
2014-02-20,0
2014-02-24,0
2014-02-27,2
2014-03-04,2
2014-03-07,1
2014-03-10,2
2014-03-11,2
2014-03-12,2
2014-03-13,1
2014-03-20,1
2014-03-26,2
2014-04-08,2
2014-04-16,1
2014-04-21,0
2014-04-23,0
2014-04-25,0
2014-04-28,1
2014-05-08,2
2014-05-16,1
2014-05-28,2
2014-05-30,1
2014-06-12,2
2014-06-13,0
2014-06-23,2
2014-06-25,2
2014-06-26,2
2014-07-02,0
2014-07-07,2
2014-07-10,2
2014-07-14,1
2014-07-16,2
2014-07-17,1
2014-07-18,2
2014-07-21,0
2014-07-23,1
2014-07-24,1
2014-07-28,1
2014-07-29,2
2014-07-31,2
2014-08-07,2
2014-08-11,2
2014-08-14,0
2014-08-21,1
2014-08-22,1
2014-08-25,0
2014-08-26,2
2014-08-28,2
2014-08-29,2
2014-09-03,2
2014-09-09,2
2014-09-19,2
2014-09-22,1
2014-10-03,2
2014-10-08,1
2014-10-13,1
2014-10-14,1
2014-10-15,1
2014-10-17,0
2014-10-20,1
2014-10-21,2
2014-10-27,2
2014-10-28,2
2014-10-29,2
2014-10-31,1
2014-11-02,0
2014-11-17,1
2014-11-19,1
2014-11-20,2
2014-11-21,0
2014-12-03,0
2014-12-17,2
2014-12-18,2
2014-12-30,1
2015-01-01,0
2015-01-02,2
2015-01-15,2
2015-01-20,1
2015-01-23,2
2015-01-30,0
2015-02-02,1
2015-02-03,1
2015-02-04,2
2015-03-04,1
2015-03-09,1
2015-03-25,1
2015-04-09,1
2015-04-14,0
2015-04-17,1
2015-04-29,2
2015-05-03,0
2015-05-05,0
2015-06-16,0
2015-06-30,2
2015-07-02,2
2015-07-07,0
2015-07-22,1
2015-07-23,1
2015-07-24,1
2015-07-28,1
2015-07-29,2
2015-08-04,1
2015-08-21,1
2015-09-08,2
2015-09-10,2
2015-09-23,2
2015-09-29,1
2015-10-19,1
2015-10-29,2
2015-11-13,2
2015-11-18,0
2015-12-02,2
2015-12-16,1
2015-12-17,1
2015-12-23,2
2015-12-28,1
2016-01-22,2
2016-02-10,1
2016-03-04,1
2016-03-07,1
2016-03-08,2
2016-03-11,1
2016-03-15,1
2016-03-16,0
2016-03-17,1
2016-03-18,1
2016-03-23,1
2016-04-11,1
2016-04-18,1
2016-04-25,1
2016-04-28,1
2016-05-09,1
2016-05-17,0
2016-05-23,2
2016-05-27,0
2016-05-31,0
2016-06-01,0
2016-06-06,0
2016-06-09,2
2016-06-10,0
2016-07-11,1
2016-07-12,0
2016-07-26,0
2016-07-27,2
2016-07-28,2
2016-08-01,1
2016-08-10,2
2016-08-22,2
2016-08-31,0
2016-09-30,1
2016-10-13,1
2016-10-27,1
2016-11-03,0
2016-11-14,2
2016-11-15,2
2016-11-22,2
2016-11-23,1
2016-11-25,2
2016-12-05,2
2016-12-06,0
2016-12-20,1
2016-12-27,2
2016-12-28,2
2016-12-29,2
2017-01-12,1
2017-01-31,0
2017-02-03,2
2017-02-09,2
2017-02-10,0
2017-02-14,2
2017-03-02,0
2017-03-14,0
2017-03-16,1
2017-03-21,0
2017-03-27,1
2017-04-12,2
2017-04-20,1
2017-04-27,2
2017-05-02,0
2017-05-15,1
2017-05-19,1
2017-05-31,1
2017-06-02,2
2017-06-05,0
2017-06-14,1
2017-06-23,1
2017-06-26,0
2017-06-27,1
2017-06-28,1
2017-06-29,1
2017-07-07,1
2017-07-11,1
2017-07-24,1
2017-07-27,0
2017-07-31,1
2017-09-08,1
2017-09-13,1
2017-09-14,0
2017-09-15,0
2017-10-09,1
2017-10-10,1
2017-10-13,0
2017-10-18,1
2017-10-19,0
2017-10-20,2
2017-10-24,0
2017-11-08,1
2017-11-24,1
2017-12-01,1
2017-12-04,0
2018-01-02,2
2018-01-19,1
2018-02-06,0
2018-02-12,1
2018-02-14,1
2018-03-14,1
2018-03-15,1
2018-03-23,1
2018-04-20,1
2018-04-23,1
2018-07-18,2
2018-07-19,1
2018-07-20,1
2018-07-23,1
2018-07-24,0
2018-08-15,1
2018-09-26,1
2018-10-15,1
2018-10-18,1
2018-10-19,1
2018-11-14,1
2018-11-23,2
2018-11-26,0
2019-01-11,0
2019-01-28,0
2019-01-30,1
2019-01-31,0
2019-02-08,1
2019-04-26,0
2019-07-19,1
2019-07-22,1
2019-08-13,1
2019-08-14,1
2019-08-27,0
2019-09-03,0
2019-09-04,0
2019-09-13,1
2019-09-17,1
2019-09-20,0
2019-09-23,1
2019-10-01,0
2019-10-03,1
2019-10-04,1
2019-10-12,1
2019-10-29,1
2019-11-15,1
2019-12-03,0
2019-12-04,1
2019-12-08,1
2019-12-30,1
2020-01-10,1
2020-01-21,0
2020-01-23,1
2020-02-20,0
2020-02-27,1
2020-02-28,0
2020-03-06,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-04-06,0
2020-04-13,1
2020-04-15,1
2020-04-16,0
2020-04-17,1
2020-05-11,1
2020-05-27,0
2020-06-12,0
2020-06-19,1
2020-07-10,1
2020-07-13,0
2020-07-30,0
2020-08-17,1
2020-09-21,1
2020-09-28,0
2020-09-29,1
2020-10-02,1
2020-10-22,0
2020-10-23,1
2020-11-09,0
2020-11-18,1
2020-11-20,0
2020-11-24,0
2020-12-01,1
2020-12-02,1
2020-12-03,0
2021-01-19,1
2021-01-26,1
2021-02-09,1
2021-02-10,0
2021-02-22,0
2021-02-25,0
2021-03-02,0
2021-03-06,0
2021-03-09,0
2021-03-26,1
2021-03-30,0
2021-03-31,1
2021-04-01,0
2021-04-08,0
2021-04-09,0
2021-04-12,0
2021-04-15,1
2021-04-19,0
2021-04-21,0
2021-04-22,0
2021-04-26,0
2021-05-04,1
2021-05-10,0
2021-05-12,2
2021-05-19,0
2021-05-20,0
2021-05-25,0
2021-06-09,1
2021-06-10,2
2021-06-11,1
2021-06-14,1
2021-06-15,1
2021-06-16,1
2021-06-17,2
2021-06-18,0
2021-06-21,1
2021-06-30,0
2021-07-08,1
2021-07-14,0
2021-07-20,1
2021-07-21,1
2021-07-22,0
2021-07-23,1
2021-07-29,0
2021-08-09,0
2021-08-12,1
2021-08-19,0
2021-09-11,0
2021-09-16,0
2021-09-20,0
2021-09-21,1
2021-09-27,2
2021-10-02,0
2021-10-06,2
2021-10-11,1
2021-10-12,2
2021-10-19,2
2021-10-20,1
2021-10-22,1
2021-10-26,1
2021-10-29,0
2021-11-08,0
2021-11-17,0
2021-11-19,0
2021-11-22,0
2021-12-01,0
2021-12-13,0
2021-12-22,2
2021-12-23,0
2021-12-29,1
2022-01-04,2
2022-01-05,1
2022-01-07,0
2022-01-11,0
2022-01-19,0
2022-01-24,1
2022-01-26,0
2022-02-02,1
2022-02-10,0
2022-02-11,1
2022-02-14,1
2022-02-16,0
2022-02-22,0
2022-03-04,1
2022-03-24,0
2022-03-25,0
2022-03-26,1
2022-03-28,0
2022-03-29,1
2022-04-01,2
2022-04-04,0
2022-04-07,0
2022-04-13,1
2022-04-19,1
2022-04-21,1
2022-04-22,1
2022-04-25,2
2022-04-26,1
2022-04-27,1
2022-04-29,0
2022-05-24,1
2022-05-25,0
2022-05-31,2
2022-06-17,1
2022-06-30,1
2022-07-01,1
2022-07-20,0
2022-07-21,1
2022-07-22,1
2022-07-27,1
2022-08-17,0
2022-08-24,1
2022-08-29,2
2022-08-30,0
2022-09-21,0
2022-09-27,1
2022-09-28,2
2022-10-06,1
2022-10-13,0
2022-10-21,0
2022-10-25,0
2022-10-26,1
2022-10-28,0
2022-11-02,1
2022-11-07,0
2022-11-16,1
2022-11-23,1
2022-12-15,1
2022-12-16,0
2022-12-22,0
2022-12-23,1
2022-12-28,1
2023-01-04,1
2023-01-11,0
2023-01-12,0
2023-01-26,0
2023-02-07,0
2023-02-13,2
2023-02-14,0
2023-02-15,1
2023-02-17,0
2023-03-03,1
2023-03-08,1
2023-03-20,0
2023-04-10,1
2023-04-13,1
2023-04-24,2
