created,sentiment
2009-09-02,1
2009-09-03,2
2009-09-08,1
2009-09-09,1
2009-09-11,1
2009-09-16,1
2009-09-18,0
2009-09-23,0
2009-09-24,1
2009-10-06,0
2009-10-13,0
2009-10-19,2
2009-10-27,2
2009-10-28,0
2009-10-29,0
2009-10-30,1
2009-11-04,1
2009-11-09,1
2009-11-10,2
2009-11-11,0
2009-11-12,2
2009-11-16,2
2009-11-19,1
2009-11-23,1
2009-11-24,1
2009-11-25,2
2009-11-27,2
2009-12-04,0
2009-12-07,2
2009-12-08,2
2009-12-09,0
2009-12-10,1
2009-12-16,0
2009-12-17,1
2009-12-18,0
2009-12-22,0
2009-12-28,1
2009-12-30,1
2010-01-04,1
2010-01-06,1
2010-01-07,2
2010-01-08,1
2010-01-12,2
2010-01-22,1
2010-01-26,0
2010-02-08,2
2010-02-09,1
2010-02-12,0
2010-02-16,2
2010-02-18,1
2010-02-19,1
2010-02-24,1
2010-02-25,0
2010-02-26,1
2010-03-01,2
2010-03-03,1
2010-03-05,1
2010-03-09,1
2010-03-10,1
2010-03-16,1
2010-03-17,0
2010-03-18,2
2010-03-19,0
2010-03-22,0
2010-03-24,0
2010-03-25,1
2010-03-26,0
2010-03-28,0
2010-03-29,1
2010-03-30,2
2010-03-31,1
2010-04-05,1
2010-04-06,1
2010-04-07,1
2010-04-08,1
2010-04-13,0
2010-04-26,1
2010-04-28,1
2010-04-29,2
2010-05-06,0
2010-05-07,1
2010-05-10,1
2010-05-11,0
2010-05-12,0
2010-05-13,2
2010-05-19,0
2010-05-20,1
2010-05-26,1
2010-05-31,0
2010-06-01,0
2010-06-07,1
2010-06-08,1
2010-06-14,0
2010-06-15,0
2010-06-17,1
2010-06-18,0
2010-06-22,0
2010-06-27,0
2010-06-28,2
2010-06-29,2
2010-06-30,0
2010-07-01,0
2010-07-02,2
2010-07-19,1
2010-07-23,0
2010-07-27,1
2010-07-28,0
2010-08-03,1
2010-08-06,0
2010-08-10,1
2010-08-12,0
2010-08-13,1
2010-08-16,0
2010-08-17,1
2010-08-19,2
2010-08-25,1
2010-08-26,1
2010-08-30,0
2010-08-31,0
2010-09-02,0
2010-09-03,0
2010-09-07,0
2010-09-09,0
2010-09-14,2
2010-09-15,1
2010-09-16,1
2010-09-20,0
2010-09-21,1
2010-09-23,1
2010-09-27,0
2010-09-28,0
2010-09-29,0
2010-09-30,1
2010-10-05,0
2010-10-06,0
2010-10-07,1
2010-10-12,1
2010-10-14,1
2010-10-15,1
2010-10-18,0
2010-10-19,0
2010-10-20,1
2010-10-22,1
2010-10-28,2
2010-10-29,1
2010-11-09,0
2010-11-11,1
2010-11-16,1
2010-11-18,0
2010-11-20,0
2010-11-21,0
2010-12-03,0
2010-12-07,0
2010-12-08,2
2010-12-10,0
2010-12-11,0
2010-12-15,0
2010-12-16,0
2010-12-22,0
2010-12-29,1
2011-01-04,1
2011-01-05,1
2011-01-07,0
2011-01-09,0
2011-01-21,2
2011-01-28,0
2011-01-30,0
2011-02-07,0
2011-02-09,1
2011-02-14,0
2011-02-16,0
2011-02-21,1
2011-02-22,1
2011-02-24,2
2011-02-28,1
2011-03-03,0
2011-03-17,0
2011-03-23,1
2011-04-02,2
2011-04-04,0
2011-04-18,2
2011-04-20,0
2011-04-21,1
2011-05-02,2
2011-05-06,0
2011-05-10,1
2011-05-11,0
2011-05-18,1
2011-05-20,0
2011-05-25,0
2011-05-26,1
2011-05-27,2
2011-05-31,1
2011-06-02,0
2011-06-13,0
2011-06-20,1
2011-06-29,2
2011-07-06,0
2011-07-07,2
2011-07-08,2
2011-07-12,2
2011-07-13,1
2011-07-14,1
2011-07-18,2
2011-07-19,0
2011-07-20,2
2011-07-21,1
2011-07-29,2
2011-08-01,1
2011-08-02,1
