created,sentiment
2010-03-18,1
2010-03-19,0
2010-03-22,0
2010-03-25,0
2010-03-26,1
2010-03-28,2
2010-03-29,2
2010-04-05,1
2010-04-07,1
2010-04-29,1
2010-05-12,0
2010-05-13,1
2010-05-20,1
2010-06-02,1
2010-06-08,2
2010-06-10,2
2010-06-15,2
2010-06-18,0
2010-06-21,2
2010-06-22,0
2010-06-27,0
2010-06-28,0
2010-06-29,1
2010-07-07,1
2010-07-09,0
2010-07-12,1
2010-08-03,1
2010-08-04,0
2010-08-10,0
2010-08-13,0
2010-08-19,0
2010-08-25,0
2010-08-26,1
2010-08-30,1
2010-08-31,1
2010-09-07,1
2010-09-08,0
2010-09-09,0
2010-09-10,1
2010-09-14,0
2010-09-16,2
2010-09-20,0
2010-09-27,1
2010-10-05,1
2010-10-12,0
2010-10-17,1
2010-10-20,2
2010-10-21,1
2010-10-25,0
2010-10-27,0
2010-11-02,1
2010-11-04,1
2010-11-08,0
2010-11-10,0
2010-11-11,1
2010-11-16,1
2010-11-18,1
2010-12-01,0
2010-12-03,1
2010-12-07,0
2010-12-09,0
2010-12-16,0
2010-12-19,0
2010-12-20,0
2010-12-27,2
2010-12-28,1
2011-01-04,1
2011-01-08,0
2011-01-10,1
2011-01-13,2
2011-02-03,0
2011-02-24,1
2011-03-02,0
2011-03-11,0
2011-03-17,0
2011-04-02,1
2011-04-05,0
2011-04-06,1
2011-04-12,1
2011-04-14,2
2011-04-15,1
2011-04-18,0
2011-04-27,1
2011-05-05,1
2011-05-06,0
2011-05-10,0
2011-05-18,1
2011-05-22,1
2011-05-24,2
2011-06-10,2
2011-06-13,0
2011-06-14,0
2011-06-15,1
2011-06-21,1
2011-06-22,2
2011-07-05,1
2011-07-06,2
2011-07-08,1
2011-07-13,0
2011-07-14,2
2011-07-18,0
2011-07-19,0
2011-07-20,1
2011-07-21,2
2011-07-27,2
2011-07-29,2
2011-08-01,2
2011-08-02,2
2011-08-08,1
2011-08-10,1
2011-08-22,0
2011-08-30,0
2011-08-31,0
2011-09-08,0
2011-09-12,1
2011-10-14,0
2011-11-04,2
2011-12-07,0
2011-12-09,2
2011-12-14,1
2012-01-05,2
2012-01-11,1
2012-01-31,0
2012-02-14,2
2012-02-28,2
2012-03-06,0
2012-03-13,0
2012-03-19,0
2012-03-22,1
2012-03-23,2
2012-04-01,0
2012-04-05,0
2012-04-06,0
2012-04-09,0
2012-04-13,0
2012-04-25,2
2012-05-08,1
2012-05-11,1
2012-05-16,1
2012-05-18,1
2012-06-04,1
2012-06-05,0
2012-06-06,0
2012-06-07,1
2012-06-12,1
2012-08-07,0
2012-08-08,0
2012-08-15,0
2012-08-23,2
2012-08-28,1
2012-09-04,0
2012-09-24,1
2012-09-25,1
2012-11-14,2
2012-11-15,1
2012-11-29,2
2012-11-30,0
2012-12-04,1
2012-12-31,2
2013-01-10,2
2013-01-16,2
2013-01-25,0
2013-02-04,0
2013-02-12,2
2013-02-15,0
2013-02-20,0
2013-03-05,0
2013-04-02,0
2013-04-15,1
2013-04-17,2
2013-04-22,0
2013-05-06,0
2013-05-07,0
2013-05-15,0
2013-05-17,0
2013-06-05,0
2013-06-24,1
2013-06-26,1
2013-07-15,0
2013-07-23,0
2013-07-24,0
2013-08-13,0
2013-08-16,0
2013-08-30,2
2013-09-04,2
2013-09-20,1
2013-09-27,1
2013-11-26,2
2014-02-10,2
2014-03-12,0
2014-05-27,1
2014-06-11,1
2014-06-19,0
2014-09-05,0
2014-11-01,0
2014-11-18,0
2015-01-19,2
2015-01-20,2
2015-01-21,1
2015-07-24,0
2015-07-28,1
2015-08-14,1
2015-12-28,2
2016-01-13,2
2016-02-08,0
2016-02-12,0
2016-02-25,2
2016-06-21,0
2016-06-24,0
2016-07-07,1
2016-10-04,1
2017-01-09,1
2019-06-05,0
2019-10-10,1
2019-10-14,1
2019-10-16,0
2020-04-02,0
2020-05-19,0
2020-06-03,0
2020-06-09,0
2020-08-03,1
2020-11-09,1
2020-12-03,1
2021-07-20,1
2021-07-30,0
