created,sentiment
2010-02-09,1
2010-02-24,0
2010-02-25,2
2010-02-27,0
2010-03-01,0
2010-03-02,0
2010-03-03,1
2010-03-04,0
2010-03-11,0
2010-03-18,1
2010-03-22,0
2010-03-25,1
2010-03-26,0
2010-03-28,0
2010-04-05,0
2010-04-07,2
2010-04-26,2
2010-04-29,1
2010-05-03,0
2010-05-11,1
2010-05-14,0
2010-05-24,0
2010-06-08,0
2010-06-09,0
2010-06-11,0
2010-06-16,2
2010-06-24,0
2010-07-09,1
2010-07-19,0
2010-07-28,0
2010-07-30,2
2010-08-03,0
2010-08-06,2
2010-08-10,0
2010-08-11,0
2010-08-12,0
2010-08-13,1
2010-08-31,0
2010-09-02,0
2010-09-11,0
2010-09-16,0
2010-09-19,0
2010-10-05,0
2010-10-08,1
2010-10-12,0
2010-10-14,2
2010-10-27,0
2010-11-01,0
2010-11-18,0
2010-11-21,0
2010-11-22,1
2010-12-03,2
2010-12-07,0
2010-12-09,0
2010-12-14,0
2010-12-15,1
2010-12-20,2
2010-12-30,0
2011-01-06,0
2011-01-10,0
2011-01-13,1
2011-01-19,2
2011-02-03,0
2011-02-08,0
2011-02-10,0
2011-02-15,0
2011-02-17,0
2011-03-24,0
2011-03-27,0
2011-03-30,0
2011-04-08,2
2011-05-04,1
2011-05-17,1
2011-06-10,0
2011-07-05,1
2011-07-06,1
2011-07-18,1
2011-07-26,1
2011-07-27,1
2011-07-28,1
2011-08-03,0
2011-08-11,0
2011-08-12,2
2011-08-15,0
2011-08-19,0
2011-08-25,1
2011-09-19,0
2011-09-23,0
2011-10-27,0
2011-11-01,0
2011-11-04,0
2011-11-07,1
2011-11-08,0
2011-11-09,0
2011-11-13,2
2011-11-23,2
2011-11-30,2
2011-12-03,0
2011-12-07,1
2011-12-09,2
2011-12-14,2
2011-12-17,0
2011-12-20,0
2011-12-23,2
2011-12-29,1
2012-01-07,0
2012-01-16,0
2012-01-27,1
2012-01-29,0
2012-02-07,0
2012-02-08,0
2012-02-21,0
2012-02-22,1
2012-02-27,1
2012-02-29,0
2012-03-04,1
2012-03-18,0
2012-03-29,0
2012-04-01,1
2012-04-13,1
2012-04-16,2
2012-04-18,0
2012-04-25,0
2012-05-03,0
2012-05-04,0
2012-05-31,1
2012-06-07,0
2012-06-15,0
2012-07-05,1
2012-07-09,1
2012-07-23,1
2012-08-02,1
2012-08-08,0
2012-08-09,1
2012-08-10,0
2012-08-22,0
2012-08-23,0
2012-08-24,0
2012-08-28,0
2012-09-04,1
2012-09-07,0
2012-09-10,2
2012-09-12,1
2012-09-17,1
2012-09-20,0
2012-09-21,0
2012-09-24,2
2012-10-23,0
2012-11-07,2
2012-11-27,2
2012-12-03,0
2012-12-12,1
2012-12-26,0
2013-01-02,0
2013-01-15,0
2013-02-20,2
2013-03-07,2
2013-03-18,1
2013-03-20,0
2013-04-04,0
2013-04-15,1
2013-04-19,1
2013-04-26,0
2013-04-29,0
2013-04-30,0
2013-05-02,0
2013-05-17,1
2013-06-12,1
2013-06-19,1
2013-07-15,1
2013-07-30,1
2013-08-05,0
2013-08-15,1
2013-08-22,1
2013-08-28,2
2013-09-03,1
2013-09-06,1
2013-09-24,2
2013-10-11,1
2014-02-12,0
2014-02-25,1
2014-02-26,2
2014-10-13,0
2014-12-30,0
2015-03-24,2
2015-07-27,2
2015-08-19,2
2015-09-08,2
2016-03-23,2
2016-05-16,1
2016-05-18,1
2016-06-21,2
2016-07-13,2
2016-08-01,2
2016-08-11,0
2016-09-12,2
2016-11-11,0
2017-04-20,2
2017-07-31,0
2017-08-30,0
2017-09-01,2
2017-11-13,2
2017-11-21,0
2018-02-19,1
2018-03-14,1
2018-04-11,1
2018-05-07,2
2018-06-26,0
2019-02-02,0
2019-06-04,0
2019-06-28,0
2020-06-05,1
2020-08-24,1
2021-07-01,1
2021-08-11,1
2022-03-29,0
2022-08-10,0
2023-01-03,2
2023-01-12,0
2023-03-22,0
2023-03-31,2
2023-04-04,1
2023-04-05,0
2023-04-13,0
2023-04-18,1
2023-04-24,0
2023-05-01,0
2023-05-04,1
2023-05-05,0
2023-05-08,0
2023-05-09,2
2023-05-10,2
2023-05-11,1
2023-05-15,0
