created,sentiment
2012-02-24,1
2012-05-15,0
2012-07-27,1
2012-08-17,0
2013-01-09,1
2013-03-01,1
2013-03-27,0
2013-05-08,2
2013-06-19,1
2013-08-06,0
2013-08-13,1
2013-08-20,0
2013-12-05,1
2014-01-20,0
2014-03-10,0
2014-03-13,0
2014-06-30,1
2015-02-26,2
2015-05-21,0
2015-07-09,1
2015-08-19,1
2015-12-22,1
2016-02-25,0
2016-02-29,1
2016-03-02,0
2016-05-23,1
2016-06-27,1
2016-10-10,0
2016-12-22,1
2017-02-21,0
2017-04-26,0
2017-04-27,1
2017-10-13,0
2017-12-27,0
2018-01-02,1
2018-04-26,1
2018-04-27,0
2018-05-29,1
2018-05-30,0
2018-10-25,1
2018-11-28,0
2019-02-28,1
2019-03-06,0
2019-07-26,1
2019-09-12,1
2019-09-13,0
2019-11-04,0
2019-11-05,0
2019-11-13,0
2019-11-26,0
2019-12-13,0
2019-12-17,0
2020-02-20,0
2020-03-16,0
2020-03-18,1
2020-04-30,0
2020-06-08,1
2020-07-30,0
2020-10-29,0
2021-01-24,1
2021-02-17,0
2021-02-18,1
2021-02-19,0
2021-02-25,1
2021-03-08,1
2021-04-28,1
2021-04-29,0
2021-05-28,0
2021-07-29,1
2021-08-02,1
2021-10-28,1
2022-02-17,0
2022-02-18,0
2022-03-03,0
2022-03-14,1
2022-04-28,0
2022-05-12,1
2022-05-20,0
2022-07-13,1
2022-07-28,0
2022-08-17,1
2022-08-25,0
2022-09-08,0
2022-09-19,2
2022-10-27,1
2023-01-13,0
2023-02-22,1
2023-02-23,0
2023-02-24,1
2023-02-27,0
