created,sentiment
2009-08-17,0
2009-12-09,1
2010-01-15,1
2010-02-10,1
2010-02-11,1
2010-02-24,1
2010-03-16,1
2010-04-27,1
2010-06-10,0
2010-06-16,2
2010-07-13,1
2010-07-16,0
2010-08-04,0
2010-08-05,1
2010-08-09,1
2010-09-08,1
2010-09-21,1
2010-10-12,0
2010-10-13,0
2010-10-19,0
2010-11-02,0
2010-11-18,1
2010-12-03,0
2010-12-28,1
2010-12-29,0
2011-01-05,1
2011-02-01,0
2011-02-08,1
2011-02-09,0
2011-05-03,0
2011-06-03,1
2011-07-13,0
2011-08-03,1
2011-08-08,0
2011-08-30,1
2011-09-09,0
2011-10-12,1
2011-11-02,0
2011-11-17,0
2011-12-12,0
2011-12-19,0
2011-12-22,1
2012-01-05,0
2012-01-09,0
2012-01-11,0
2012-01-27,2
2012-02-08,0
2012-02-14,1
2012-03-30,0
2012-04-26,1
2012-05-02,0
2012-05-07,2
2012-05-10,0
2012-05-14,2
2012-05-16,0
2012-05-17,1
2012-05-20,1
2012-05-21,0
2012-05-30,2
2012-08-13,1
2012-09-25,0
2012-10-03,0
2012-10-25,0
2012-12-03,1
2013-02-08,1
2013-02-28,0
2013-05-21,0
2013-11-22,2
2014-01-24,2
2014-01-26,0
2014-01-27,1
2014-01-28,0
2014-05-05,2
2014-05-06,2
2014-06-30,0
2014-07-01,0
2014-07-03,1
2014-07-15,1
2014-07-22,1
2014-10-09,1
2015-02-10,1
2015-02-13,1
2015-03-12,1
2015-05-13,1
2015-06-01,1
2015-06-08,2
2015-08-05,1
2015-09-15,0
2015-10-02,1
2015-11-03,2
2016-03-07,2
2016-03-16,1
2016-03-28,1
2016-04-25,1
2016-05-10,1
2016-06-15,1
2016-06-21,0
2016-10-11,1
2016-10-14,1
2016-10-27,1
2016-11-11,0
2016-11-30,0
2017-01-11,1
2017-01-25,1
2017-01-29,0
2017-02-15,1
2017-03-30,1
2017-03-31,1
2017-06-26,0
2017-08-31,1
2017-09-14,1
2017-10-24,0
2017-12-14,1
2018-01-23,1
2018-02-13,1
2018-11-06,0
2018-11-07,1
2019-02-12,2
2019-03-21,1
2019-04-12,0
2019-06-06,0
2019-07-30,0
2019-07-31,0
2019-08-09,0
2019-08-16,0
2019-08-19,1
2019-09-04,1
2019-09-17,0
2019-11-21,1
2019-12-17,0
2019-12-19,1
2020-01-03,1
2020-02-11,2
2020-02-24,0
2020-03-03,0
2020-03-12,2
2020-03-16,0
2020-03-18,0
2020-03-31,0
2020-05-05,1
2020-05-15,0
2020-05-22,1
2020-06-16,0
2020-06-19,1
2020-07-28,1
2020-08-10,1
2020-09-12,1
2020-10-08,1
2020-10-29,0
2020-11-06,1
2020-11-20,1
2020-12-18,0
2021-01-07,0
2021-02-04,1
2021-02-09,1
2021-02-12,0
2021-04-09,0
2021-04-23,0
2021-05-04,1
2021-05-10,0
2021-06-17,0
2021-06-25,0
2021-07-29,1
2021-08-30,0
2021-10-06,1
2021-10-18,1
2021-11-01,1
2021-11-02,1
2021-11-03,0
2021-11-09,1
2021-12-10,0
2021-12-17,1
2021-12-19,1
2022-02-09,0
2022-02-10,0
2022-03-01,0
2022-03-22,1
2022-04-21,1
2022-05-02,1
2022-05-03,1
2022-05-05,0
2022-06-03,1
2022-07-14,0
2022-07-28,1
2022-08-01,1
2022-08-02,1
2022-09-20,1
2022-11-02,1
2022-11-07,1
2022-12-08,1
2022-12-14,0
2022-12-22,2
2023-01-24,1
2023-02-10,0
2023-02-14,0
2023-02-15,1
2023-02-16,1
2023-02-21,1
2023-02-28,0
2023-04-03,0
2023-05-04,0
2023-05-15,1
2023-05-16,0
2023-06-02,1
2023-06-05,0
2023-06-09,0
2023-06-27,1
2023-07-06,1
2023-07-13,0
2023-07-26,0
2023-07-27,1
2023-08-11,1
2023-08-17,0
2023-09-01,0
2023-09-07,0
2023-09-13,0
2023-09-15,0
