created,sentiment
2009-10-26,2
2009-10-27,1
2009-11-03,0
2009-11-04,1
2009-11-09,0
2009-11-10,1
2009-11-11,1
2009-12-22,0
2009-12-28,2
2010-01-27,0
2010-02-11,2
2010-03-18,2
2010-04-14,0
2010-04-23,0
2010-04-28,0
2010-05-26,2
2010-06-03,0
2010-06-04,2
2010-07-01,0
2010-07-07,1
2010-07-08,1
2010-07-09,1
2010-07-15,1
2010-07-27,1
2010-07-28,1
2010-08-02,1
2010-08-04,1
2010-08-16,1
2010-08-20,0
2010-09-01,1
2010-09-09,0
2010-09-16,1
2010-09-17,1
2010-09-20,2
2010-09-24,1
2010-09-27,1
2010-09-30,1
2010-10-04,1
2010-10-06,1
2010-10-07,1
2010-10-08,1
2010-10-13,1
2010-10-14,0
2010-10-18,1
2010-10-21,0
2010-10-26,2
2010-10-27,1
2010-10-28,1
2010-10-29,1
2010-11-17,1
2010-11-18,1
2010-11-19,0
2010-11-22,1
2010-11-23,0
2010-11-30,1
2010-12-01,0
2010-12-09,1
2010-12-21,1
2010-12-29,0
2011-01-04,0
2011-01-07,1
2011-01-13,0
2011-01-18,2
2011-01-20,1
2011-01-25,0
2011-01-26,0
2011-01-27,0
2011-02-02,1
2011-03-02,0
2011-03-07,1
2011-03-11,1
2011-03-17,1
2011-03-22,1
2011-03-30,1
2011-03-31,0
2011-04-01,0
2011-04-08,0
2011-04-13,1
2011-04-14,1
2011-04-18,1
2011-04-25,2
2011-04-27,1
2011-04-28,1
2011-04-29,2
2011-05-04,2
2011-05-11,0
2011-05-12,1
2011-05-17,1
2011-05-23,1
2011-06-03,1
2011-06-06,2
2011-06-09,1
2011-06-28,1
2011-07-08,1
2011-07-12,0
2011-07-15,0
2011-07-20,1
2011-07-21,1
2011-07-22,2
2011-07-24,1
2011-07-26,1
2011-07-27,1
2011-08-01,1
2011-08-09,1
2011-09-07,1
2011-09-09,1
2011-09-12,1
2011-09-21,1
2011-10-12,1
2011-10-20,1
2011-10-21,1
2011-10-23,1
2011-10-26,1
2011-10-27,1
2011-10-31,1
2011-11-03,1
2011-12-08,2
2011-12-13,2
2012-01-05,0
2012-01-13,2
2012-01-24,2
2012-01-25,0
2012-01-26,2
2012-01-30,2
2012-02-14,1
2012-02-16,1
2012-02-17,1
2012-03-07,1
2012-03-09,0
2012-03-13,2
2012-03-16,1
2012-04-02,0
2012-04-22,1
2012-04-25,0
2012-05-10,0
2012-05-16,2
2012-07-12,2
2012-07-23,2
2012-07-25,2
2012-08-01,2
2012-09-12,1
2012-09-19,0
2012-09-20,2
2012-10-03,2
2012-10-10,2
2012-10-17,2
2012-10-22,1
2012-10-23,2
2012-10-24,2
2012-11-14,1
2012-12-12,1
2012-12-29,2
2013-01-09,0
2013-01-10,1
2013-01-22,0
2013-01-23,0
2013-01-28,1
2013-01-31,1
2013-02-04,1
2013-02-15,0
2013-02-25,2
2013-02-26,2
2013-03-05,1
2013-03-19,1
2013-03-21,1
2013-03-28,2
2013-04-10,2
2013-04-23,1
2013-04-24,2
2013-05-06,0
2013-07-23,1
2013-07-24,1
2013-07-25,1
2013-10-10,1
2013-10-17,1
2013-10-24,2
2013-12-06,1
2013-12-16,1
2014-01-16,0
2014-01-21,1
2014-01-22,1
2014-03-13,1
2014-03-20,0
2014-03-21,0
2014-04-01,1
2014-04-14,1
2014-04-16,1
2014-04-17,1
2014-04-23,1
2014-04-24,1
2014-04-25,1
2014-05-21,0
2014-05-27,1
2014-06-02,1
2014-06-17,1
2014-06-25,1
2014-06-30,1
2014-07-22,1
2014-07-23,2
2014-07-24,1
2014-08-12,1
2014-08-14,1
2014-10-13,0
2014-10-16,1
2014-10-22,1
2014-10-30,2
2014-11-06,0
2014-11-09,0
2014-12-10,1
2014-12-12,1
2014-12-15,2
2014-12-16,0
2014-12-18,0
2015-01-26,2
2015-02-23,2
2015-03-09,2
2015-03-18,2
2015-03-23,2
2015-03-30,2
2015-04-02,2
2015-04-13,0
2015-04-14,2
2015-04-16,1
2015-04-20,2
2015-04-24,2
2015-04-29,0
2015-05-15,2
2015-06-09,2
2015-06-24,0
2015-06-30,0
2015-07-13,0
2015-07-16,0
2015-07-27,1
2015-09-11,1
2015-10-05,1
2015-10-17,0
2015-10-28,1
2015-11-09,1
2015-11-10,1
2015-11-12,1
2015-11-16,0
2015-11-17,0
2015-11-18,1
2015-11-24,1
2015-12-01,1
2015-12-04,1
2015-12-07,1
2015-12-08,2
2015-12-14,2
2015-12-17,2
2015-12-21,2
2015-12-23,2
2016-01-05,2
2016-01-13,2
2016-01-22,0
2016-01-27,0
2016-01-28,0
2016-02-09,0
2016-02-11,1
2016-02-12,0
2016-02-17,0
2016-02-19,2
2016-02-25,1
2016-03-01,1
2016-03-02,1
2016-03-04,1
2016-03-08,1
2016-03-10,1
2016-03-29,2
2016-04-11,1
2016-04-21,1
2016-04-22,2
2016-04-23,0
2016-05-09,0
2016-05-19,2
2016-05-20,1
2016-06-17,1
2016-06-21,2
2016-07-07,1
2016-07-25,2
2016-07-27,1
2016-07-29,0
2016-08-03,0
2016-08-05,0
2016-08-26,0
2016-08-31,1
2016-09-07,2
2016-09-08,0
2016-09-24,0
2016-10-11,1
2016-10-20,1
2016-10-25,1
2016-10-26,2
2016-11-01,2
2016-11-02,1
2016-11-15,1
2016-12-28,0
2017-01-03,1
2017-01-19,0
2017-01-20,0
2017-01-22,0
2017-01-24,0
2017-01-25,1
2017-02-16,1
2017-02-22,0
2017-03-14,0
2017-03-23,2
2017-03-24,2
2017-04-26,1
2017-05-03,2
2017-05-26,1
2017-05-30,0
2017-06-13,0
2017-07-06,0
2017-07-21,1
2017-07-24,1
2017-07-26,1
2017-07-31,1
2017-09-25,0
2017-09-26,1
2017-10-02,0
2017-10-25,1
2017-11-10,1
2017-11-27,1
2018-01-23,0
2018-01-24,2
2018-01-30,0
2018-04-25,2
2018-04-26,1
2018-05-24,0
2018-06-25,0
2018-07-18,2
2018-07-23,1
2018-07-24,1
2018-07-25,2
2018-07-26,1
2018-08-09,0
2018-08-15,1
2018-08-16,0
2018-09-06,0
2018-09-12,2
2018-09-13,0
2018-09-17,2
2018-09-18,0
2018-09-19,1
2018-10-10,1
2018-10-15,0
2018-10-22,2
2018-10-23,1
2018-10-24,0
2018-10-25,0
2018-10-29,0
2018-11-05,0
2018-11-07,1
2018-12-10,1
2018-12-13,2
2018-12-18,0
2018-12-31,1
2019-01-08,1
2019-01-10,1
2019-01-14,1
2019-01-17,0
2019-01-18,1
2019-01-24,0
2019-01-25,1
2019-01-29,1
2019-02-01,1
2019-02-02,1
2019-02-12,0
2019-02-19,0
2019-03-21,1
2019-03-29,2
2019-04-01,0
2019-04-04,1
2019-04-05,2
2019-04-08,2
2019-04-10,2
2019-04-16,2
2019-04-17,2
2019-04-24,0
2019-04-25,2
2019-05-01,0
2019-05-13,2
2019-05-16,2
2019-05-20,2
2019-05-30,1
2019-06-03,0
2019-06-06,2
2019-06-08,1
2019-06-13,1
2019-06-17,2
2019-06-19,1
2019-06-24,0
2019-06-27,2
2019-07-08,1
2019-07-12,2
2019-07-15,0
2019-07-16,2
2019-07-17,2
2019-07-18,2
2019-07-23,2
2019-07-24,0
2019-07-25,2
2019-07-31,0
2019-08-01,0
2019-08-02,0
2019-08-15,0
2019-08-20,2
2019-08-27,0
2019-08-28,2
2019-08-29,2
2019-09-04,0
2019-09-06,2
2019-09-12,0
2019-09-13,0
2019-09-17,2
2019-09-18,2
2019-09-19,2
2019-09-23,2
2019-09-24,2
2019-10-01,2
2019-10-02,2
2019-10-03,1
2019-10-04,2
2019-10-07,2
2019-10-08,2
2019-10-09,1
2019-10-10,2
2019-10-11,2
2019-10-14,2
2019-10-15,2
2019-10-16,0
2019-10-17,0
2019-10-18,0
2019-10-21,0
2019-10-22,0
2019-10-23,0
2019-10-24,0
2019-10-25,1
2019-10-28,2
2019-10-29,1
2019-10-30,0
2019-11-12,1
2019-11-20,0
2019-11-25,0
2019-11-26,0
2019-11-27,2
2019-12-03,0
2019-12-04,2
2019-12-13,2
2019-12-17,0
2019-12-31,0
2020-01-08,0
2020-01-20,0
2020-01-29,0
2020-01-30,1
2020-02-04,0
2020-02-10,2
2020-02-14,2
2020-02-17,1
2020-02-19,1
2020-02-26,0
2020-03-05,0
2020-03-06,1
2020-03-09,1
2020-03-12,2
2020-03-13,1
2020-03-16,0
2020-03-23,0
2020-03-24,2
2020-03-25,0
2020-03-27,0
2020-04-03,1
2020-04-09,1
2020-04-17,2
2020-04-29,2
2020-05-21,0
2020-06-01,0
2020-06-02,0
2020-06-08,0
2020-06-16,2
2020-06-17,2
2020-06-19,1
2020-07-02,0
2020-07-06,0
2020-07-09,2
2020-07-16,1
2020-07-29,1
2020-07-30,0
2020-07-31,0
2020-08-07,1
2020-08-24,1
2020-08-27,0
2020-09-14,1
2020-09-25,0
2020-10-15,1
2020-10-16,0
2020-10-23,0
2020-10-28,0
2020-11-10,0
2020-11-13,1
2020-11-16,0
2020-11-25,1
2020-12-17,1
2021-01-07,2
2021-01-08,0
2021-01-13,1
2021-01-21,1
2021-01-27,1
2021-02-13,1
2021-02-23,0
2021-02-25,1
2021-03-01,0
2021-03-22,1
2021-03-24,1
2021-04-26,0
2021-04-28,1
2021-05-12,0
2021-05-14,2
2021-06-06,0
2021-06-07,0
2021-06-10,0
2021-06-14,2
2021-06-15,0
2021-07-02,1
2021-07-08,1
2021-07-09,2
2021-07-14,1
2021-07-26,1
2021-07-27,1
2021-07-28,0
2021-08-02,1
2021-08-05,0
2021-08-09,1
2021-08-10,1
2021-08-13,1
2021-08-23,1
2021-08-30,1
2021-09-02,0
2021-09-22,1
2021-10-05,0
2021-10-06,1
2021-10-13,1
2021-10-15,0
2021-10-18,0
2021-10-27,1
2021-10-28,0
2021-11-19,1
2021-12-02,1
2021-12-10,1
2021-12-15,1
2022-01-04,1
2022-01-10,1
2022-01-11,1
2022-01-21,1
2022-01-25,1
2022-01-26,2
2022-01-31,0
2022-03-23,1
2022-03-30,1
2022-04-14,0
2022-04-27,0
2022-04-28,1
2022-05-19,1
2022-06-07,0
2022-06-15,1
2022-06-28,1
2022-07-01,1
2022-07-12,0
2022-07-13,1
2022-07-15,0
2022-07-16,1
2022-07-27,2
2022-07-28,0
2022-08-02,0
2022-09-06,1
2022-09-15,0
2022-09-27,1
2022-09-28,1
2022-09-29,0
2022-10-07,2
2022-10-11,1
2022-10-17,1
2022-10-26,1
2022-10-27,0
2022-10-31,2
2022-11-01,2
2022-11-03,2
2022-11-17,0
2022-11-28,0
2022-12-01,1
2022-12-05,0
2022-12-13,0
2023-01-04,1
2023-01-22,2
2023-01-24,1
2023-01-25,1
2023-01-26,1
2023-02-02,1
2023-02-13,0
2023-02-15,2
2023-02-21,1
2023-03-03,1
2023-03-06,1
