created,sentiment
2009-09-17,1
2009-10-22,0
2009-10-27,1
2009-11-06,2
2009-11-17,0
2009-11-30,1
2009-12-02,1
2009-12-11,1
2009-12-30,0
2010-01-04,0
2010-01-06,0
2010-01-07,1
2010-01-11,1
2010-01-15,1
2010-01-22,1
2010-01-25,2
2010-01-26,1
2010-01-27,2
2010-01-28,1
2010-02-09,1
2010-02-22,0
2010-03-15,1
2010-03-19,0
2010-03-22,1
2010-03-24,1
2010-04-13,0
2010-04-16,1
2010-04-17,0
2010-04-29,0
2010-05-10,1
2010-05-25,1
2010-05-26,2
2010-06-04,1
2010-06-21,1
2010-06-25,1
2010-06-28,1
2010-07-08,2
2010-07-12,0
2010-07-14,1
2010-07-16,0
2010-07-21,2
2010-07-23,1
2010-07-27,0
2010-08-03,0
2010-08-04,2
2010-08-13,0
2010-08-24,0
2010-08-31,1
2010-09-07,1
2010-09-08,0
2010-09-10,0
2010-09-14,0
2010-09-15,2
2010-09-16,2
2010-09-17,1
2010-09-19,1
2010-09-20,2
2010-09-22,0
2010-10-01,1
2010-10-13,2
2010-10-21,0
2010-10-29,0
2010-11-01,0
2010-11-02,0
2010-11-09,1
2010-11-15,1
2010-11-22,0
2010-12-01,1
2010-12-02,1
2010-12-06,1
2010-12-08,1
2010-12-13,2
2010-12-16,1
2010-12-17,0
2010-12-20,1
2010-12-21,1
2010-12-28,0
2011-01-11,1
2011-01-18,1
2011-01-19,0
2011-01-20,1
2011-01-25,1
2011-01-27,1
2011-01-28,0
2011-02-01,0
2011-02-16,0
2011-03-07,0
2011-03-15,2
2011-03-18,2
2011-03-26,0
2011-03-31,2
2011-04-05,2
2011-04-19,0
2011-04-20,1
2011-04-21,1
2011-04-26,0
2011-05-11,2
2011-05-16,0
2011-06-06,1
2011-06-07,1
2011-06-08,1
2011-06-10,1
2011-06-14,2
2011-06-15,2
2011-06-16,1
2011-06-17,1
2011-06-20,1
2011-06-21,1
2011-06-29,1
2011-07-08,1
2011-07-17,1
2011-07-18,1
2011-07-21,1
2011-07-22,0
2011-07-26,1
2011-08-05,2
2011-08-09,0
2011-08-12,0
2011-08-23,1
2011-08-24,1
2011-09-08,1
2011-09-13,1
2011-09-15,1
2011-09-28,1
2011-10-06,2
2011-10-17,1
2011-10-19,0
2011-10-20,1
2011-10-21,1
2011-10-24,2
2011-11-28,0
2011-12-06,2
2011-12-09,1
2011-12-14,2
2011-12-30,1
2012-01-05,2
2012-01-18,1
2012-01-24,1
2012-01-26,1
2012-01-27,1
2012-02-01,2
2012-02-03,2
2012-02-07,2
2012-03-14,1
2012-03-15,1
2012-04-03,0
2012-06-11,1
2012-06-13,0
2012-06-18,0
2012-06-21,1
2012-06-26,1
2012-07-19,2
2012-07-20,1
2012-08-24,0
2012-09-11,1
2012-09-17,0
2012-11-15,0
2012-12-18,2
2012-12-21,0
2013-01-04,1
2013-01-22,1
2013-01-25,0
2013-01-27,1
2013-03-07,1
2013-04-03,1
2013-04-18,1
2013-09-18,1
2013-10-17,1
2013-10-22,2
2013-11-13,1
2013-11-18,0
2013-11-22,1
2013-12-03,1
2013-12-23,1
2014-01-28,2
2014-03-19,2
2014-03-21,2
2014-04-16,2
2014-04-24,2
2014-05-06,1
2014-05-22,1
2014-06-17,1
2014-06-20,1
2014-06-23,1
2014-06-24,1
2014-07-24,1
2014-08-04,1
2014-08-13,0
2014-08-18,1
2014-09-03,1
2014-09-04,1
2014-09-12,1
2014-09-16,1
2014-09-17,1
2014-09-22,0
2014-09-30,1
2014-10-23,2
2014-10-29,1
2014-10-31,0
2014-11-02,0
2014-11-18,2
2014-11-25,1
2014-12-10,2
2014-12-16,0
2015-01-15,2
2015-01-16,2
2015-01-23,2
2015-01-27,1
2015-01-29,1
2015-02-07,1
2015-03-19,2
2015-03-20,1
2015-04-14,1
2015-05-11,1
2015-05-31,0
2015-07-20,0
2015-09-16,0
2015-10-05,2
2015-10-19,1
2015-11-24,1
2015-12-14,1
2016-01-14,2
2016-01-18,1
2016-01-22,1
2016-01-28,1
2016-02-29,1
2016-03-11,1
2016-03-16,0
2016-03-21,0
2016-03-23,1
2016-03-26,0
2016-04-05,1
2016-04-13,0
2016-04-21,0
2016-04-26,1
2016-06-08,2
2016-06-15,2
2016-06-24,2
2016-07-06,1
2016-07-12,1
2016-07-20,0
2016-07-21,0
2016-07-26,1
2016-07-27,1
2016-08-22,2
2016-09-13,2
2016-09-15,1
2016-09-20,2
2016-09-22,0
2016-09-27,0
2016-10-20,0
2016-11-17,1
2016-11-18,1
2016-12-06,0
2016-12-12,0
2016-12-28,0
2017-01-09,1
2017-01-10,1
2017-01-11,1
2017-01-12,0
2017-01-16,1
2017-01-18,0
2017-01-19,0
2017-01-27,1
2017-01-30,0
2017-01-31,2
2017-02-13,2
2017-03-14,2
2017-03-31,1
2017-04-13,1
2017-04-20,1
2017-04-24,1
2017-05-05,0
2017-05-09,0
2017-05-12,0
2017-05-16,0
2017-05-23,1
2017-05-24,1
2017-05-31,1
2017-06-15,1
2017-06-16,2
2017-06-19,2
2017-07-11,1
2017-07-18,0
2017-07-19,0
2017-07-20,2
2017-07-27,0
2017-08-17,1
2017-09-05,0
2017-09-12,0
2017-09-14,1
2017-09-15,0
2017-10-02,1
2017-10-13,1
2017-10-17,0
2017-10-18,0
2017-10-19,0
2017-10-31,0
2017-11-02,1
2017-11-22,1
2017-11-24,0
2017-12-20,1
2017-12-26,0
2018-01-03,1
2018-01-16,1
2018-01-30,1
2018-02-12,0
2018-02-14,1
2018-02-16,2
2018-02-20,0
2018-03-01,2
2018-03-02,1
2018-03-06,2
2018-03-16,1
2018-03-20,0
2018-04-19,1
2018-06-01,2
2018-06-15,1
2018-06-19,1
2018-07-18,2
2018-07-19,0
2018-07-24,0
2018-07-27,0
2018-08-07,0
2018-09-25,1
2018-10-11,2
2018-10-15,1
2018-10-17,0
2018-10-18,0
2018-11-27,0
2018-12-04,2
2018-12-13,2
2018-12-18,2
2019-01-15,0
2019-01-28,1
2019-01-29,2
2019-03-17,2
2019-03-29,1
2019-04-03,0
2019-04-04,0
2019-04-11,0
2019-04-23,1
2019-05-17,2
2019-05-22,0
2019-05-30,1
2019-05-31,0
2019-06-04,0
2019-06-18,0
2019-06-19,0
2019-07-18,0
2019-08-14,1
2019-09-04,0
2019-09-16,0
2019-09-19,1
2019-10-10,0
2019-10-20,1
2019-10-22,2
2019-12-09,0
2019-12-20,2
2020-01-28,1
2020-01-31,1
2020-02-14,1
2020-02-27,0
2020-02-28,0
2020-03-16,1
2020-03-18,1
2020-03-30,0
2020-04-01,1
2020-04-15,0
2020-04-17,0
2020-04-28,0
2020-06-11,0
2020-07-06,0
2020-07-23,1
2020-08-11,0
2020-08-12,0
2020-10-15,0
2020-10-21,0
