created,sentiment
2009-08-18,1
2009-09-28,0
2009-10-19,1
2009-11-30,1
2009-12-09,1
2009-12-30,0
2010-01-22,1
2010-01-29,1
2010-02-12,1
2010-03-03,0
2010-03-08,1
2010-04-19,1
2010-04-20,0
2010-06-17,1
2010-06-21,1
2010-06-29,0
2010-07-08,1
2010-07-20,0
2010-08-03,1
2010-08-19,1
2010-08-27,1
2010-08-31,1
2010-09-14,0
2010-09-15,1
2010-09-16,0
2010-10-04,2
2010-10-07,1
2010-10-18,2
2010-10-19,1
2010-10-20,2
2010-10-29,0
2010-11-23,1
2010-12-13,2
2010-12-16,1
2010-12-17,1
2010-12-20,1
2010-12-22,1
2010-12-27,1
2011-01-14,0
2011-01-18,2
2011-01-19,0
2011-01-20,0
2011-01-24,0
2011-01-25,2
2011-02-14,1
2011-02-18,0
2011-02-25,0
2011-02-28,1
2011-03-10,1
2011-03-11,1
2011-03-21,0
2011-04-14,0
2011-04-15,1
2011-04-20,1
2011-04-26,0
2011-05-16,0
2011-05-17,2
2011-06-17,2
2011-06-20,0
2011-06-30,2
2011-07-05,1
2011-07-08,1
2011-07-18,2
2011-08-15,2
2011-08-24,2
2011-08-29,1
2011-08-31,1
2011-09-13,1
2011-09-15,1
2011-09-28,0
2011-09-29,0
2011-10-05,0
2011-10-14,2
2011-10-18,1
2011-10-19,0
2011-11-04,0
2011-11-07,1
2011-11-08,0
2011-12-16,2
2011-12-27,2
2011-12-30,1
2012-01-04,0
2012-01-11,1
2012-01-17,2
2012-01-18,0
2012-01-24,1
2012-01-25,1
2012-01-26,1
2012-01-27,1
2012-01-30,0
2012-02-02,2
2012-02-03,1
2012-02-16,2
2012-04-03,2
2012-06-11,2
2012-06-15,2
2012-06-18,1
2012-06-19,0
2012-08-16,2
2012-08-31,1
2012-09-12,1
2012-09-17,2
2012-11-27,2
2012-12-17,2
2012-12-18,0
2013-01-28,0
2013-03-07,2
2013-03-26,1
2013-04-03,1
2013-07-09,1
2013-09-16,1
2013-09-18,1
2013-10-22,1
2013-11-04,1
2013-11-18,0
2014-01-16,2
2014-01-27,2
2014-04-01,0
2014-04-18,2
2014-07-14,2
2014-07-21,1
2014-07-22,1
2014-07-30,1
2014-08-04,1
2014-08-18,2
2014-08-25,1
2014-08-28,1
2014-09-03,1
2014-09-17,1
2014-09-22,0
2014-10-17,1
2014-10-20,1
2014-10-21,0
2014-10-23,0
2014-11-11,0
2014-12-03,1
2014-12-16,1
2015-01-14,2
2015-01-15,2
2015-01-16,1
2015-01-23,1
2015-01-26,2
2015-01-28,2
