created,sentiment
2009-09-03,0
2009-10-02,1
2009-11-03,0
2009-11-10,1
2009-12-06,0
2010-01-06,2
2010-01-09,2
2010-01-25,1
2010-01-27,0
2010-02-08,1
2010-02-11,1
2010-02-12,2
2010-02-16,1
2010-03-01,0
2010-03-08,1
2010-03-10,1
2010-03-23,1
2010-04-08,0
2010-04-27,1
2010-05-03,1
2010-05-11,1
2010-06-06,2
2010-06-09,2
2010-06-11,1
2010-06-21,2
2010-06-23,0
2010-07-02,2
2010-07-12,2
2010-07-14,0
2010-07-21,1
2010-07-27,0
2010-08-03,0
2010-08-15,1
2010-08-17,0
2010-09-16,0
2010-09-27,2
2010-09-29,2
2010-10-26,0
2010-10-27,0
2010-11-05,0
2010-11-10,1
2010-11-24,0
2010-11-30,2
2010-12-01,1
2010-12-02,0
2010-12-03,1
2010-12-08,0
2010-12-13,2
2011-01-02,1
2011-01-03,1
2011-01-04,0
2011-01-07,0
2011-01-11,0
2011-01-13,0
2011-01-20,0
2011-01-24,0
2011-02-06,2
2011-02-11,0
2011-02-17,2
2011-03-11,2
2011-03-25,0
2011-04-19,1
2011-05-03,2
2011-05-04,0
2011-06-08,1
2011-06-13,1
2011-06-22,0
2011-06-30,0
2011-07-15,0
2011-07-20,0
2011-07-21,0
2011-07-22,0
2011-07-25,0
2011-07-26,0
2011-07-27,0
2011-07-28,0
2011-07-29,0
2011-08-02,0
2011-08-03,0
2011-08-04,0
2011-08-08,0
2011-08-09,0
2011-08-10,0
2011-08-11,0
2011-08-12,0
2011-08-16,0
2011-08-17,0
2011-08-18,0
2011-08-22,0
2011-08-23,0
2011-08-24,0
2011-08-26,0
2011-08-29,0
2011-08-30,0
2011-08-31,0
2011-09-06,0
2011-09-07,0
2011-09-13,0
2011-09-14,0
2011-09-15,0
2011-09-16,0
2011-09-19,0
2011-09-21,0
2011-09-22,0
2011-09-26,1
2011-09-27,0
2011-10-03,0
2011-10-05,0
2011-10-11,0
2011-10-13,0
2011-10-18,2
2011-10-25,0
2011-11-18,0
2011-12-27,2
2012-01-10,0
2012-01-12,0
2012-01-28,2
2012-01-31,0
2012-02-08,2
2012-02-10,0
2012-02-11,0
2012-02-14,0
2012-02-15,2
2012-02-18,0
2012-02-22,0
2012-02-28,0
2012-03-07,2
2012-03-14,0
2012-03-19,2
2012-03-22,1
2012-03-28,2
2012-04-02,2
2012-04-10,1
2012-04-11,0
2012-04-25,2
2012-06-12,1
2012-06-15,0
2012-06-19,2
2012-06-27,2
2012-07-02,1
2012-07-10,0
2012-07-13,0
2012-07-23,0
2012-08-30,0
2012-09-21,1
2012-10-05,0
2012-10-09,1
2012-10-10,1
2012-10-22,0
2012-11-01,1
2012-11-06,0
2012-11-08,1
2012-11-15,2
2012-12-03,1
2013-01-02,0
2013-01-04,1
2013-01-06,0
2013-02-19,2
2013-03-06,0
2013-03-19,2
2013-03-25,2
2013-03-26,2
2013-04-01,2
2013-04-02,2
2013-04-03,0
2013-04-05,0
2013-05-15,1
2013-05-17,1
2013-06-24,1
2013-07-08,0
2013-07-11,1
2013-07-30,1
2013-07-31,2
2013-08-12,0
2013-08-13,1
2013-09-03,0
2013-09-04,2
2013-10-11,2
2014-02-25,1
2014-04-07,1
2014-10-02,2
2014-10-06,2
2014-10-08,1
2014-11-24,2
2015-03-30,2
2015-05-19,2
2015-07-05,2
2015-09-01,1
2015-09-27,0
2015-10-05,1
2015-10-07,1
2015-11-02,1
2015-11-27,2
2015-12-09,0
2015-12-10,2
2015-12-28,1
2016-01-12,1
2016-01-26,0
2016-02-01,0
2016-02-12,0
2016-03-03,1
2016-03-04,0
2016-03-08,1
2016-03-16,1
2016-05-02,0
2016-06-14,1
2016-06-15,0
2016-07-05,0
2016-07-07,1
2016-07-28,1
2016-07-29,1
2016-08-31,2
2016-09-01,1
2016-11-01,2
2016-11-07,2
2016-11-30,1
2016-12-19,1
2017-01-03,2
2017-01-11,2
2017-01-12,1
2017-02-01,1
2017-04-03,1
2017-04-28,2
2017-07-03,1
2017-09-01,1
2017-09-28,2
2017-12-01,2
2017-12-05,2
2018-01-02,0
2018-01-18,1
2018-02-01,2
2018-02-12,2
2018-04-05,1
2018-04-30,1
2018-06-11,1
2018-06-19,1
2018-07-05,1
2018-08-01,0
2018-09-03,0
2018-10-01,1
2018-11-02,2
2018-12-03,1
2019-02-04,1
2019-04-01,1
2019-05-01,2
2019-05-24,0
2019-06-06,1
2019-07-01,2
2019-09-03,1
2019-10-01,2
2019-11-01,1
2020-01-06,1
2020-02-02,0
2020-04-29,0
2020-07-20,0
2020-08-03,0
2020-08-17,0
2020-08-31,0
2020-10-02,0
2021-01-07,0
2021-03-24,0
2021-03-25,0
2021-03-26,0
2021-03-29,0
2021-03-30,0
2021-03-31,0
2021-04-01,0
2021-04-05,0
2021-04-06,0
2021-04-07,0
2021-04-08,0
2021-04-09,0
2021-04-12,0
2021-04-13,0
2021-04-14,0
2021-04-15,0
2021-04-16,0
2021-04-19,0
2021-04-20,0
2021-04-21,0
2021-04-22,0
2021-04-23,0
2021-04-26,0
2021-04-27,0
2021-04-28,0
2021-04-30,0
2021-05-03,0
2021-05-04,0
2021-05-05,0
2021-05-06,0
2021-05-10,0
2021-05-11,0
2021-05-12,0
2021-05-13,0
2021-05-14,0
2021-05-17,0
2021-05-18,0
2021-05-19,0
2021-05-20,0
2021-05-21,0
2021-05-24,0
2021-05-25,0
2021-05-26,0
2021-05-27,0
2021-05-28,0
2021-06-01,0
2021-06-02,0
2021-06-03,0
2021-06-04,0
2021-06-07,0
2021-06-08,0
2021-06-09,0
2021-06-10,0
2021-06-11,0
2021-06-14,0
2021-06-15,0
2021-06-16,0
2021-06-17,0
2021-06-18,0
2021-06-21,0
2021-06-22,0
2021-06-24,0
2021-06-25,0
2021-06-28,0
2021-06-29,0
2021-06-30,0
2021-07-01,0
2021-07-02,0
2021-07-06,0
2021-07-07,0
2021-07-08,0
2021-07-09,0
2021-07-12,0
2021-07-13,0
2021-07-14,0
2021-07-15,0
2021-07-16,0
2021-07-19,0
2021-07-21,0
2021-07-23,0
2021-07-26,0
2021-07-27,0
2021-07-28,0
2021-07-29,0
2021-07-30,0
2021-08-02,0
2021-08-03,0
2021-08-09,0
2021-08-10,2
2021-08-12,0
2021-08-13,0
2021-08-16,0
2021-08-17,0
2021-08-18,0
2021-08-19,0
2021-08-20,0
2021-08-23,0
2021-08-24,0
2021-08-25,0
2021-08-26,0
2021-08-30,0
2021-08-31,0
2021-09-01,0
2021-09-02,0
2021-09-03,0
2021-09-06,0
2021-09-07,0
2021-09-08,0
2021-09-09,0
2021-09-10,0
2021-09-13,0
2021-09-14,0
2021-09-15,0
2021-09-16,0
2021-09-20,0
2021-09-21,0
2021-09-22,0
2021-09-23,0
2021-09-24,0
2021-09-27,0
2021-09-28,0
2021-09-29,0
2021-09-30,0
2021-10-01,0
2021-10-04,0
2021-10-05,0
2021-10-06,0
2021-10-07,0
2021-10-08,0
2021-10-11,0
2021-10-13,0
2021-10-14,0
2021-10-15,0
2021-10-18,0
2021-10-19,0
2021-10-20,0
2021-10-21,0
