created,sentiment
2009-10-26,2
2009-10-27,2
2009-11-09,2
2009-11-17,2
2009-12-09,1
2009-12-31,0
2010-01-08,2
2010-01-11,2
2010-03-03,2
2010-03-08,2
2010-03-20,1
2010-03-24,0
2010-03-29,0
2010-04-14,1
2010-04-15,0
2010-04-21,0
2010-04-26,0
2010-05-05,0
2010-05-06,1
2010-05-10,1
2010-05-20,1
2010-05-24,2
2010-05-25,0
2010-05-26,1
2010-06-02,0
2010-06-03,1
2010-06-28,0
2010-06-29,0
2010-06-30,0
2010-07-09,0
2010-07-12,0
2010-07-20,1
2010-07-21,1
2010-07-24,2
2010-08-02,1
2010-08-19,1
2010-08-20,1
2010-08-30,0
2010-08-31,1
2010-09-17,2
2010-10-06,1
2010-10-07,1
2010-10-19,1
2010-10-25,1
2010-11-04,2
2010-11-19,1
2010-11-22,0
2010-11-25,0
2010-12-01,1
2010-12-02,1
2010-12-09,1
2010-12-17,2
2010-12-22,2
2010-12-27,1
2010-12-30,0
2010-12-31,0
2011-01-03,0
2011-01-07,0
2011-01-10,1
2011-01-11,0
2011-01-30,1
2011-02-01,0
2011-02-15,1
2011-04-06,2
2011-07-05,0
2011-07-14,0
2011-07-20,2
2011-07-26,2
2011-08-18,2
2011-09-09,0
2011-09-15,2
2011-09-20,2
2011-09-22,1
2011-12-13,2
2011-12-14,2
2011-12-15,2
2012-03-29,1
2012-05-24,2
2012-06-19,0
2012-07-12,0
2012-07-13,1
2012-08-14,0
2012-09-21,1
2012-11-15,1
2013-01-03,1
2013-01-04,0
2013-03-06,1
2013-04-01,2
2013-04-02,2
2013-05-20,0
2013-08-12,2
2014-07-08,2
2014-11-28,2
2015-01-13,0
2015-02-14,2
2015-05-01,2
2015-10-05,2
2015-10-19,1
2015-12-03,0
2015-12-14,0
2016-01-26,1
2016-03-04,0
2016-03-09,0
2016-05-06,1
2016-07-07,1
2016-07-27,1
2016-11-30,2
2016-12-13,0
2017-09-28,1
2017-10-27,0
2018-02-12,1
2019-09-09,0
2020-06-03,0
2021-02-21,0
2021-07-09,0
2021-07-13,0
2021-07-22,0
2021-09-30,0
2022-05-11,1
2022-06-13,1
2022-10-24,2
2023-04-11,1
2023-04-12,1
2023-04-13,1
2023-04-14,0
2023-04-18,1
2023-04-19,2
2023-04-21,1
2023-04-25,0
2023-04-28,1
