date,price,inventory,orders
2010-01-01,234.9,9894.0,8055.0
2010-02-01,229.2,10002.0,8071.0
2010-03-01,235.0,10087.0,9194.0
2010-04-01,242.9,10276.0,8757.0
2010-05-01,236.3,10315.0,8993.0
2010-06-01,227.2,10240.0,8738.0
2010-07-01,226.2,10349.0,8869.0
2010-08-01,234.9,10480.0,8987.0
2010-09-01,241.9,10670.0,9396.0
2010-10-01,253.1,10915.0,9200.0
2010-11-01,260.8,11203.0,9368.0
2010-12-01,264.1,11494.0,9166.0
2011-01-01,269.7,11722.0,9506.0
2011-02-01,275.9,11861.0,9748.0
2011-03-01,274.5,12041.0,9924.0
2011-04-01,281.0,12188.0,9953.0
2011-05-01,277.2,12331.0,9925.0
2011-06-01,277.5,12469.0,10739.0
2011-07-01,282.8,12503.0,10572.0
2011-08-01,277.9,12495.0,10495.0
2011-09-01,274.0,12403.0,10233.0
2011-10-01,257.9,12442.0,10461.0
2011-11-01,259.4,12479.0,10302.0
2011-12-01,254.8,12489.0,10308.0
2012-01-01,255.1,12381.0,10161.0
2012-02-01,263.5,12541.0,9776.0
2012-03-01,264.9,12602.0,9521.0
2012-04-01,260.5,12518.0,9727.0
2012-05-01,254.7,12599.0,8838.0
2012-06-01,250.5,12602.0,8487.0
2012-07-01,248.1,12712.0,8562.0
2012-08-01,247.1,12778.0,8408.0
2012-09-01,255.2,12878.0,8902.0
2012-10-01,258.7,13072.0,8755.0
2012-11-01,253.8,13007.0,9097.0
2012-12-01,257.6,13079.0,9214.0
2013-01-01,257.2,13180.0,9932.0
2013-02-01,257.8,13268.0,9385.0
2013-03-01,253.2,12955.0,9092.0
2013-04-01,247.5,12600.0,9361.0
2013-05-01,242.5,12645.0,9543.0
2013-06-01,240.9,12916.0,9499.0
2013-07-01,235.3,12749.0,9339.0
2013-08-01,240.5,12791.0,9302.0
2013-09-01,240.4,12825.0,9445.0
2013-10-01,239.1,12752.0,9501.0
2013-11-01,238.3,12735.0,8902.0
2013-12-01,237.6,12882.0,9159.0
2014-01-01,238.5,12712.0,9004.0
2014-02-01,239.0,12881.0,8911.0
2014-03-01,238.8,12796.0,9207.0
2014-04-01,237.8,12995.0,9113.0
2014-05-01,239.5,13106.0,9384.0
2014-06-01,240.1,13259.0,9321.0
2014-07-01,244.8,13341.0,9576.0
2014-08-01,246.5,13444.0,9530.0
2014-09-01,246.0,13488.0,9410.0
2014-10-01,241.6,13454.0,9205.0
2014-11-01,240.5,13562.0,9033.0
2014-12-01,240.3,13525.0,9193.0
2015-01-01,234.9,13498.0,9057.0
2015-02-01,230.9,13198.0,9104.0
2015-03-01,229.0,13178.0,8746.0
2015-04-01,229.1,13044.0,8664.0
2015-05-01,231.2,12949.0,8614.0
2015-06-01,226.1,12683.0,8660.0
2015-07-01,219.1,12453.0,7825.0
2015-08-01,213.3,12229.0,7996.0
2015-09-01,211.7,12008.0,8105.0
2015-10-01,212.5,11884.0,8017.0
2015-11-01,206.4,11628.0,8159.0
2015-12-01,202.4,11637.0,7767.0
2016-01-01,199.5,11658.0,7561.0
2016-02-01,202.4,11489.0,7444.0
2016-03-01,207.0,11393.0,7507.0
2016-04-01,206.9,11294.0,7203.0
2016-05-01,208.0,11194.0,7425.0
2016-06-01,206.3,11209.0,7584.0
2016-07-01,211.2,11233.0,7740.0
2016-08-01,213.2,11217.0,7675.0
2016-09-01,211.1,11187.0,7543.0
2016-10-01,212.3,10981.0,7545.0
2016-11-01,216.5,11237.0,7616.0
2016-12-01,220.3,11233.0,7618.0
2017-01-01,220.4,11227.0,7607.0
2017-02-01,225.6,11278.0,7893.0
2017-03-01,224.9,11488.0,7894.0
2017-04-01,226.9,11587.0,7880.0
2017-05-01,225.6,11666.0,7575.0
2017-06-01,226.4,11732.0,7410.0
2017-07-01,227.6,11857.0,7967.0
2017-08-01,233.7,11953.0,8119.0
2017-09-01,240.7,12169.0,7814.0
2017-10-01,241.8,12430.0,8193.0
2017-11-01,243.6,12507.0,8155.0
2017-12-01,242.4,12477.0,8192.0
2018-01-01,247.9,12545.0,8419.0
2018-02-01,248.3,12735.0,8617.0
2018-03-01,249.0,12701.0,8807.0
2018-04-01,249.7,12861.0,9033.0
2018-05-01,252.5,13049.0,9045.0
2018-06-01,256.3,13270.0,8822.0
2018-07-01,248.2,13423.0,8754.0
2018-08-01,240.9,13426.0,8750.0
2018-09-01,238.8,13415.0,8701.0
2018-10-01,240.5,13504.0,9131.0
2018-11-01,239.7,13526.0,8693.0
2018-12-01,242.0,13501.0,8559.0
2019-01-01,242.3,13509.0,8698.0
2019-02-01,245.7,13630.0,8414.0
2019-03-01,249.2,13652.0,8441.0
2019-04-01,248.1,13562.0,8633.0
2019-05-01,243.3,13554.0,8703.0
2019-06-01,241.4,13416.0,8755.0
2019-07-01,245.1,13415.0,8339.0
2019-08-01,242.9,13520.0,8385.0
2019-09-01,244.8,13514.0,8495.0
2019-10-01,245.7,13427.0,8052.0
2019-11-01,244.7,13409.0,7971.0
2019-12-01,247.9,13376.0,7906.0
2020-01-01,252.6,13397.0,7281.0
2020-02-01,250.4,13160.0,7406.0
2020-03-01,251.1,13409.0,6986.0
2020-04-01,244.3,13066.0,5723.0
2020-05-01,239.2,12607.0,6047.0
2020-06-01,243.0,12343.0,6667.0
2020-07-01,252.0,12127.0,6856.0
2020-08-01,262.2,12112.0,7415.0
2020-09-01,267.3,12261.0,7723.0
2020-10-01,268.3,12362.0,7948.0
2020-11-01,272.0,12456.0,8505.0
2020-12-01,280.3,12727.0,9073.0
2021-01-01,286.4,13223.0,9492.0
2021-02-01,288.7,13673.0,9974.0
2021-03-01,294.5,11609.0,7681.0
2021-04-01,304.5,12069.0,8228.0
2021-05-01,326.6,12423.0,9348.0
2021-06-01,327.9,12787.0,9285.0
2021-07-01,329.521,13263.0,10160.0
2021-08-01,332.989,13623.0,10002.0
2021-09-01,334.799,13943.0,10142.0
2021-10-01,337.114,14493.0,10421.0
2021-11-01,340.495,14897.0,10201.0
2021-12-01,331.385,15410.0,11376.0
2022-01-01,344.042,14997.0,10822.0
2022-02-01,355.293,15769.0,10726.0
2022-03-01,369.53,16259.0,11482.0
2022-04-01,374.62,16345.0,11201.0
2022-05-01,359.449,16547.0,11312.0
2022-06-01,349.768,16841.0,11061.0
2022-07-01,328.077,16774.0,9798.0
2022-08-01,331.827,16801.0,9842.0
2022-09-01,326.599,16677.0,9891.0
2022-10-01,316.794,16587.0,10103.0
2022-11-01,326.811,16532.0,10069.0
2022-12-01,329.411,16615.0,10020.0
2023-01-01,339.468,16362.0,10458.0
2023-02-01,335.011,16387.0,10113.0
2023-03-01,334.261,16291.0,10103.0
