created,title,body,sentiment
2009-10-26 00:00:00,"Transporation ETF Chart (IYT) Continues Bearish Ways, The Professor Was Right","The ETF Professor doesn't like to gloat, but I did warn you about the ugliness forming in the iShares Dow Jones Transportation Index Fund (NYSE: IYT) chart last week. The bearishness was confirmed today as IYT closed below its 50-day moving average for a second consecutive day. The ETF remains in play this week as Canadian Pacific Railway (NYSE: CP) and Paccar (Nasdaq: PCAR) report results before the market opens on Tuesday and Norfolk Southern (NYSE: NSC) reports after the close. Wabco Holdings (NYSE: WBC) and Kansas City Southern (NYSE: KSU) report later in the week and these reports could lead to further pressure on IYT. The Professor says stay bearish.",1
2009-10-27 00:00:00,Norfolk Southern Beats Estimates,"Norfolk Southern (NYSE: NSC) reported a third-quarter profit of $303 million, or 81 cents a share, down from $520 million, or $1.37 a share, a year ago. Revenue dropped 29% to $2.1 billion. Analysts were expecting a profit of 79 cents a share on sales of $2.07 billion. The revenue beat may be more significant as it could indicate business is improving, though Norfolk Southern's rivals have said a real recovery in real demand is still a long way off. The company operates approximately 21,000 route miles in 22 states and the District of Columbia, serves every major container port in the eastern United States.",1
2009-11-03 00:00:00,"Berkshire Hathaway Acquisition Fuels Stocks In Premarket Trading (BRK.A, BNI, UNP, CSX, NSC)","Stock futures came in weaker with concerns that the rally of the stock market is losing its momentum. However, with the news that Berkshire Hathaway (NYSE: BRK.A) is acquiring 77% of the remaining stocks in Burlington Northern Santa Fe (NYSE: BNI) for $100 a share and the assumption of its $10 billion in debt. The acquisition of the remaining 77% will give Berkshire Hathaway 100% ownership of the said company. Warren Buffet in his statement described the acquisition as vital for the economy because according to Buffet, “Our country’s future prosperity depends on its having an efficient and well-maintained rail system.” He also added that he loved these kind of bets because in his own words, “it’s an all-in wager on the economic future of the United States” This acquisition by Warren Buffet’s firm has helped rally the market off of its lows and generated pre –market buzz for other companies. A competitor for Burlington, Union Pacific Corporation (NYSE: UNP) took advantage of the news and rose around 8% in the pre-market. If Warren Buffet is right, then Union Pacific Corporation should also be able to take advantage of the benefits of the rail road system in this troubled economy. Other transportation companies that are moving positively after the news includes CSX Corporation (NYSE: CSX) and Norfolk Southern Corporation (NYSE: NSC). CSX Corporation was up 8.08% in the pre-market as it rose to $46.30 while Norfolk went up to over 7% to $50.25 per share. Other stocks that were moving generously in the market before it opens is Black and Decker Corporation (NYSE: BDK) after being acquired by Stanley Works. Stanley Works rose to $47.25 with an increase of $4.65%. Look for these stock to continue moving as soon as the market opens.",2
2009-11-04 00:00:00,"Cramer Talks About MYGN, ERTS, VIA, NSC, BNI","Jim Cramer called Myriad Genetics, Inc. (NASDAQ: MYGN)an explosive company and has given a bullish call. Yesterday, MYGN reported Q1 EPS of $0.31, which was 3 cents below the analyst estimate of $0.34. When he was asked about Electronic Arts Inc. (NASDAQ: ERTS), he screamed and said one should go with Viacom, Inc. (NYSE: VIA) as this has shown better quarterly results. Yesterday, VIA made a new 52-week high at $31.42. He also said that one should take profit on Norfolk Southern Corp. (NYSE: NSC) to buy Burlington Northern Santa Fe Corporation (NYSE: BNI), which was acquired by Warren Buffett. Yesterday, BNI climbed 27.51% to $97.",1
2009-11-09 00:00:00,"Berkshire To Part With Union Pacific, Norfolk Southern Stakes (UNP, NSC)","Warren Buffett's Berkshire Hathaway (NYSE: BRK.A, BRK.B) will have to shed its massive stakes in railroad operators Union Pacific (NYSE: UNP) and Norfolk Southern (NYSE: NSC) as it moves to complete its $26.3 billion buyout of Burlington Northern Santa Fe (NYSE: BNI). Berkshire plans to sell 9.6 million shares of Union Pacific and 1.9 million shares of Norfolk Southern. Both stocks are down on the news.",0
2009-11-10 00:00:00,Warren Buffet generating cash for new acquisition of Burlington Northern,"Warren Buffett's comapny Berkshire Hathaway Inc. (NYSE: BRK.A), (NYSE: BRK.B) has planned to sell its stakes in Norfolk Southern Corp. (NYSE: NSC) and Union Pacific Corpn. (NYSE: UNP) before it completes its purchase of Burlington Northern Santa Fe Corp. (NYSE: BNI), according to its latest documents filed with the Securities and Exchange Commission (SEC) on Monday. Last week, Berkshire agreed to buy the railroad company Burlington Northern (NYSE: BNI) for $26.3 billion. The move could mean that Norfolk Southern Corp. (NSC) stock and that of Union Pacific Corp. (UNP) could face some selling pressure, if Berkshire Hathaway Inc. (BRK.A), (BRK.B) uses open market market route to sell off the Union Pacific Corp. (UNP) and Norfolk Southern Corp. (NSC) stocks.",1
2009-11-10 00:00:00,"Company News for November 10, 2009 - Corporate Summary","• Priceline.com (NASDAQ:PCLN) reported adjusted third quarter earnings of $3.45 a share, 55 cents above consensus estimates, on better-than-expected revenues of $730.7 million, ahead of estimates of $$693.97 million on strong summer season travel. The firm provided fourth quarter guidance at about $1.06-$1.16 • Electronic Arts (NASDAQ:ERTS) said it plans to cut 1500 additional jobs. The firm reported second quarter adjusted earnings of 6 cents, a one penny miss, on revenues of $1.15 billion, which slightly topped Street projections of $1.12 billion. The firm forecast 2010 earnings of $0.70-$1.00, topping estimates of 89 cents on revenues of $4.2-$4.4 billion versus estimates of $4.26 billion • Cadbury (NYSE:CBY) rejected the latest Kraft (NYSE:KFT) bid calling it derisory • Moody's (NYSE:MCO) commented that AIG (NYSE:AIG) will be able to repay its Federal loans • Wells Fargo (NYSE:WFC) lifted its growth expectations for the semiconductor group following release of third quarter numbers. Intel (NASDAQ:INTC) remained its first pick within the group, with outperform ratings also on Micron Tech (NYSE:MU) and Xilinx (NASDAQ:XLNX). Analysts increased 2010 growth expectations of 25% for the industry from 10-20% prior • Goldman Sachs (NYSE:GS) added Polo Ralph Lauren (NYSE:RL) to its Conviction Buy List, with a price target of $94 • Goldman Sachs (NYSE:GS) also added Kroger (NYSE:KR) to its Conviction Buy List, with a price target of $27 • Goldman Sachs (NYSE:GS) removed Coca-Cola Enterprises (NYSE:CCE) from its Conviction Buy List, but maintained a buy rating on the shares • Tyco International (NYSE:TYC) released better-than-expected third quarter earnings of 61 cents a share, 7 cents above estimates, on revenues of $4.42 billion, slightly higher than estimates of $4.32 billion • Burlington Northern (NYSE:BNI) CEO advised Berkshire Hathaway (NYSE:BRK.A) is liquidating shares of rival railroads Norfolk Southern Corp. (NYSE:NSC) and Union Pacific (NYSE:UNP) as it readies its purchase of Burlington • Google (NASDAQ:GOOG) moved further into the market for digital advertising on cell phones with the acquisition of AdMob for $750 millionZacks Investment Research",1
2009-11-11 00:00:00,Kanundrum Research Believes In Transport Sector,"Brian Kelly of Kanundrum Research said on CNBC's Fast Money that he likes transport sector and thinks that the sector is a good play if you believe in the economic recovery. Norfolk Southern Corp. (NYSE: NSC) is the stock Brian Kelly owns. He believes that a railroad trade is a bet on China and a coal. NSC gained 0.42% so far today. United Parcel Service, Inc. (NYSE: UPS) is expecting a holiday season to be better than expected and its stock price gained 2.43%. FedEx (NYSE: FDX) is another company that could benefit if holiday season proves to be good. FDX gained 0.37% today.",2
2009-12-22 00:00:00,Buffet Goes West With Burlington (BNI),"Legendary investment guru Warren Buffet labeled his $26 billion purchase of Burlington Northern Santa Fe Corp. (NYSE: BNI) as an ‘all-in wager’ on the U.S. economy. Bloomberg reports that Buffet bought the railroad since the U.S. West would benefit from trade with China and other Asian countries. Burlington is up 30% on the NYSE this year. Berkshire Hathaway (NYSE: BRK) has divested its stake in competing railroads Union Pacific (NYSE: UNP) and Norfolk Southern Corp. (NYSE: NSC) as a part of the Burlington deal. Buffet is also taking out $8 billion worth of debt for the transaction, risking Berkshire’s AAA rating in the process. The acquisition is expected to be completed by Q1 of FY10.",2
2009-12-28 00:00:00,Limited Upside In Norfolk (NSC),"Argus Research Company retained a Hold rating on railroad operator Norfolk Southern Corporation (NYSE: NSC). Norfolk exceeded consensus expectations in the third quarter but volumes fell 20%. The company has posted two quarters of stronger earnings. However, this has been accomplished through cost cutting measures and not revenue boosting measures. Weak volumes in the freight segment continue to be the predominant area of concern. Argus, however, believes that Norfolk will beat consensus estimates for EPS in 2009 and 2010.",1
