created,title,body
2021-07-15,Options Article for GLD 0.8775070390606217,"Analyzing SPDR Gold Trust's Unusual Options Activity On Thursday, shares of SPDR Gold Trust (NYSE:GLD) saw unusual options activity. After the option alert, the stock price moved down to $170.4. Sentiment:Analyzing SPDR Gold Trust's Unusual Options Activity On Thursday, shares of SPDR Gold Trust (NYSE:GLD) saw unusual options activity. After the option alert, the stock price moved down to $170.4. Sentiment: BULLISH Option Type: SWEEP Trade Type: CALL Expiration Date: 2021-08-20 Strike Price: $175.00 Volume: 1922 Open Interest: 16472 Three Ways Options Activity Is ‘Unusual' Extraordinarily large volume (compared to historical averages) is one indication of unusual options market activity. Volume refers to the total number of contracts traded over a given time period when discussing options market activity. Open interest is the number of unsettled contracts that have been traded but not yet closed by either counterparty. In other words, open interest represents the quantity of contracts that individual parties have written but not yet found a counterparty for (i.e. a buyer finding a seller, or a seller finding a buyer). Another sign of unusual activity is the trading of a contract with an expiration date in the distant future. Usually, additional time until a contract expires allows more opportunity for it to reach its strike price and grow its time value. Time value is important to consider because it represents the difference between the strike price and the value of the underlying asset. Contracts that are out of the money are also indicative of unusual options activity. Out of the money contracts occur when the underlying price is under the strike price on a call option, or above the strike price on a put option. These trades are made with the expectation that the value of the underlying asset is going to change dramatically in the future, and buyers and sellers will benefit from a greater profit margin. Understanding Sentiment Options are bullish when a call is purchased at/near ask price or a put is sold at/near bid price. Options are bearish when a call is sold at/near bid price or a put is bought at/near ask price. These observations are made without knowing the investor's true intent by purchasing these options contracts. The activity is suggestive of these strategies, but an observer cannot be sure if a bettor is playing the contract outright or if the options bettor is hedging a large underlying position in common stock. For the latter case, bullish options activity may be less meaningful than the exposure a large investor has on their short position in common stock. Using These Options Strategies Unusual options activity is an advantageous strategy that may greatly reward an investor if they are highly skilled, but for the less experienced trader, it should remain as another tool to make an educated investment decision while taking other observations into account. For more information to understand options alerts, visit https://pro.benzinga.help/en/articles/1769505-how-do-i-understand-options-alerts"
2014-12-17,Mid-Day Market Update: Auspex Pharmaceuticals Jumps Following Positive SD-809 Trial Results; Cliffs Natural Resources Shares Slip,"Midway through trading Wednesday, the Dow traded up 0.49 percent to 17,152.33 while the NASDAQ climbed 0.46 percent to 4,568.74. The S&P also rose, gaining 0.66 percent to 1,985.81. Leading and Lagging Sectors In trading on Wednesday, energy shares were relative leaders, up on the day by about 4.40 percent. Meanwhile, top gainers in the sector included Warren Resources (NASDAQ: WRES), up 26.2 percent, and Swift Energy Co (NYSE: SFY), up 26.1 percent. Industrials sector was the top loser in the US market on Wednesday. Meanwhile, top decliners in the sector included B/E Aerospace (NASDAQ: BEAV), down 25.4 percent, and FedEx (NYSE: FDX), off 4.7 percent. Top Headline FedEx (NYSE: FDX) reported weaker-than-expected fiscal second-quarter results. The Memphis, Tennessee-based company posted quarterly net income of $616 million, or $2.14 per share, compared to $500 million, or $1.57 per share, in the year-ago period. Share repurchases benefited latest quarter earnings by $0.16 per share. Its revenue rose 5% to $11.9 billion. However, analysts were expecting earnings of $2.22 per share on revenue of $11.98 billion. Equities Trading UP Auspex Pharmaceuticals (NASDAQ: ASPX) shares shot up 96.17 percent to $49.22 following positive SD-809 trial results. Shares of Volcano (NASDAQ: VOLC) got a boost, shooting up 55.18 percent to $17.83 after Philips (NYSE: PHG) agreed to acquire Volcano for $18.00 per share. Digital River (NASDAQ: DRIV) shares were also up, gaining 42.59 percent to $24.04 on extension of Microsoft agreement to March 31st, 2017. Equities Trading DOWN Cliffs Natural Resources (NYSE: CLF) shares tumbled 5.96 percent to $6.40 after Credit Suisse reduced the price target on the stock from $10 to $1. Shares of Ruby Tuesday (NYSE: RT) were down 14.53 percent to $6.94 after the company reported a 1% y/y drop in its same-store sales in the second quarter. Ruby Tuesday in October had expected same-store growth of between 1% and 2% for the period ended December 2. POZEN (NASDAQ: POZN) was down, falling 10.63 percent to $8.07 following the announcement of a complete response letter from the FDA. Commodities In commodity news, oil traded up 1.29 percent to $56.65, while gold traded down 0.08 percent to $1,193.40. Silver traded up 0.59 percent Wednesday to $15.85, while copper rose 0.56 percent to $2.87. Eurozone European shares were mixed today. The eurozone’s STOXX 600 climbed 0.14 percent, the Spanish Ibex Index slipped 0.32 percent, while Italy’s FTSE MIB Index declined 0.54 percent. Meanwhile, the German DAX dropped 0.20 percent and the French CAC 40 rose 0.46 percent while UK shares gained 0.43 percent. Economics The consumer price index dropped 0.3% in November, versus economists’ expectations for a 0.1% decline. US core CPI gained 0.10% last month, versus economists’ expectations for a 0.10% rise. The U.S. current account deficit widened to $100.3 billion in the third quarter, versus a revised $98.4 billion in the previous period. However, economists were expecting a deficit of $97.90 billion. The Federal Open Market Committee is scheduled to announce its policy decision at 2:00 p.m. ET, while the Fed Chairwoman Janet Yellen will hold a press conference at 2:30 p.m. ET."
2016-02-09,The Coal Conundrum For Transportation ETFs,"The Market Vectors Coal ETF (NYSE: KOL) declined yesterday on heavy volume, but the lone equity-based exchange traded fund dedicated to moribund coal equities did not hit a new low. Still, KOL has lost nearly two-thirds of its value over the past two years and slumping demand for the commodity is hampering other ETFs beyond KOL. For example, as KOL has plunged 56.6 percent over the past year, the iShares Transportation Average ETF (NYSE: IYT) has tumbled more than 23 percent over that period. Figuring out the iShares Transportation Average ETF's coal conundrum is not difficult. IYT, which tracks the widely followed Dow Jones Transportation Average Index, devotes 21.5 percent of its weight to railroad stocks, making that group the ETF's second-largest industry allocation. U.S. railroad operators have experienced declining shipping volumes and share prices due in part to what has become a lengthy bear market for coal. “The Association of American Railroads (AAR) reported that total US rail carload traffic in 2015 declined by 2.5% from 2014 levels. 2015's overall rail traffic was below levels not seen since the rail traffic recovery began in 2009. AAR reported that 2016 is off to a mixed start as well. Overall carload traffic in January was 16.6% lower than January 2015. However, a closer look at the long-term annual data indicates that the majority of the declines are due to lower coal shipping. If coal is excluded from 2015 data, rail volume is comparable to levels seen in 2013 and 2014, on the strength of intermodal container traffic,” said Fitch Ratings in a recent note. Three of IYT's top 10 holdings – Kansas City Southern (NYSE: KSU), Union Pacific Corporation (NYSE: UNP) and Norfolk Southern Corp. (NYSE: NSC) – are railroad operators. The coal industry has been drubbed in recent years. Many U.S. utilities have moved away from coal as natural gas prices have plummeted because natural gas burns cleaner than coal. Slack demand has forced past and current KOL constituents into bankruptcy with market observers forecasting more to come. Several of KOL's 26 holdings sport sub-$4 price tags. If there is a bright spot, it is that the rapid decline of the U.S. coal industry is not expected to hamper IYT's other industry exposures. “Recent declines in rail traffic are unlikely to spread to other modes of transportation as the declines are primarily attributable to coal shipping, which mainly relies on rail transportation, Fitch Ratings says. However, rail traffic declines will persist into the midterm,” said Fitch. Coal usage is expected to decline four percent this year and one percent in 2017, adds the research firm."
2012-07-04,"ETFs to Watch July 5, 2012 (FCG, HYD, USO)","Here is the ETF Professor's ETF Watch List for Thursday July 5, 2012. The Market Vectors Gold Miners ETF (NYSE: GDX) looked strong on Tuesday. Also keep an eye on the Market Vectors Steel Miners ETF (NYSE: SLX). Energy plays: U.S. Oil Fund (NYSE: USO) and the First Trust ISE-Revere Natural Gas Index Fund (NYSE: FCG). The SPDR Dow Jones International Real Estate ETF (NYSE: RWX) has been a pleasant surprise as of late. Emerging markets plays of the day: Market Vectors Russia ETF (NYSE: RSX), Guggenheim China Small-Cap ETF (NYSE: HAO) and the iShares MSCI Chile Investable Market Index Fund (NYSE: ECH). Forex play of the day: PowerShares DB Dollar Bearish (NYSE: UDN). Bond play of the day: Market Vectors High-Yield Muni ETF (NYSE: HYD)."
2011-08-04,A Double Dip? How Do We Protect Ourselves?,"Today I am going to do something really amazing. I am going to tell you that in my opinion the U.S. economy has not entered a second recession, it never came out of the first one. Well, before you professional economists start writing me that the Webster's definition of a recession is two consecutive quarters of negative growth I will simply say for who? Indeed there are many Americans who have been so economically ravaged by this crisis that they have not lived through a recession - they have endured a depression. A Gallup poll that was released in April (when the DOW was 800 points higher than today's close) said that 29% of the people polled didn't care what the definition of a recession was. They said they were in a depression. Add to that, another 26% polled said that they felt they had never come out of the original recession. Please ask yourself if it is any wonder that most Americans believe that an economic downturn is still in progress? One only has to look around to see all the evidence they need to draw that conclusion. Home prices are at levels we have not seen since 2002 and add to that in many parts of the country like Florida, California, Nevada and Arizona values of homes have dropped a staggering 50 percent. According to the National Association of Realtors home prices will likely drop another ten 10 % nationwide. They also reported a staggering statistic. If you had bought a home under the program set forth by President Obama that gave you $8500.00 towards the purchase of a home, and if you had put down an additional 20% towards the purchase of the home you would now be underwater on your mortgage. It is painfully evident to most average Americans that there are signs that a full blown recession is firmly in place. I guess it is harder for the myriad of professional economists hired by the Fed to see the forest for the trees. In my opinion there is nothing that damages the confidence of a consumer as badly as rapidly rising prices. When I am not writing my posts I have the dubious distinction of doing the heavy grocery shopping for my family. I have been amazed and appalled at the spike in the price of groceries. A pound of coffee that used to cost $2.99 now costs $6.00. Milk is almost $5.00 a gallon. My children are grown and my wife and I don't drink milk but as I walk by the dairy aisle I keep an eye on the price of milk because I often wonder how parents with children can afford to buy milk. Clothing has gone through the roof as cotton prices nearly doubled in 2010. The consumer's ability to buy the most basic clothing necessities has been undermined. While the auto industry has staged an impressive comeback, much of its profitability has been based on layoffs as much as new car sales. Slower car sales are not only a sign of lagging consumer confidence but also a sign of tougher times ahead. Car firms have only just begun to hire again but that trend will die as the sales of cars plateau. The circus that took place over raising the debt ceiling is going to make it very difficult for Dr. Bernanke to institute another round of quantitative easing. He will have to be more ‘stealthy' is his approach because while the FOMC remains tight lipped many prominent economists like Nobel Prize winner Paul Krugman say another round of quantitative easing is essential to create a full recovery. His theory has seemingly been borne out by last week's GDP numbers which had a revised estimate of 0.04% for the first quarter and a 1.4% estimate for the second quarter. For a robust economy I have read that economists see the need for a minimum of 5% GDP. The debt ceiling agreement has caused a call to arms for severe austerity measures which is exactly what our already fragile economy does not need. The fact is that people are afraid and they have tightened their belts and are saving every penny they can. While a healthy savings plan is the watchword of a healthy society I'm sure the Feds wished that the American people practice this kind of economic restraint on somebody else's watch. What the Feds need are the American people spending to stimulate the economy. It certainly is a Catch -22 situation. Add to this that today's employment numbers promise to be anemic as Cisco has said they would lay off 6000 people, HSBC has promised to lay off 2000 people and state and local governments have said it is their intention to trim the payrolls by 450,000 jobs this year and next. These government cuts are already well underway. One can barely open a local newspaper without reading of battles between state unions and governors over employment, benefits and pensions. A slowdown in the Chinese economy is usually seen as a cause of global commodity price inflation, but this coin has two sides. While China's appetite for energy and raw materials may fall, the demand for goods and services by its very large and growing middle class drop along with it. As China has raised the interest rate in an effort to slow down the exploding growth rate the U.S. exports to China have also fallen. According to the U.S. – China Business Council, over the last decade we have seen exports to China grow from $16.2 Billion to $91.9 billion a staggering 468% increase. However, as that rate slows it has a profound impact on tens of thousands of American companies and their employees. U.S. firms with large operations in China are also affected. GM is one of the two largest car firms in China along with VW. Large U.S. corporations like Wal-Mart and Yum Brands rely heavily on China to boost global sales. Without vibrant consumer spending in China, American companies suffer. Unemployment creates two problems. People without jobs drastically curtail their spending, which ultimately affects GDP growth and secondly is the need for tens of billions of dollars every year in government aid to keep the unemployed from becoming destitute. That support has increased deficits and the domino effect is that cash – strapped governments need to make more spending cuts. The continued high rate of unemployment may well be the biggest challenge the economy faces. Unemployment has worsened because people over 65 continue to work because their homes, which were once thought of as the financial base of their retirements have dropped so sharply. Older Americans also fear that cuts in Medicare and Social Security are inevitable which will increase the cost of their “golden years”. The worst part of the unemployment problem is the roughly 5 million Americans that have been unemployed for over a year. Their unemployment benefits, in many cases, may have run out. The burden of their care falls to their families, friends and community organizations. To the extent that the federal or state governments can support the unemployed, the cost to run support programs increases. Housing is considered by many economists to be the single largest drag on the American economy and the housing market has gotten much worse in the last three months. Whether right or wrong, the American home was the rock that families built their economic future on. It was the primary source of equity that was used for college educations, car purchases and ultimately retirements. While this may once have been true the drop in home prices wiped out the equity that many people saw as their life savings overnight. Their ability to consume was severely damaged, further harming the GDP. High mortgage payments bankrupted people who had lost their jobs or have found that their incomes had stagnated. The building Industry became a shambles overnight. Whatever the effects have been over the last three years, they are getting progressively worse as home values drop to unprecedented lows. Sadly, there is no relief in sight because potential buyers perceive that the price erosion of a home has not come close to ending. So in conclusion, while I reread this essay, it certainly paints a very bleak picture. You may rightly ask where the harbor is. In which direction do I set my compass? The answer is the same as it has always been – follow the money. China, India and Brazil all continue to amass large amounts of physical gold and silver. Several days ago it was reported that South Korea had bought $1 billion dollars worth of gold. Even the people of Greece who are bankrupt are taking what little paper money they have and buying gold and silver. I would advise my readers to continue to look for opportunities to open positions in gold and silver. While I have been amazed by the parabolic run in gold and there are a lot of people that say gold which was had a target price of $1,600.00 an ounce has blown through that level and seems to have no intention of correcting. Indeed, I read several analysts report that we may see gold reaching $2,500.00 an ounce before it pauses. While my Instincts tell me that the probability for this is remote my brain tells me to follow the money. As global currencies are debased and global fears continue to grow it seems that this shiny yellow metal will continue to rise. Let us not forget its baby bother silver which has broken the $40.04 resistance level and seems on its way to my predicted level of $55.00 - $60.00 by year's end. I had a reader chide me yesterday that my $55.00 level was ridiculous. Silver would be $100.00 an ounce by the year's end. So look for the Silver ETF (SLV) to pull back to $38.00. If it does pullback to $38.00 buy in there. I'm not sure how to advise you on the gold ETF (GLD). As I have already written the levels that GLD are trading seem over bought but I see no red lights in front of it. I would advise that you stand aside until there is more certainty. I am fond of quoting Doug Kass who likes to say “I would rather lose an opportunity than lose capital.” In the mean time don't forget about the miners. There are still great opportunities in these stocks as gold and silver under the ground have continued to lag gold and silver above the ground. Some names that continue to stand out are Silver Wheaton (SLW), Barrick (ABX), Goldcorp (GG) and for a longer term investment US Gold (UXG) have significant upside potential."
2014-07-03,UPDATE: D.A. Davidson & Co. Reiterates On Martin Marietta Materials On Completion Of TXI Acquisition,"In a report published Thursday, D.A. Davidson & Co. analyst Brent Thielman reiterated a Neutral rating on Martin Marietta Materials (NYSE: MLM), and raised the price target from $125.00 to $130.00. In the report, D.A. Davidson & Co. noted, “Martin Marietta announced the company has completed the acquisition of Texas Industries, Inc. as anticipated following recent regulatory and shareholder approval. Texas Industries shareholders receive 0.7 shares of Martin Marietta stock per share of TXI owned. The transaction, announced in January, combines Martin Marietta's (primarily) domestic aggregates assets with TXI's (primarily) cement assets, meaningfully changing the composition of MLM going forward.” Martin Marietta Materials closed on Wednesday at $127.06."
2016-06-13,Gold Reaches $1290 And Retreats,"August Gold futures are trading higher by $10 at $1285.90 in Monday's session. In pre-market trading, it found support just under Friday's close ($1275.90), reaching 1275.20 before turning higher. So far, it has reached $1290.39 before pulling back into the mid-$1280 handle. That marks the highest level for the contract since it reached $12892.40 on May 16."
2017-03-21,Mid-Day Market Update: Dow Falls 150 Points; Pulmatrix Shares Spike Higher,"Midway through trading Tuesday, the Dow traded down 0.73 percent to 20,753.60 while the NASDAQ declined 1.10 percent to 5,836.38. The S&P also fell, dropping 0.78 percent to 2,354.87. Leading and Lagging Sectors On Tuesday, the non-cyclical consumer goods & services sector proved to be a source of strength for the market. In trading on Tuesday, basic materials shares fell 1.53 percent. Meanwhile, top losers in the sector included Cliffs Natural Resources Inc (NYSE:CLF), down 8 percent, and AK Steel Holding Corporation (NYSE:AKS), down 8 percent. Top Headline General Mills, Inc. (NYSE:GIS) reported upbeat earnings for its fiscal third quarter, while sales missed estimates. General Mills posted Q3 earnings of $0.72 per share on revenue of $3.79 billion. Analysts expected earnings of $0.71 per share on revenue of $3.82 billion. Equities Trading UP Versar Inc. (NYSE:VSR) shares shot up 35 percent to $1.52 after the company disclosed that its long-term joint venture with Johnson Controls Federal Systems was awarded up to $950 million IDIQ contract with U.S. Air Force. Shares of Pulmatrix Inc (NASDAQ:PULM) got a boost, shooting up 28 percent to $3.54 after the company reported that it has received a European patent for inhaled drug delivery technology. Silicom Ltd. (NASDAQ:SILC) shares were also up, gaining 17 percent to $45.44. Silicom reported a major new design win with $17 million in purchase orders. Equities Trading DOWN Axsome Therapeutics Inc (NASDAQ:AXSM) shares dropped 19 percent to $3.58. Axsome Therapeutics priced 3.74 million shares at $3.74 per share. Shares of Layne Christensen Company (NASDAQ:LAYN) were down around 13 percent to $7.84 after the company issued a weak sales forecast for the fourth quarter. La Jolla Pharmaceutical Company (NASDAQ:LJPC) was down, falling around 10 percent to $34.56. La Jolla Pharmaceutical reported a proposed underwritten public offering of common stock. Commodities In commodity news, oil traded down 0.96 percent to $48.44 while gold traded up 0.71 percent to $1,242.80. Silver traded up 0.58 percent Tuesday to $17.54, while copper fell 1.89 percent to $2.6165. Eurozone European shares were lower today. The eurozone’s STOXX 600 fell 0.56 percent, the Spanish Ibex Index fell 0.05 percent, while Italy’s FTSE MIB Index slipped 0.31 percent. Meanwhile the German DAX declined 0.82 percent, and the French CAC 40 fell 0.34 percent while U.K. shares fell 0.72 percent. Economics U.S. current account deficit declined 3.1 percent to $112.4 billion in the fourth quarter. Economists were expecting a deficit of $128.3 billion. Federal Reserve Bank of Cleveland President Loretta Mester will speak in Richmond, Va. at 6:00 p.m. ET. Boston Federal Reserve Bank President Eric Rosengren is set to speak in Bali, Indonesia at 9:45 p.m. ET."
2020-07-30,Recap: LKQ Q2 Earnings,"Shares of LKQ (NASDAQ:LKQ) rose 5.7% in pre-market trading after the company reported Q2 results. Quarterly Results Earnings per share decreased 18.46% year over year to $0.53, which beat the estimate of $0.15. Revenue of $2,626,000,000 declined by 19.15% from the same period last year, which beat the estimate of $2,350,000,000. Guidance Earnings guidance hasn't been issued by the company for now. LKQ hasn't issued any revenue guidance for the time being. Details Of The Call Date: Jul 30, 2020 Time: 08:00 AM ET Webcast URL: https://investor.lkqcorp.com/events-and-presentations/default.aspx Technicals 52-week high: $36.63 Company's 52-week low was at $13.31 Price action over last quarter: Up 14.39% Company Overview LKQ is a leading global distributor of non-OEM automotive parts. Initially formed in 1998 as a consolidator of auto salvage operations in the United States, it has since greatly expanded its scope to include distribution of new mechanical and collision parts, specialty auto equipment, and remanufactured and recycled parts in both Europe and North America. It still maintains its auto salvage business and owns over 75 LKQ pick-your-part junkyards. Separate from the self-service business, LKQ purchases over 300,000 salvage automobiles annually that are used to extract parts for resale. Globally, LKQ maintains approximately 1,700 facilities."
2023-01-30,"If You Invested $1000 In This Stock 10 Years Ago, You Would Have $5,700 Today","Alcoa (NYSE:AA) has outperformed the market over the past 10 years by 8.6% on an annualized basis producing an average annual return of 18.86%. Currently, Alcoa has a market capitalization of $8.91 billion. Buying $1000 In AA: If an investor had bought $1000 of AA stock 10 years ago, it would be worth $5,681.15 today based on a price of $50.34 for AA at the time of writing. Alcoa's Performance Over Last 10 Years Finally -- what's the point of all this? The key insight to take from this article is to note how much of a difference compounded returns can make in your cash growth over a period of time. This article was generated by Benzinga's automated content engine and reviewed by an editor."
