option,type,temperature,Year
Chicago Area,Jan,25.3,2000
Chicago Area,Feb,34.1,2000
Chicago Area,Mar,44.2,2000
Chicago Area,Apr,47.2,2000
Chicago Area,May,62.0,2000
Chicago Area,Jun,67.2,2000
Chicago Area,Jul,71.0,2000
Chicago Area,Aug,72.4,2000
Chicago Area,Sep,64.7,2000
Chicago Area,Oct,56.1,2000
Chicago Area,Nov,37.0,2000
Chicago Area,Dec,16.0,2000
Chicago Area,Annual,49.8,2000
Chicago Area,Jan,24.5,2001
Chicago Area,Feb,26.1,2001
Chicago Area,Mar,34.1,2001
Chicago Area,Apr,52.5,2001
Chicago Area,May,60.0,2001
Chicago Area,Jun,67.4,2001
Chicago Area,Jul,74.5,2001
Chicago Area,Aug,73.2,2001
Chicago Area,Sep,61.9,2001
Chicago Area,Oct,52.1,2001
Chicago Area,Nov,48.2,2001
Chicago Area,Dec,33.4,2001
Chicago Area,Annual,50.7,2001
Chicago Area,Jan,31.9,2002
Chicago Area,Feb,32.1,2002
Chicago Area,Mar,34.5,2002
Chicago Area,Apr,49.9,2002
Chicago Area,May,55.2,2002
Chicago Area,Jun,70.9,2002
Chicago Area,Jul,77.0,2002
Chicago Area,Aug,73.1,2002
Chicago Area,Sep,67.3,2002
Chicago Area,Oct,49.7,2002
Chicago Area,Nov,37.6,2002
Chicago Area,Dec,30.1,2002
Chicago Area,Annual,50.8,2002
Chicago Area,Jan,21.3,2003
Chicago Area,Feb,23.6,2003
Chicago Area,Mar,36.7,2003
Chicago Area,Apr,48.3,2003
Chicago Area,May,56.2,2003
Chicago Area,Jun,65.5,2003
Chicago Area,Jul,72.3,2003
Chicago Area,Aug,73.6,2003
Chicago Area,Sep,63.3,2003
Chicago Area,Oct,51.8,2003
Chicago Area,Nov,41.9,2003
Chicago Area,Dec,31.6,2003
Chicago Area,Annual,48.8,2003
Chicago Area,Jan,20.3,2004
Chicago Area,Feb,27.4,2004
Chicago Area,Mar,41.1,2004
Chicago Area,Apr,50.4,2004
Chicago Area,May,60.0,2004
Chicago Area,Jun,67.1,2004
