date,NUE,STLD,LKQ,NSC,CLF,AA,VMC,MLM
2006-07-31,31.485,9.746,5.383,28.987,14.663,59.416,53.916,65.111
2006-08-31,28.938,8.868,4.992,28.526,14.793,56.718,63.287,66.599
2006-09-30,29.305,8.475,5.28,29.533,15.485,55.914,63.303,68.655
2006-10-31,35.012,10.158,5.561,35.246,17.183,57.648,65.916,71.397
2006-11-30,35.875,10.988,5.508,33.02,19.52,62.155,71.773,80.573
2006-12-31,32.764,10.968,5.525,33.833,19.737,60.154,73.007,84.552
2007-01-31,39.109,13.313,5.148,33.402,22.271,65.069,82.731,93.917
2007-02-28,36.885,12.814,5.22,32.05,22.948,67.661,94.762,101.973
2007-03-31,39.466,14.668,5.254,34.2,26.143,68.654,95.017,110.242
2007-04-30,38.815,15.099,5.427,35.991,28.299,71.874,100.882,118.901
2007-05-31,41.31,15.982,6.001,39.12,36.059,83.599,97.635,126.745
2007-06-30,35.873,14.281,5.927,35.68,31.775,82.484,93.802,132.349
2007-07-31,31.03,14.341,6.833,36.502,28.339,77.742,78.389,111.911
2007-08-31,32.699,14.837,7.445,34.757,31.202,74.343,73.713,110.277
2007-09-30,36.76,15.973,8.366,35.404,36.056,79.97,73.396,109.386
2007-10-31,38.732,18.263,9.267,35.226,39.204,80.931,70.399,105.946
2007-11-30,36.977,17.264,9.544,35.104,36.97,74.671,73.108,110.205
2007-12-31,36.984,20.442,10.104,34.577,41.384,75.041,65.482,108.918
2008-01-31,36.482,17.94,8.599,37.284,41.877,67.937,64.786,101.263
2008-02-29,40.727,20.042,10.209,36.457,49.045,76.252,58.038,88.383
2008-03-31,42.726,22.732,10.8,37.442,49.268,74.422,55.37,87.472
2008-04-30,47.963,24.012,10.459,41.068,65.953,71.78,57.388,90.117
2008-05-31,47.518,24.873,10.651,46.67,87.746,84.184,64.15,96.139
2008-06-30,47.436,26.92,8.686,43.408,98.061,73.876,50.165,85.598
2008-07-31,36.597,21.883,9.854,49.815,89.192,69.998,53.865,86.738
2008-08-31,33.578,17.151,9.003,51.155,83.277,66.638,62.802,93.291
2008-09-30,25.263,11.805,8.157,46.063,43.6,47.083,62.929,92.874
2008-10-31,26.206,8.274,5.499,41.7,22.228,23.979,45.85,65.007
2008-11-30,23.081,5.733,5.009,34.416,19.56,22.436,50.664,72.687
2008-12-31,29.886,7.76,5.605,32.906,21.178,23.803,59.492,80.923
2009-01-31,26.592,7.44,5.552,26.828,19.16,16.468,42.289,67.119
2009-02-28,21.937,5.85,6.489,22.184,12.76,13.17,35.406,63.818
2009-03-31,24.884,6.172,6.859,23.818,15.068,15.852,38.316,66.457
2009-04-30,26.755,8.813,8.162,25.18,19.134,19.588,41.137,70.421
2009-05-31,28.872,10.575,7.311,26.512,22.61,19.912,38.316,68.276
2009-06-30,29.214,10.476,7.907,26.847,20.338,22.375,37.723,66.105
2009-07-31,29.469,11.638,8.623,30.823,22.765,25.473,41.557,72.476
2009-08-31,29.516,11.773,8.344,32.691,21.036,26.101,43.798,73.748
2009-09-30,31.152,10.912,8.911,30.96,26.936,28.485,47.564,77.88
2009-10-31,26.606,9.568,8.301,33.481,29.608,26.965,40.491,70.479
2009-11-30,28.316,12.091,8.378,36.914,36.675,27.182,42.647,72.145
2009-12-31,31.146,12.662,9.416,37.909,38.441,35.082,46.566,75.982
2010-01-31,27.451,10.893,9.012,34.033,33.32,27.704,39.069,67.288
2010-02-28,27.855,11.718,9.205,37.193,47.04,28.944,38.379,67.322
2010-03-31,30.533,12.536,9.757,40.701,59.297,31.058,41.998,71.35
2010-04-30,30.735,11.329,10.128,43.206,52.26,29.292,50.924,81.88
2010-05-31,29.195,10.572,8.854,41.116,46.685,25.388,44.879,79.617
2010-06-30,25.96,9.506,9.267,38.854,39.511,21.994,39.165,72.426
2010-07-31,26.778,10.375,9.508,41.212,47.395,24.421,40.425,73.239
2010-08-31,25.163,9.905,8.94,39.315,51.266,22.344,32.847,62.776
2010-09-30,26.135,10.223,9.998,43.86,53.676,26.545,33.207,66.362
2010-10-31,26.401,10.59,10.454,45.32,54.751,28.802,32.838,69.389
2010-11-30,26.07,11.632,10.373,44.347,57.388,28.78,36.085,72.889
2010-12-31,30.27,13.329,10.921,46.569,65.647,33.811,40.176,79.903
2011-01-31,31.974,13.311,11.613,45.36,71.916,36.403,38.546,72.332
2011-02-28,33.402,13.501,11.421,48.614,81.687,37.018,41.526,76.975
2011-03-31,32.051,13.728,11.584,51.683,82.836,38.865,41.534,78.036
2011-04-30,32.964,13.375,12.122,55.719,78.992,37.413,41.17,79.358
2011-05-31,29.721,12.574,12.781,54.697,76.556,36.995,36.88,74.546
2011-06-30,28.935,11.949,12.54,56.207,78.034,34.965,35.317,69.93
2011-07-31,27.552,11.559,11.81,56.784,75.814,32.474,31.43,66.126
2011-08-31,25.562,9.42,12.305,50.768,69.931,28.219,32.109,61.938
2011-09-30,22.416,7.341,11.613,46.044,43.361,21.143,25.461,55.599
2011-10-31,27.06,9.328,14.026,55.831,57.809,23.772,28.907,63.47
2011-11-30,28.242,9.843,14.675,57.0,57.462,22.137,29.97,68.826
2011-12-31,28.342,9.821,14.458,55.305,53.037,19.166,36.365,66.687
2012-01-31,32.156,12.002,15.67,54.804,61.459,22.512,40.532,72.966
2012-02-29,31.462,11.144,15.314,52.299,53.998,22.534,41.179,75.938
2012-03-31,31.042,10.941,14.982,50.296,59.14,22.267,39.497,76.072
2012-04-30,28.579,9.683,16.078,55.721,53.163,21.623,39.571,73.629
2012-05-31,26.065,7.986,17.515,50.06,41.186,19.0,32.028,59.939
2012-06-30,27.625,8.88,16.04,55.183,42.488,19.509,36.705,70.427
2012-07-31,28.861,9.853,16.982,56.936,35.247,18.885,35.819,67.139
2012-08-31,27.719,9.341,18.14,55.714,30.894,19.085,35.986,68.247
2012-09-30,28.169,8.592,17.765,49.254,34.206,19.824,43.745,74.433
2012-10-31,29.829,9.748,20.063,47.489,31.706,19.175,42.515,73.93
2012-11-30,30.609,9.964,21.053,47.113,25.132,18.883,48.868,80.837
2012-12-31,32.081,10.589,20.284,48.253,34.324,19.489,48.148,85.078
2013-01-31,34.489,11.817,21.524,53.738,33.203,19.848,52.32,89.094
2013-02-28,33.769,11.864,20.37,57.405,22.657,19.13,47.112,87.65
2013-03-31,34.594,12.338,20.918,60.572,17.006,19.194,47.833,92.45
