iter	Passed	Remaining
0	3	3309
1	5	2812
2	7	2567
3	10	2496
4	12	2508
5	15	2562
6	17	2536
7	20	2509
8	22	2454
9	24	2426
10	27	2484
11	30	2473
12	32	2432
13	35	2485
14	37	2476
15	39	2443
16	42	2446
17	44	2428
18	46	2399
19	48	2388
20	50	2373
21	53	2366
22	55	2343
23	57	2337
24	59	2333
25	61	2321
26	64	2311
27	66	2310
28	68	2303
29	71	2306
30	74	2314
31	76	2307
32	78	2299
33	80	2296
34	82	2288
35	85	2277
36	87	2283
37	90	2278
38	92	2273
39	94	2266
40	96	2267
41	99	2270
42	101	2255
43	103	2246
44	105	2235
45	108	2244
46	110	2235
47	112	2225
48	114	2225
49	116	2219
50	119	2224
51	121	2218
52	124	2217
53	126	2211
54	128	2206
55	130	2201
56	133	2206
57	136	2211
58	138	2210
59	140	2206
60	142	2197
61	145	2203
62	148	2203
63	149	2192
64	152	2187
65	154	2184
66	156	2178
67	159	2189
68	162	2187
69	164	2184
70	166	2180
71	169	2178
72	171	2173
73	173	2175
74	175	2169
75	177	2163
76	180	2158
77	182	2155
78	184	2148
79	186	2143
80	189	2144
81	191	2138
82	192	2132
83	195	2127
84	197	2121
85	199	2115
86	200	2108
87	202	2103
88	204	2096
89	206	2091
90	208	2086
91	211	2082
92	212	2076
93	214	2070
94	216	2064
95	219	2065
96	221	2059
97	223	2053
98	225	2049
99	228	2052
100	229	2046
101	231	2041
102	234	2038
103	236	2034
104	238	2028
105	239	2024
106	242	2020
107	244	2016
108	246	2011
109	247	2006
110	249	2002
111	252	1998
112	253	1993
113	255	1988
114	257	1985
115	259	1981
116	261	1975
117	264	1975
118	266	1970
119	268	1967
120	270	1963
121	272	1959
122	274	1954
123	276	1953
124	279	1953
125	280	1948
126	282	1945
127	285	1942
128	287	1942
129	289	1937
130	291	1933
131	293	1929
132	295	1925
133	297	1920
134	299	1918
135	301	1918
136	303	1913
137	305	1909
138	308	1909
139	310	1905
140	312	1902
141	314	1898
142	316	1895
143	318	1891
144	320	1887
145	322	1884
